kind,name,error
bam,OH4200MD,absent du chitin.key
bam,OH4200MN,absent du chitin.key
bam,OH4200RD,absent du chitin.key
bam,OH4200RN,absent du chitin.key
bam,OH4200WD,absent du chitin.key
bam,OH4200WN,absent du chitin.key
bam,OH5100RD,absent du chitin.key
bam,OH5100RN,absent du chitin.key
bam,OH5200MD,absent du chitin.key
bam,OH5200MN,absent du chitin.key
bam,OH5200RD,absent du chitin.key
bam,OH5200RN,absent du chitin.key
bam,OH5500WD,absent du chitin.key
bam,OH6000MD,absent du chitin.key
bam,OH6000MN,absent du chitin.key
bam,OH6000RD,absent du chitin.key
bam,OH6000RN,absent du chitin.key
bam,OH6000WD,absent du chitin.key
bam,OH6000WN,absent du chitin.key
bam,OH7000BR,absent du chitin.key
