area_id,occurrence_index,instance_name,resource_resref,resource_kind,x,y,cell_x,cell_y,sequence,initial_frame,flags_hex,palette_mode,palette_resref
AR1400,1,1400T001,1400T001,BAM,4388,1,68,0,0,0,0x00001005,embedded,
AR1404,0,1400T001,1400T001,BAM,4388,1,68,0,0,0,0x00001005,embedded,
AR1400,4,1400T002,1400T002,BAM,4556,203,71,3,0,0,0x00001005,embedded,
AR1404,1,1400T002,1400T002,BAM,4556,202,71,3,0,0,0x00001005,embedded,
AR1400,2,1400T003,1400T003,BAM,4815,259,75,4,0,0,0x00001005,embedded,
AR1404,2,1400T003,1400T003,BAM,4816,261,75,4,0,0,0x00001005,embedded,
AR1400,0,1400T004,1400T004,BAM,3635,1121,56,17,0,0,0x00001005,embedded,
AR1404,3,1400T004,1400T004,BAM,3635,1121,56,17,0,0,0x00001005,embedded,
AR1400,3,1400T005,1400T005,BAM,3695,611,57,9,0,0,0x00001005,embedded,
AR1404,4,1400T005,1400T005,BAM,3695,611,57,9,0,0,0x00001005,embedded,
AR0315,4,AM0033AB,AM0033AB,BAM,297,496,4,7,0,0,0x00001101,embedded,
AR0527,0,AM0033AB,AM0033AB,BAM,297,496,4,7,0,0,0x00001101,embedded,
AR0710,0,AM0033AB,AM0033AB,BAM,297,496,4,7,0,0,0x00001101,embedded,
AR3026,0,AM0033AB,AM0033AB,BAM,297,496,4,7,0,0,0x00001101,embedded,
AR6012,0,AM0033AB,AM0033AB,BAM,297,496,4,7,0,0,0x00001101,embedded,
AR0021,0,AM003XA,AM003XA,BAM,334,377,5,5,0,0,0x00001141,embedded,
AR0313,0,AM003XA,AM003XA,BAM,334,377,5,5,0,0,0x00001141,embedded,
AR0529,0,AM003XA,AM003XA,BAM,334,377,5,5,0,0,0x00001141,embedded,
AR0713,0,AM003XA,AM003XA,BAM,334,377,5,5,0,0,0x00001141,embedded,
AR1611,0,AM003XA,AM003XA,BAM,335,377,5,5,0,0,0x00001141,embedded,
AR5015,0,AM003XA,AM003XA,BAM,334,377,5,5,0,0,0x00001141,embedded,
AR0202,0,AM0202A,AM0202A,BAM,1955,1676,30,26,0,0,0x00001001,embedded,
AR0202,1,AM0202FL,AM0202FL,BAM,1832,454,28,7,0,0,0x00001003,embedded,
AR0202,2,AM0202FL,AM0202FL,BAM,1883,492,29,7,0,0,0x00001003,embedded,
AR0202,3,AM0202FL,AM0202FL,BAM,1616,438,25,6,0,0,0x00001003,embedded,
AR0202,4,AM0202FL,AM0202FL,BAM,1473,538,23,8,0,0,0x00001003,embedded,
AR0202,5,AM0202FL,AM0202FL,BAM,1324,643,20,10,0,0,0x00001003,embedded,
AR0202,6,AM0202FL,AM0202FL,BAM,1353,794,21,12,0,0,0x00001003,embedded,
AR0202,7,AM0202FL,AM0202FL,BAM,1405,830,21,12,0,0,0x00001003,embedded,
AR0331,0,AM0202FL,AM0202FL,BAM,321,601,5,9,0,0,0x00001043,embedded,
AR0331,1,AM0202FL,AM0202FL,BAM,471,497,7,7,0,0,0x00001043,embedded,
AR0331,2,AM0202FL,AM0202FL,BAM,350,752,5,11,0,0,0x00001003,embedded,
AR0331,3,AM0202FL,AM0202FL,BAM,403,789,6,12,0,0,0x00001003,embedded,
AR0331,4,AM0202FL,AM0202FL,BAM,614,395,9,6,0,0,0x00001043,embedded,
AR0331,5,AM0202FL,AM0202FL,BAM,830,413,12,6,0,0,0x00001043,embedded,
AR0331,6,AM0202FL,AM0202FL,BAM,881,450,13,7,0,0,0x00001043,embedded,
AR0526,0,AM0202FL,AM0202FL,BAM,321,600,5,9,0,0,0x00001043,embedded,
AR0526,1,AM0202FL,AM0202FL,BAM,470,498,7,7,0,0,0x00001043,embedded,
