bam_resref,format,frames,max_frame_width,max_frame_height,occurrences,areas,area_ids,external_palette_occurrences,external_palette_resrefs,relative_path,sha256
1400T001,BAM V1,1,255,255,2,2,AR1400;AR1404,0,,ressources/1400T001,2400979a8ceabfc9041032fc78103d6242ae95c95180e171f6bdcd5093b06eeb
1400T002,BAM V1,1,255,255,2,2,AR1400;AR1404,0,,ressources/1400T002,19f44c4f3db1ff494bcac8cd5fc6805f99a3ece7daba0c58223140a99b4a8aca
1400T003,BAM V1,1,255,255,2,2,AR1400;AR1404,0,,ressources/1400T003,423c3cc22846e29ffbd022587f1ab2742f7f85c45135178dd92e7602f25e593a
1400T004,BAM V1,1,255,255,2,2,AR1400;AR1404,0,,ressources/1400T004,06956bdddeee3d6d7be7ef656da8f6d5b2649c4f1994abb4ac75f831f759b4c6
1400T005,BAM V1,1,255,255,2,2,AR1400;AR1404,0,,ressources/1400T005,a7a2e3a2c852c0d2f9965a19ebcd0cf2e773902c6d76b839ffa7e4efaa6bce9f
AM0033AB,BAM V1,7,154,110,5,5,AR0315;AR0527;AR0710;AR3026;AR6012,0,,ressources/AM0033AB,01c094f1e65e6e8d59dc948bf3e1f4fb9701f256f9f18dba30463e499246044b
AM003XA,BAM V1,9,66,64,6,6,AR0021;AR0313;AR0529;AR0713;AR1611;AR5015,0,,ressources/AM003XA,a635d2caeac1712ceb92a73e64588671311774f88a532cbc92fc3415c1b0ded2
AM0202A,BAM V1,6,197,210,1,1,AR0202,0,,ressources/AM0202A,dc80091c3bafeea0343c384cbe00bd4e5fd713e1075c66d955c9cdbbc8fdc606
AM0202FL,BAM V1,20,84,74,21,3,AR0202;AR0331;AR0526,0,,ressources/AM0202FL,dcafaee715819729c52404f41134b175444ec69ec765867588bb611af1a7bb51
AM0205A,BAM V1,9,120,175,1,1,AR0205,0,,ressources/AM0205A,952b28d065adb4ed4a35b9ccaaf515b1e9daaba824a379ea9ccefd6010d43457
AM0205B,BAM V1,9,150,145,1,1,AR0205,0,,ressources/AM0205B,8c34f513b3c6ee29a91be445662a59dfbc4522c0e7a8a768c638c039c61fc306
AM0205C,BAM V1,9,155,130,1,1,AR0205,0,,ressources/AM0205C,e7dc4a761bc990076a75c24e8f5ec0a3958ae8118a65f4c54ddd703f0bab5f7f
AM0205D,BAM V1,9,130,150,1,1,AR0205,0,,ressources/AM0205D,9339d250a63aeeec4fefc417057be5d1b5cf82fab12660484f74f7e5e11fb28a
AM0205E,BAM V1,9,165,130,1,1,AR0205,0,,ressources/AM0205E,ba9d7704a71ebf4958597804086fb2943900c08cd364474aa9030e28ca4f0775
AM0300A,BAM V1,6,210,220,1,1,AR0300,0,,ressources/AM0300A,da2b385902f843dd38a5ba4a59e54be2382d08c1306c6164716c9c99dc590c4f
AM0307BH,BAM V1,7,170,130,2,2,AR0307;AR0329,0,,ressources/AM0307BH,d56e3750280a416db084f8713192ffe8f3b29dc797e8098732c2411d9e0add4b
AM0308A,BAM V1,8,71,77,8,1,AR0308,0,,ressources/AM0308A,d136172bde39edebc1fe7d44a5fc17c92cbf83aae41560dffda95b9abada7945
AM0309A,BAM V1,9,155,165,1,1,AR0309,0,,ressources/AM0309A,0f3066a9305612b65ad4fd3c3bee758695df8266b410947da752f407236dcb76
AM0322A,BAM V1,9,164,138,2,2,AR0302;AR0322,0,,ressources/AM0322A,a57583156f7e1e669a19a2b1f94101936cba5d57c3360f9e5619d49c1c20fb29
AM0322B,BAM V1,9,159,132,2,2,AR0302;AR0322,0,,ressources/AM0322B,f29b830e04d93193246e6d93525d96e2651d56bc7400e9ded15e7cd7a583890a
AM0323A,BAM V1,9,179,139,2,2,AR0303;AR0323,0,,ressources/AM0323A,db6668b3352315b1b41d169da7f79c4f93aba601b68fc07896415ae40846d93a
AM0406A,BAM V1,9,105,110,1,1,AR0406,0,,ressources/AM0406A,ed267e2a408e6106f044dcc5e18b2786681fd43b0de8f671beec6096011ceddd
AM0406B,BAM V1,9,143,119,2,1,AR0406,0,,ressources/AM0406B,ee966fc708289832b4d1f70e602910c7db15c1e11c68459b3a06fa94a01d77d7
AM0411RN,BAM V1,30,99,99,8,3,AR0411;OH5400;OH5500,0,,ressources/AM0411RN,1964e37430b26e1665ac952617cd945bd549e7864042433870495ff5329188d0
AM0504SB,BAM V1,20,26,40,6,1,AR0504,0,,ressources/AM0504SB,9cb706fc887a98e5b868937b528557ceaca67ccfa9ace9616dd15a13ea5c9a34
AM0510A,BAM V1,9,128,128,1,1,AR0510,0,,ressources/AM0510A,6cd127bf6fbb3d370606f1d85888a03ef69089994083f73be74b61f61c3c0826
AM0516LA,BAM V1,4,189,173,1,1,AR0516,0,,ressources/AM0516LA,aa678489fac69d2cd7411b54347f1742c9103ef8fa88a90d3a630b8d4c8af176
AM0516LB,BAM V1,5,209,197,1,1,AR0516,0,,ressources/AM0516LB,f173881c16f15d202628edf890466c5cadef74e78a1eba3a0a753f182fd0894c
AM0516LC,BAM V1,5,207,193,1,1,AR0516,0,,ressources/AM0516LC,b12947c3df5f203e058e83d1f925957db04c9ded62257ce478d52b3d584d69aa
AM0516LD,BAM V1,5,253,251,1,1,AR0516,0,,ressources/AM0516LD,8eecaf42134cd64670f72511ed957df47c97d0d99fae0dd670c5f6a305ca8a33
AM0602AA,BAM V1,9,97,109,1,1,AR0602,0,,ressources/AM0602AA,9be88bf01fb63a893b8b18c0c620e40c45cdad5843e4278c1f4220d983b81478
AM0602AB,BAM V1,9,105,96,1,1,AR0602,0,,ressources/AM0602AB,5d11d62665394124e4e898f989aeca0147dd856f97ba7f3b186c7413ed46c799
AM0602AC,BAM V1,9,64,76,1,1,AR0602,0,,ressources/AM0602AC,57a43cbd26a95dfbd037efe60671eaa8fe387deca46201344d15e1c8d009c756
AM0602B,BAM V1,9,100,95,1,1,AR0602,0,,ressources/AM0602B,207e3f7ff96aa94ad22193324384538404ddc62f087f8f85e2ee10c4a3aa66e3
AM0602C,BAM V1,7,195,140,1,1,AR0602,0,,ressources/AM0602C,cc49748dff95921ed4a47c1d12ffee9ecb12042fe57c67b6335ae095153015f8
AM0602D,BAM V1,7,195,140,1,1,AR0602,0,,ressources/AM0602D,c89dbd26098d471de03cedb91401a398317a7bb59e490bf7c2966a16b554ddd2
AM0602E,BAM V1,7,75,90,1,1,AR0602,0,,ressources/AM0602E,c884b75bb6a15f0d49e846d413375d29d2eeaa104968c2cd447c769b0105918b
AM0602F,BAM V1,9,165,195,1,1,AR0602,0,,ressources/AM0602F,2e095d1c5f6dd89119b7e7a009cc472266f5938a25db1afdd947f00acab7f86c
AM0602G,BAM V1,7,70,140,1,1,AR0602,0,,ressources/AM0602G,83d3232924bfd994aafd3251328d4b964f7bf27b5e2e93780cca081b2d5b3235
AM0602J,BAM V1,8,248,126,1,1,AR0601,0,,ressources/AM0602J,767c6a3deff270d15c81231523a76c532871b7ae7015075f221a346ce865d8cb
AM0602K1,BAM V1,8,136,198,1,1,AR0601,0,,ressources/AM0602K1,d20499adb19bb0571923f0e17a90a71039e8ca4c2fd7faf4d3bb52b036bcf6ab
AM0602K2,BAM V1,8,135,203,1,1,AR0601,0,,ressources/AM0602K2,6a31c386c2d98ea34cf37589f9105aff701248b4686d7c21d8a1594fd8672c73
AM0602L1,BAM V1,6,151,221,1,1,AR0601,0,,ressources/AM0602L1,6a62413544fd8dbe3546afc7ac378240341cd6dbb01f7f668430c7f2a30dc939
AM0602L2,BAM V1,6,151,221,1,1,AR0601,0,,ressources/AM0602L2,d19fd0878dcf1a8939def094dad9fd8d941c04c650b71c9347511b1fbea6d3f2
AM0602M,BAM V1,8,204,210,1,1,AR0601,0,,ressources/AM0602M,4537247413bc86e0333d8a6cc08413abb094a6b0aef1e63d8f3ba796ee302606
AM0603A,BAM V1,9,132,113,1,1,AR0603,0,,ressources/AM0603A,822266fbca6c4f3bae11290b0a9efb9d01080c1a22cf0023f5ad72697e6fa796
AM0603B,BAM V1,9,92,95,1,1,AR0603,0,,ressources/AM0603B,e099181e269bed766e4a1a33660a8483beae554c1d26d4439f5607ec06d48215
AM0603C1,BAM V1,4,154,109,1,1,AR0603,0,,ressources/AM0603C1,7c56431dc819f8ee746c3a1a5cbfa776665975581a7b158d2d39ac3323990c97
AM0603C2,BAM V1,4,154,112,1,1,AR0603,0,,ressources/AM0603C2,bcd4bd72ed354c78e71f54d7f62517d015c5d7fb98fb8b4711421dd51464811d
AM0603D1,BAM V1,6,121,89,1,1,AR0603,0,,ressources/AM0603D1,c14a6913c9474247527ae6135807ee9be9697115e0b4133dd6a68eb43cd909eb
AM0603D2,BAM V1,6,119,94,1,1,AR0603,0,,ressources/AM0603D2,6e610d34c1c13b1ee256e0077ca7ffda0f298d71b3f586da702842cd5401e5d0
AM0603D3,BAM V1,6,118,93,1,1,AR0603,0,,ressources/AM0603D3,f1aa0198f9e6f24dd4f9e6b42d1ebbf681dffe50ff4257c790be550fec9b6511
AM0603H,BAM V1,9,152,109,1,1,AR0603,0,,ressources/AM0603H,3c9ab7e837a5e869c13a3dcab204051b0afccef42f7d3634ab4873ac7aaef927
AM0603I,BAM V1,9,65,99,1,1,AR0603,0,,ressources/AM0603I,ed5ca835149eb5f828d469b9aec1d026b7142f61e07982db4e52b932c1f215aa
AM0604A,BAM V1,7,121,102,1,1,AR0604,0,,ressources/AM0604A,c20609856f2dba5ffded6adfeb7d077d946ca626e7d315b67f2a27f27be24975
AM0700A,BAM V1,7,178,163,1,1,AR0700,0,,ressources/AM0700A,e86dec2e81bfd951a04af91db0a1a6a1a5a8d8f210d74d86750de39eaa934955
AM0700B,BAM V1,7,178,163,1,1,AR0700,0,,ressources/AM0700B,9832308a77e88473079c79bdc84359dee63fb2ec8d801b86f0d82b80b04dae6a
AM0700C,BAM V1,7,169,165,1,1,AR0700,0,,ressources/AM0700C,2188d72ad50cc0bd43c43f4ae9b7ee8b34a4c16a2688e6444d3c2c222c2747d4
AM0700D,BAM V1,7,169,165,1,1,AR0700,0,,ressources/AM0700D,1c49e5aad8a532694489353bea6e2255140bb8f9f6b74434ab854bd3e4115741
AM0801A,BAM V1,7,181,108,2,2,AR0801;AR0808,0,,ressources/AM0801A,553840588a09bfbb463c6120a99dfd15471ff59ed43fef6d27a7785254da776d
AM0801B1,BAM V1,7,130,169,2,2,AR0801;AR0808,0,,ressources/AM0801B1,989e138bdbece606857a3262d7b0797d88409bbec6fce2ae9151b6548c5b3513
AM0801B2,BAM V1,7,130,169,2,2,AR0801;AR0808,0,,ressources/AM0801B2,639d51cc8a0724e6ffdf52435f024564626110d54a9a64531e8998c054a825f2
