area_id,animation_occurrences,distinct_animation_resources,animation_resrefs,bam_occurrences,distinct_bams,bam_resrefs,wbm_occurrences,distinct_wbms,wbm_resrefs,pvrz_occurrences,distinct_pvrzs,pvrz_resrefs,external_palette_occurrences,palette_resrefs
AR0021,1,1,AM003XA,1,1,AM003XA,0,0,,0,0,,0,
AR0201,9,3,FIRE_4;FLIESL;FLIESS,9,3,FIRE_4;FLIESL;FLIESS,0,0,,0,0,,0,
AR0202,14,4,AM0202A;AM0202FL;FIRE_3;FIRE_4,14,4,AM0202A;AM0202FL;FIRE_3;FIRE_4,0,0,,0,0,,0,
AR0203,1,1,FIRE_3GR,1,1,FIRE_3GR,0,0,,0,0,,0,
AR0205,5,5,AM0205A;AM0205B;AM0205C;AM0205D;AM0205E,5,5,AM0205A;AM0205B;AM0205C;AM0205D;AM0205E,0,0,,0,0,,0,
AR0206,8,2,FLIESL;FLIESS,8,2,FLIESL;FLIESS,0,0,,0,0,,0,
AR0300,50,3,AM0300A;CHIMSMK;FIRE_4,50,3,AM0300A;CHIMSMK;FIRE_4,0,0,,0,0,,0,
AR0302,20,3,AM0322A;AM0322B;FLAME2S,20,3,AM0322A;AM0322B;FLAME2S,0,0,,0,0,,0,
AR0303,12,2,AM0323A;FLAME2S,12,2,AM0323A;FLAME2S,0,0,,0,0,,0,
AR0307,46,8,AM0307BH;AM307RED;AM307TT1;AM307UR1;AM307UR2;AM307UR3;FIRE_4;FLAME2S,46,8,AM0307BH;AM307RED;AM307TT1;AM307UR1;AM307UR2;AM307UR3;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0308,8,1,AM0308A,8,1,AM0308A,0,0,,0,0,,0,
AR0309,12,3,AM0309A;BUTRFLY;FIRE_4,12,3,AM0309A;BUTRFLY;FIRE_4,0,0,,0,0,,0,
AR0312,12,1,FLAME2S,12,1,FLAME2S,0,0,,0,0,,0,
AR0313,1,1,AM003XA,1,1,AM003XA,0,0,,0,0,,0,
AR0315,6,2,AM0033AB;FLAME2S,6,2,AM0033AB;FLAME2S,0,0,,0,0,,0,
AR0322,20,3,AM0322A;AM0322B;FLAME2S,20,3,AM0322A;AM0322B;FLAME2S,0,0,,0,0,,0,
AR0323,12,2,AM0323A;FLAME2S,12,2,AM0323A;FLAME2S,0,0,,0,0,,0,
AR0326,12,1,FLAME2S,12,1,FLAME2S,0,0,,0,0,,0,
AR0329,47,9,AM0307BH;AM307RED;AM307TT1;AM307UR1;AM307UR2;AM307UR3;EYESRED1;FIRE_4;FLAME2S,47,9,AM0307BH;AM307RED;AM307TT1;AM307UR1;AM307UR2;AM307UR3;EYESRED1;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0331,13,3,AM0202FL;FIRE_3;FIRE_4,13,3,AM0202FL;FIRE_3;FIRE_4,0,0,,0,0,,0,
AR0334,5,3,FIRE_4;FLAME2S;FPIT1S,5,3,FIRE_4;FLAME2S;FPIT1S,0,0,,0,0,,0,
AR0335,12,1,FLAME2S,12,1,FLAME2S,0,0,,0,0,,0,
AR0400,50,4,CHIMSMK;FIRE_4;FLIESL;FLIESS,50,4,CHIMSMK;FIRE_4;FLIESL;FLIESS,0,0,,0,0,,0,
AR0405,23,1,FIRE_4,23,1,FIRE_4,0,0,,0,0,,0,
AR0406,55,7,AM0406A;AM0406B;FIRE_4;FLAME2S;FLIESL;FLIESS;FPIT1S,55,7,AM0406A;AM0406B;FIRE_4;FLAME2S;FLIESL;FLIESS;FPIT1S,0,0,,0,0,,0,
AR0409,4,1,FLAME2S,4,1,FLAME2S,0,0,,0,0,,0,
AR0411,17,8,AM0411RN;AM411MAC;BUBBLES2;DSTDVL1A;DSTDVL1B;DSTDVL1C;DSTDVL2B;DSTDVL2C,17,8,AM0411RN;AM411MAC;BUBBLES2;DSTDVL1A;DSTDVL1B;DSTDVL1C;DSTDVL2B;DSTDVL2C,0,0,,0,0,,0,
AR0414,35,6,AM414E11;AM414E12;AM414EY2;DSTDVL1A;DSTDVL1B;DSTDVL1C,35,6,AM414E11;AM414E12;AM414EY2;DSTDVL1A;DSTDVL1B;DSTDVL1C,0,0,,0,0,,0,
AR0500,54,5,CHIMSMK;FIRE_3;FLAME2L;FLIESL;FLIESS,54,5,CHIMSMK;FIRE_3;FLAME2L;FLIESL;FLIESS,0,0,,0,0,,0,
AR0502,11,4,FLAME2S;FLIESL;FLIESS;WTRBODY1,11,4,FLAME2S;FLIESL;FLIESS;WTRBODY1,0,0,,0,0,,0,
AR0504,80,3,AM0504SB;FIRE_4;FLAME2S,80,3,AM0504SB;FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0505,57,1,FLAME2S,57,1,FLAME2S,0,0,,0,0,,0,
AR0506,9,3,AM1003A;FLAME2S;STEAM2,9,3,AM1003A;FLAME2S;STEAM2,0,0,,0,0,,0,
AR0509,13,3,FIRE_4;FLAME2S;FPIT1S,13,3,FIRE_4;FLAME2S;FPIT1S,0,0,,0,0,,0,
AR0510,55,4,AM0510A;FLAME2M;FLAME2S;FLMS,55,4,AM0510A;FLAME2M;FLAME2S;FLMS,0,0,,0,0,,0,
AR0511,12,2,FIRE_4;FLAME2S,12,2,FIRE_4;FLAME2S,0,0,,0,0,,0,
AR0512,3,1,FLAME2L,3,1,FLAME2L,0,0,,0,0,,0,
AR0513,15,1,FLAME2S,15,1,FLAME2S,0,0,,0,0,,0,
AR0514,3,1,FLAME2S,3,1,FLAME2S,0,0,,0,0,,0,
AR0515,3,1,FLAME2S,3,1,FLAME2S,0,0,,0,0,,0,
AR0516,9,6,AM0516LA;AM0516LB;AM0516LC;AM0516LD;SPHINCT;SPHINCT2,9,6,AM0516LA;AM0516LB;AM0516LC;AM0516LD;SPHINCT;SPHINCT2,0,0,,0,0,,0,
AR0517,1,1,SPHINCT,1,1,SPHINCT,0,0,,0,0,,0,
AR0518,1,1,SPHINCT,1,1,SPHINCT,0,0,,0,0,,0,
AR0519,1,1,SPHINCT,1,1,SPHINCT,0,0,,0,0,,0,
AR0520,1,1,SPHINCT,1,1,SPHINCT,0,0,,0,0,,0,
AR0521,1,1,SPHINCT,1,1,SPHINCT,0,0,,0,0,,0,
AR0522,12,3,FIRE_4;FLAME2S;FPIT1S,12,3,FIRE_4;FLAME2S;FPIT1S,0,0,,0,0,,0,
AR0526,13,3,AM0202FL;FIRE_3;FIRE_4,13,3,AM0202FL;FIRE_3;FIRE_4,0,0,,0,0,,0,
AR0527,6,2,AM0033AB;FLAME2S,6,2,AM0033AB;FLAME2S,0,0,,0,0,,0,
AR0528,12,1,FLAME2S,12,1,FLAME2S,0,0,,0,0,,0,
AR0529,9,3,AM003XA;FIRE_4;FLAME2S,9,3,AM003XA;FIRE_4;FLAME2S,0,0,,0,0,,0,
