area_id,campaign,name_fr,name_en,name_source,name_strref,name_confidence,location_group,accessible_from,resolution_x1,resolution_x1_mpx,split_seedvr,map_variants_count,workload_mpx,workload_done_mpx,x1_tuiles_principales,x1_tuiles_secondaires,runs,build,status,has_night_variant,x1_tuiles_principales_nuit,x1_tuiles_secondaires_nuit,runs_nuit,build_nuit,status_nuit,spline_fit_1_0,notes
AR0011,SoA,,Candlekeep Dream 1 (Do you remember Candlekeep?),BGEE.LUA-cheatAreas,AR0011,confirmed,,,54x42 tuiles (3456x2688px),9.29,6 - --split-grid 2 3,2,18.58,18.58,yes,yes,seedvr2-7b-int8-lab-grid-2x3-x4,yes,validated-installed,no,,,,,,,"Lot windspear-druid (traitement de masse 2026-08-26, run_lot_batch.py) - SeedVR2 7B INT8 x4/LAB (seedvr2-7b-int8-lab-grid-2x3-x4); 0 hors limites; PSNR 36.58 dB; build dans maps/AR0011/runs/seedvr2-7b-int8-lab-grid-2x3-x4/05_build/. NON injecte dans override : build present uniquement dans maps/AR0011/runs/seedvr2-7b-int8-lab-grid-2x3-x4/05_build/. A verifier visuellement (hors jeu ou QA in-game) avant validation. Injection en override effectuee le 2026-08-26 : copie TIS+PVRZ du build, 0 divergence SHA-256 (35 fichiers, jour+nuit), aucun overlay partage touche. En attente de verification visuelle par l'utilisateur avant validated-installed. QA en jeu validee par l'utilisateur le 2026-08-26 (lots Windspear-Druid/OH-companions)."
AR0012,SoA,,Candlekeep Library (Main Door Trigger),BGEE.LUA-cheatAreas,AR0012,confirmed,,,37x26 tuiles (2368x1664px),3.94,4 - --split-grid 2 2,1,3.94,3.94,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Candlekeep Library (Main Door Trigger) - SeedVR2 7B INT8 x4/LAB, grille 2x2 (4 morceaux); pas de secondaire distinct; 962 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 20 pages 2048; PSNR 37.57 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0013,SoA,,Candlekeep Library (Stairway Triggers Up and Down),BGEE.LUA-cheatAreas,AR0013,confirmed,,,37x27 tuiles (2368x1728px),4.09,4 - --split-grid 2 2,1,4.09,4.09,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Candlekeep Library (Stairway Triggers Up and Down) - SeedVR2 7B INT8 x4/LAB, grille 2x2 (4 morceaux); pas de secondaire distinct; 999 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 21 pages 2048; PSNR 37.48 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0014,SoA,,Candlekeep Library (Stairway Trigger Down),BGEE.LUA-cheatAreas,AR0014,confirmed,,,37x27 tuiles (2368x1728px),4.09,4 - --split-grid 2 2,1,4.09,4.09,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"Candlekeep Library (Stairway Trigger Down) - SeedVR2 7B INT8 x4/LAB, grille 2x2 (4 morceaux); pas de secondaire distinct; 999 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 21 pages 2048; PSNR 37.59 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0015,SoA,,,,,,,AR0018,22x16 tuiles (1408x1024px),1.44,1 - direct,1,1.44,1.44,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"SeedVR2 7B INT8 x4/LAB direct sans decoupe; pas de secondaire distinct; 352 tuiles upscalees (190 upscale + 162 sentinelles noires), 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 4 pages 2048; PSNR 41.18 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0016,SoA,,,,,,,AR0015,22x16 tuiles (1408x1024px),1.44,1 - direct,1,1.44,1.44,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"SeedVR2 7B INT8 x4/LAB direct sans decoupe; pas de secondaire distinct; QA utilisateur du 2026-08-20 a signale un contour hors carte pixelise (aucun alpha source sur cette zone, families opaque uniquement, donc pas de piste de lissage automatique) ; corrige manuellement par l'utilisateur (retouche Photoshop du PNG assemble x4, sans repasse SeedVR2) puis rebuild sur ce fichier corrige. 352 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 8 pages 2048; PSNR 41.72 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20 sur la version corrigee."
AR0017,SoA,,,,,,,AR0016,22x16 tuiles (1408x1024px),1.44,1 - direct,1,1.44,1.44,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"SeedVR2 7B INT8 x4/LAB direct sans decoupe; pas de secondaire distinct; QA utilisateur du 2026-08-20 a signale un contour hors carte pixelise (aucun alpha source sur cette zone, families opaque uniquement, donc pas de piste de lissage automatique) ; corrige manuellement par l'utilisateur (retouche Photoshop du PNG assemble x4, sans repasse SeedVR2) puis rebuild sur ce fichier corrige. 352 tuiles upscalees, 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 8 pages 2048; PSNR 40.64 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20 sur la version corrigee."
AR0018,SoA,,,,,,,AR0015,25x18 tuiles (1600x1152px),1.84,2 - --split-rows,2,3.68,3.68,yes,yes,upscale-01,yes,validated-installed,no,,,,,,,"SeedVR2 7B INT8 x4/LAB, deux moities horizontales avec recouvrement; primaire et secondaire inferes; 454 tuiles upscalees (256 upscale + 198 sentinelles noires), 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 6 pages 2048; PSNR 41.14 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-20."
AR0020,SoA,Portes de la ville,City Gates,WORLDMAP,40271,official,,AR0021,20x15 tuiles (1280x960px),1.23,1 - direct,4,4.92,4.92,yes,yes,seedvr2-7b-int8-lab-x4-jour,yes,validated-installed,yes,yes,yes,seedvr2-7b-int8-lab-x4-nuit,yes,validated-installed,,"Retraitee en x4 le 2026-08-18 (build x2 precedent obsolete face a la politique x4 du 2026-08-17, jamais reellement installe : AR0020.TIS/PVRZ absents d'override malgre le statut installed-pending-qa, meme incident que AR0406). Jour et nuit upscales separement, 0 tuile hors limites sur les deux, 0 resampled; DXT1 automatique (zone opaque); jour PSNR 31.35 dB (bas mais coherent avec le build x2 precedent, caracteristique du contenu de la zone, pas un defaut du traitement), nuit PSNR 37.08 dB; injection SHA validee (0 divergence, 16 fichiers jour+nuit). QA en jeu validee jour et nuit par l'utilisateur le 2026-08-18."
AR0021,SoA,,Crooked Crane 1st Floor,BGEE.LUA-cheatAreas,AR0021,confirmed,,AR0020;AR0022;AR0082,15x12 tuiles (960x768px),0.74,1 - direct,2,1.48,1.48,yes,yes,seedvr2-7b-int8-lab-direct-x4,yes,validated-installed,no,,,,,,,"Crooked Crane, rez-de-chaussee (quartier Portes de la ville, AR0020) - SeedVR2 7B INT8 x4/LAB direct; primaire et secondaire (5 cellules) inferes; 185 tuiles upscalees (97 upscale + 88 sentinelles noires), 0 reechantillonnee, 0 OOB; DXT1 automatique (zone opaque); 2 pages 2048; PSNR 39.01 dB; injection SHA validee (0 divergence); QA en jeu validee par l'utilisateur le 2026-08-19."
