asset_id,domain,asset_type,source_state,production_state,qa_state,installation_state,release_state,provenance_state,selection,canonical_source_path,canonical_source_locator,evidence_count,adapter,observed_at_utc
animations:bam:1400T001,animations,area-animation-bam,verified,rejected,not-assessed,unknown,ineligible,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=1400T001,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:1400T002,animations,area-animation-bam,verified,rejected,not-assessed,unknown,ineligible,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=1400T002,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:1400T003,animations,area-animation-bam,verified,rejected,not-assessed,unknown,ineligible,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=1400T003,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:1400T004,animations,area-animation-bam,verified,rejected,not-assessed,unknown,ineligible,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=1400T004,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:1400T005,animations,area-animation-bam,verified,rejected,not-assessed,unknown,ineligible,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=1400T005,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0033AB,animations,area-animation-bam,verified,verified,not-assessed,installed,ineligible,complete,correction:am0033ab-apo8-x4-30fps-v2-spline-fit1-feather6,animations/index/animation_upscale_registry.csv,csv:resref=AM0033AB,3,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM003XA,animations,area-animation-bam,verified,not-started,not-assessed,unknown,not-evaluated,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=AM003XA,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0202A,animations,area-animation-bam,verified,not-started,not-assessed,unknown,not-evaluated,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=AM0202A,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0202FL,animations,area-animation-bam,verified,not-started,not-assessed,unknown,not-evaluated,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=AM0202FL,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0205A,animations,area-animation-bam,verified,verified,not-assessed,installed,ineligible,complete,correction:am0205a-interpolation-27f-15fps-canvas32,animations/index/animation_upscale_registry.csv,csv:resref=AM0205A,3,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0205B,animations,area-animation-bam,verified,verified,not-assessed,installed,ineligible,complete,correction:am0205b-interpolation-27f-15fps-canvas32,animations/index/animation_upscale_registry.csv,csv:resref=AM0205B,3,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0205C,animations,area-animation-bam,verified,verified,not-assessed,installed,ineligible,complete,correction:am0205c-interpolation-27f-15fps-canvas32,animations/index/animation_upscale_registry.csv,csv:resref=AM0205C,3,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0205D,animations,area-animation-bam,verified,verified,not-assessed,installed,ineligible,complete,correction:am0205d-interpolation-27f-15fps-canvas32,animations/index/animation_upscale_registry.csv,csv:resref=AM0205D,3,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0205E,animations,area-animation-bam,verified,verified,not-assessed,unknown,not-evaluated,complete,correction:am0205e-interpolation-27f-15fps,animations/index/animation_upscale_registry.csv,csv:resref=AM0205E,2,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0300A,animations,area-animation-bam,verified,not-started,not-assessed,unknown,not-evaluated,not-applicable,,animations/index/animation_upscale_registry.csv,csv:resref=AM0300A,0,animations.index.v2,2026-09-11T06:22:19.966457Z
animations:bam:AM0307BH,animations,area-animation-bam,verified,verified,passed,unknown,not-evaluated,verified,correction:ar0307-ar0329-six-bam-apo8-x4-30fps-v2-20260831,animations/index/animation_upscale_registry.csv,csv:resref=AM0307BH,6,animations.index.v2,2026-09-11T06:22:19.966457Z
