asset_key,resref,origin,controller_count,controller_keys,projectile_count,projectile_keys,bam_container,bam_version,frame_count,cycle_count,source_bif,locator,source_size,source_sha256,source_state,extracted_path
effects:bam:0202A,0202A,dedicated-effect-bif,0,,0,,BAMC,V1,9,1,data/MISCAnim.bif,0x01300000,265056,10044B8F674700577B2B29B58538E190EDF95CF586049922BE60225051C55506,available,effects/ressources/0202A/source.bam
effects:bam:1WDCCDAM,1WDCCDAM,controller-member,1,effect:vvc:1WDCCDAM,0,,BAM,V1,20,1,data/GUIIcon.bif,0x0040006A,127925,AA1595857849ACB797C3A54C62EB56A903EEE221867A771A4E2317EC8C8A4360,available,effects/ressources/1WDCCDAM/source.bam
effects:bam:1WDCLDAM,1WDCLDAM,controller-member,1,effect:vvc:1WDCLDAM,0,,BAM,V1,20,1,data/GUIIcon.bif,0x0040006B,84404,45EEF0DF089F9FB43874269F14EC5AB71B225B35B2871ED4F44934AE4706A8D9,available,effects/ressources/1WDCLDAM/source.bam
effects:bam:1WDCMDAM,1WDCMDAM,controller-member,1,effect:vvc:1WDCMDAM,0,,BAM,V1,20,1,data/GUIIcon.bif,0x0040006F,140519,FEDAC2D38F371BF053A433EFB70AEF50A9D9E0A8E9EADC2992ECFE9B734207B7,available,effects/ressources/1WDCMDAM/source.bam
effects:bam:1WDCSDAM,1WDCSDAM,controller-member,1,effect:vvc:1WDCSDAM,0,,BAM,V1,20,1,data/GUIIcon.bif,0x00400073,102857,922A194863BA01D3F66A91D6E0C73D7F665975FED8C33D051360631690E186C2,available,effects/ressources/1WDCSDAM/source.bam
effects:bam:ABJURH,ABJURH,controller-member,1,effect:vvc:ABJURH,0,,BAMC,V1,12,1,data/Patch2.bif,0x0BD00128,37106,5E02E317A9B20524117DCCFFBFF6126F88C6AB0BC40DB025CC1A8ED3C43424DF,available,effects/ressources/ABJURH/source.bam
effects:bam:ACIDDTH,ACIDDTH,dedicated-effect-bif,0,,0,,BAM,V1,63,2,data/SPELAnim.bif,0x01500001,18750,1B25F6AC0161A7059D025F1BBC56855BADA5B7B8B9B89DE0210522D05058D512,available,effects/ressources/ACIDDTH/source.bam
effects:bam:AM0021A,AM0021A,dedicated-effect-bif,0,,0,,BAMC,V1,9,1,data/MISCAnim.bif,0x01300001,176317,2FBF9E54929E529B07B80A1E5A3B726F2017BF4E70DA18F8DB26EBE248652BEF,available,effects/ressources/AM0021A/source.bam
effects:bam:AM0202AT,AM0202AT,dedicated-effect-bif,0,,0,,BAMC,V1,6,1,data/MISCAnim.bif,0x01300005,158047,DD782D98DB38EC77AEE4DC2919A71FFC471FD327002AAC3D436846844161D16A,available,effects/ressources/AM0202AT/source.bam
effects:bam:AM0404A,AM0404A,dedicated-effect-bif,0,,0,,BAMC,V1,9,1,data/MISCAnim.bif,0x01300013,77815,68CEBA9B21F1598124B69667021145BB7CE02788B6B51ECD20F5E664890ABC1C,available,effects/ressources/AM0404A/source.bam
effects:bam:AM0404B,AM0404B,dedicated-effect-bif,0,,0,,BAMC,V1,9,1,data/MISCAnim.bif,0x01300014,88103,FAFB57042CBEB102530C66FFE149E2A97206ED240242BB16445EC0E0FDFFE9DB,available,effects/ressources/AM0404B/source.bam
effects:bam:AM0411A,AM0411A,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x01300017,253081,F23649664BFC0BD2A4D41285FE7A72D200E78B936EA8653C1C3B772DCD02C3E2,available,effects/ressources/AM0411A/source.bam
effects:bam:AM0411B,AM0411B,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x01300018,281018,F0538C96A5847D305AB55D270BC349B6A9DD04552A587F432C69CB182A6DD50A,available,effects/ressources/AM0411B/source.bam
effects:bam:AM0411B1,AM0411B1,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x01300019,162608,9835E76F02337A4F6A646CD006B0B16034D43EF05D877E6124DAF29AA94A0BE1,available,effects/ressources/AM0411B1/source.bam
effects:bam:AM0411B2,AM0411B2,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x0130001A,160385,6D9692340EAD8718B00C647158F345695ABB005910BEC2DB6AF5EF0D924CA4E4,available,effects/ressources/AM0411B2/source.bam
effects:bam:AM0603D4,AM0603D4,dedicated-effect-bif,0,,0,,BAMC,V1,6,1,data/MISCAnim.bif,0x01300038,9243,DDE14A183239B4E29D89765E279489AD1BDA53452F6B3F950B3EF16F593880A6,available,effects/ressources/AM0603D4/source.bam
effects:bam:AM0902L1,AM0902L1,dedicated-effect-bif,0,,0,,BAMC,V1,8,1,data/MISCAnim.bif,0x0130004A,122614,AE0104BBEFC46FBC77B9CD46C5D1049BF20EC3B215290BB87D9E0C417ACE29EB,available,effects/ressources/AM0902L1/source.bam
effects:bam:AM0902L2,AM0902L2,dedicated-effect-bif,0,,0,,BAMC,V1,8,1,data/MISCAnim.bif,0x0130004B,52266,95BE65AA6E9C7F003FFA170643498C3E16638CB5C74958D984BE0066CF9711ED,available,effects/ressources/AM0902L2/source.bam
effects:bam:AM0902L3,AM0902L3,dedicated-effect-bif,0,,0,,BAMC,V1,8,1,data/MISCAnim.bif,0x0130004C,107371,88C752A0765B9D526443D8194648B23991E43C8E4786737F16727488252760CB,available,effects/ressources/AM0902L3/source.bam
effects:bam:AM0902L4,AM0902L4,dedicated-effect-bif,0,,0,,BAMC,V1,8,1,data/MISCAnim.bif,0x0130004D,90755,D88D4579F452673F305D171AC9F138AC6D5F74F4388BBB7DABE2676AB70BC368,available,effects/ressources/AM0902L4/source.bam
effects:bam:AM2000A1,AM2000A1,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x0130005B,53094,AE49E90264F6331568BBD867C3C1D8821358D5CC8EBFCFBF8D522AD6D100ED4F,available,effects/ressources/AM2000A1/source.bam
effects:bam:AM2000A2,AM2000A2,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x0130005C,51315,8CD188033E65CEC7EBEF9355733FD6116B9237DF1A46CB1ABB53E2FC7981F849,available,effects/ressources/AM2000A2/source.bam
effects:bam:AM2000A3,AM2000A3,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x0130005D,82795,C255B419DD6D9B719A2DF0931453693769A71858473817BAE1C2B48B5853607E,available,effects/ressources/AM2000A3/source.bam
effects:bam:AM2000A4,AM2000A4,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x0130005E,80044,461C11AB9973F2591D4CDEF5820D2D5BD39D1AEE0F32468EFCF63EE59A8D9D3B,available,effects/ressources/AM2000A4/source.bam
effects:bam:AM2000B1,AM2000B1,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x01300060,51527,3AAE4C40D3CE13DA93156FB83EAF4362A8A959A99928A73600ACA8E36A061651,available,effects/ressources/AM2000B1/source.bam
effects:bam:AM2000B2,AM2000B2,dedicated-effect-bif,0,,0,,BAMC,V1,7,1,data/MISCAnim.bif,0x01300061,53453,AB4F5F6C3180F2F394F0902792AD5236BD1D0583B2B7E1F3452621409FCF4A9E,available,effects/ressources/AM2000B2/source.bam
