asset_key,relation,dependency_resref,allowed_formats,resolved_format,present,source_bif
effect:vef:FDAWNX,component-1-0,FDAWNX,VVC;BAM,VVC,yes,data/PATCH26.BIF
effect:vef:SPCOMEX,component-1-0,SPCOMEX1,VVC;BAM,VVC,yes,data/25Effect.bif
effect:vef:SPCOMEX,component-1-1,SPCOMEX2,VVC;BAM,VVC,yes,data/25Effect.bif
effect:vvc:1WDCCDAM,animation,1WDCCDAM,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:1WDCLDAM,animation,1WDCLDAM,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:1WDCMDAM,animation,1WDCMDAM,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:1WDCSDAM,animation,1WDCSDAM,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:1WDGARMR,animation,GARMORH,BAM,BAM,yes,data/GUIBam.bif
effect:vvc:1WDSARMR,animation,SARMORH,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ABJURH,animation,ABJURH,BAM,BAM,yes,data/Patch2.bif
effect:vvc:AMCALL,animation,SPCALLLI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:AMYAG_B,animation,AMYAG_B,BAM,BAM,yes,data/25MiscAn.bif
effect:vvc:AMYAG_F,animation,AMYAG_F,BAM,BAM,yes,data/25MiscAn.bif
effect:vvc:ANFIRE,animation,SPFIRETR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ANPILLAR,animation,FLMSTRK,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ASUMM1X,animation,ASUMM1X,BAM,BAM,yes,data/Patch2.bif
effect:vvc:BDETHER,animation,BDETHER,BAM,BAM,yes,data/Patch2.bif
effect:vvc:BDETHREA,animation,BDETHREA,BAM,BAM,yes,data/Patch2.bif
effect:vvc:BDETHREH,animation,BDETHREH,BAM,BAM,yes,data/Patch2.bif
effect:vvc:BDFAVSPI,animation,BDFAVSPI,BAM,BAM,yes,data/Patch2.bif
effect:vvc:BDFORCEW,animation,BDFORCEW,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:BDRSPIRI,animation,BDRSPIRI,BAM,BAM,yes,data/Patch2.bif
effect:vvc:BDSHSUM,animation,BDSHSUM,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:BDSPCLAR,animation,BDSPCLAR,BAM,BAM,yes,data/Patch2.bif
effect:vvc:BDSPLOCK,animation,BDSPLOCK,BAM,BAM,yes,data/Patch2.bif
effect:vvc:BDSPWARD,animation,BDSPWARD,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:BGLRYH,animation,BGLRYH,BAM,BAM,yes,data/Patch25.bif
effect:vvc:CALLLIGH,animation,SPCALLLI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:CDHORROR,animation,SPMINDAT,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:CDUNHVIS,animation,SPNWCHRM,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:COLDH,animation,COLDH,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:CSHIELDH,animation,CSHIELDH,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:CURSEH,animation,CURSEH,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:DDOORH,animation,DDOORH,BAM,BAM,yes,data/Patch2.bif
effect:vvc:DEATHWRD,animation,SPMAGGLO,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ENTTEST1,animation,SPENTAXL,BAM,,no,
effect:vvc:EXALTAH,animation,EXALTAH,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:FDAWNX,animation,FDAWNX,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:FIRE2B,animation,SPMETSWA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:FIRECOLD,animation,GRNDGLOW,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:FIREH,animation,FIREH,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:FIRENC01,animation,SPFIRSDI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:GLDUSTH,animation,GLDUSTH,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:ICARMOR,animation,SPARMORI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICBLESAI,animation,SPBLESHI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICCCMDSI,animation,SPCCMDSI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICCHMPSI,animation,SPCHMPSI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICCLKFR,animation,SPCLKFRI,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:ICCLKFR2,animation,SPCLKFRI,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:ICCSWOUI,animation,SPCSWOUI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICFIRSDI,animation,SPFIRSDI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICFRACTI,animation,SPFRACTI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICGLYPTI,animation,SPBLESHI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICINHIT,animation,SPIPLAAI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICINTRAV,animation,SPIPLARI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICMAGICH,animation,MMAGICH,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICPRAYI,animation,SPPRAYRI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICRAISEI,animation,SPRAISEI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICRMPAR2,animation,SPCMWOUI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICRMPARI,animation,SPCMWOUI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICSPAIN,animation,SPSPAINI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICSTRENI,animation,SPSTRENI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:ICSTRONE,animation,SPSTRONE,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:ICWRATI,animation,SPRWRATI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:MAGRES,animation,SPARMOUR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:MAGRES2,animation,SPARMOUR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:MAGRES3,animation,SPARMOUR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:MAGRES4,animation,SPARMOUR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:MINORGLB,animation,MINORGLB,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:MSOLG1,animation,MSOLG1,BAM,BAM,yes,data/25CreAni.bif
effect:vvc:MSUMM1H,animation,MSUMM1H,BAM,BAM,yes,data/Patch2.bif
effect:vvc:MSUMM1X,animation,MSUMM1X,BAM,BAM,yes,data/Patch2.bif
effect:vvc:OHBENVLP,animation,OHBENVLP,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHBGLYPH,animation,SPSOHOPI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:OHBGOLD,animation,OHBGOLD,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHDLPORT,animation,OHDLPORT,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHDSTREE,animation,OHDSTREE,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHHFIRRI,animation,SPPFIRRI,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:OHHNECR,animation,OHHNECR,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHHSMOVE,animation,SPARMOUR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:OHNPORTA,animation,OHNPORTA,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHNVIS1,animation,OHNVIS1,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHNVIS2,animation,OHNVIS2,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHNVIS3,animation,OHNVIS3,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHNVIS4,animation,OHNVIS4,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHNWAND1,animation,OHNWAND1,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRDARK,animation,OHRDARK,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRFEAR,animation,OHRFEAR,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRMIND,animation,OHRMIND,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRMJAR,animation,OHRMJAR,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRPOLY1,animation,OHRPOLY,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRPOLY2,animation,OHRPOLY,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRSGATE,animation,OHRSGATE,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRSGONE,animation,OHRSGONE,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRSHFIE,animation,OHRSHFIE,BAM,BAM,yes,data/GUIIcon.bif
effect:vvc:OHRSTEAM,animation,STEAM3,BAM,BAM,yes,data/MISCAnim.bif
effect:vvc:PARALH,animation,PARALH,BAM,BAM,yes,data/Patch2.bif
effect:vvc:POISON,animation,SHACID,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:POLYBACK,animation,SPPOLYMP,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:PRAYERB,animation,PRAYERB,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:PRAYERG,animation,PRAYERG,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:PROJEND,animation,SPPROIMG,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SHACID,animation,SHACID,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SHACID2,animation,SHACID,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SHAIR,animation,SHAIR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SHAREAB,animation,SHAREAB,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:SHAREAW,animation,SHAREAW,BAM,BAM,yes,data/PATCH26.BIF
effect:vvc:SPABJURA,animation,SPABJURA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPALTERA,animation,SPALTERA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPANISUM,animation,SPANISUM,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPARM2,animation,SPARMOUR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPARMOUR,animation,SPARMOUR,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPATTCK1,animation,SPATTCK1,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPATTCK2,animation,SPATTCK2,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPAURAFB,animation,SPAURAFB,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPAURAFD,animation,SPAURAFD,BAM,,no,
effect:vvc:SPAURAFF,animation,SPAURAFF,BAM,BAM,yes,data/25SpelAn.bif
effect:vvc:SPBEHBLA,animation,SPBEHBLA,BAM,BAM,yes,data/SPELAnim.bif
effect:vvc:SPBEHPOO,animation,SPCOMEXP,BAM,BAM,yes,data/25SpelAn.bif
