asset_key,asset_directory,spatial_run,spatial_state,interpolation_run,interpolation_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
effects:bam:0202A,effects/ressources/0202A,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:1WDCCDAM,effects/ressources/1WDCCDAM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:1WDCLDAM,effects/ressources/1WDCLDAM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:1WDCMDAM,effects/ressources/1WDCMDAM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:1WDCSDAM,effects/ressources/1WDCSDAM,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:ABJURH,effects/ressources/ABJURH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:ACIDBLOB,effects/ressources/ACIDBLOB,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:ACIDDTH,effects/ressources/ACIDDTH,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0021A,effects/ressources/AM0021A,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0202AT,effects/ressources/AM0202AT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0404A,effects/ressources/AM0404A,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0404B,effects/ressources/AM0404B,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0411A,effects/ressources/AM0411A,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0411B,effects/ressources/AM0411B,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0411B1,effects/ressources/AM0411B1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0411B2,effects/ressources/AM0411B2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0603D4,effects/ressources/AM0603D4,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0902L1,effects/ressources/AM0902L1,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0902L2,effects/ressources/AM0902L2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0902L3,effects/ressources/AM0902L3,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:AM0902L4,effects/ressources/AM0902L4,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
