asset_key,resref,format,dependency_count,source_bif,locator,source_size,source_sha256,extracted_path
effect:vvc:1WDCCDAM,1WDCCDAM,VVC,1,data/Effects.bif,0x00300000,492,BF1911D3C23CD5E69FDBF45134F92A1F1ED15BF771419E1DD7FB7F97B10D1FCE,effects/source/vvc/1WDCCDAM.vvc
effect:vvc:1WDCLDAM,1WDCLDAM,VVC,1,data/Effects.bif,0x00300001,492,ABAE3FE829151EF9A37147A8A73D1F4E93ADDED5F8AFFF0159552E2DC2E9F549,effects/source/vvc/1WDCLDAM.vvc
effect:vvc:1WDCMDAM,1WDCMDAM,VVC,1,data/Effects.bif,0x00300002,492,ADF90209FB0C2133F713AB17BAD38843513B2D649FD18DC220EDE315627E96E9,effects/source/vvc/1WDCMDAM.vvc
effect:vvc:1WDCSDAM,1WDCSDAM,VVC,1,data/Effects.bif,0x00300003,492,B9324629E269748BACCEE6AE8CB5BB4525AFB3534D2D60C07EF4C4AB6C66BC70,effects/source/vvc/1WDCSDAM.vvc
effect:vvc:1WDGARMR,1WDGARMR,VVC,1,data/Effects.bif,0x00300004,492,93DF27156AEC7AD1408BFA879C3AF537C7C70F109A69449F8F25ED90D1CCD567,effects/source/vvc/1WDGARMR.vvc
effect:vvc:1WDSARMR,1WDSARMR,VVC,1,data/Effects.bif,0x00300005,492,6D630ADA2E64050AA73F52D9E2828961654FA25905840FB5BA4910302C9B74CC,effects/source/vvc/1WDSARMR.vvc
effect:vvc:ABJURH,ABJURH,VVC,1,data/Patch2.bif,0x0BD00129,492,05E6653AF63803F56B0E364197B5BC44964C3052A2BF4B5E398A4EEC357BFC09,effects/source/vvc/ABJURH.vvc
effect:vvc:AMCALL,AMCALL,VVC,1,data/Effects.bif,0x00300006,492,CF560F385E19923F22025998E78CD049991AAD3E276F9A0CE1E8F8E849DFB981,effects/source/vvc/AMCALL.vvc
effect:vvc:AMYAG_B,AMYAG_B,VVC,1,data/25Effect.bif,0x08C00000,492,64C5FEB6C4EE417199C065409F08227C719EF5B3450660369317DDAE5C5A75C7,effects/source/vvc/AMYAG_B.vvc
effect:vvc:AMYAG_F,AMYAG_F,VVC,1,data/25Effect.bif,0x08C00001,492,8581E3E5E29DBF1B4E8872CEA6E074865A89A1735CDA546AC611FABF08B65D16,effects/source/vvc/AMYAG_F.vvc
effect:vvc:ANFIRE,ANFIRE,VVC,1,data/Effects.bif,0x00300007,492,F6C3A52B7E95AE90C6FB3DB145E21883BEC49FA5286BB15EE470859063BFDDAA,effects/source/vvc/ANFIRE.vvc
effect:vvc:ANPILLAR,ANPILLAR,VVC,1,data/Effects.bif,0x00300008,492,9473616BA2E78B52BE378924A79A35A3601325FD920777B1C7F48B1E5D51F19A,effects/source/vvc/ANPILLAR.vvc
effect:vvc:ASUMM1X,ASUMM1X,VVC,1,data/PATCH26.BIF,0x08600009,492,C3AC2EE0D1E8A49534F0E68B82768EFF9E3E971906167D26A5C2E3FB93F5366E,effects/source/vvc/ASUMM1X.vvc
effect:vvc:BDETHER,BDETHER,VVC,1,data/Patch2.bif,0x0BD00153,492,A52F4AC71EE202E8C39A4DB4017BA93BFFB854A0E02F8817A94138A374151B0F,effects/source/vvc/BDETHER.vvc
effect:vvc:BDETHREA,BDETHREA,VVC,1,data/Patch2.bif,0x0BD00156,492,499843B8580CE527EF8577EB7E2CB75C9ADE12781174F0F71AEAA07748886FC9,effects/source/vvc/BDETHREA.vvc
effect:vvc:BDETHREH,BDETHREH,VVC,1,data/Patch2.bif,0x0BD00158,492,DC22C434124A0FC12D6A261EF930E9EEBCCE0309D94115E6FF2C0B46568E7EBF,effects/source/vvc/BDETHREH.vvc
