asset_key,domain,asset_type,resref,bam_container,bam_version,frame_count,cycle_count,source_bif,locator,source_size,source_sha256,extracted_path
supplemental:effects:misc-animation-bam:0202A,effects,misc-animation-bam,0202A,BAMC,V1,9,1,data/MISCAnim.bif,0x01300000,265056,10044B8F674700577B2B29B58538E190EDF95CF586049922BE60225051C55506,graphics/source/effects/0202A.bam
supplemental:ui:ui-bam:25MAPIC,ui,ui-bam,25MAPIC,BAM,V2,651,19,data/25GuiBam.bif,0x08F00000,31468,5D67EF642B05365B91B8980F9316DB3279414DECD2413EFBAF3871D7EF4B1256,graphics/source/ui/25MAPIC.bam
supplemental:effects:spell-animation-bam:ACIDDTH,effects,spell-animation-bam,ACIDDTH,BAM,V1,63,2,data/SPELAnim.bif,0x01500001,18750,1B25F6AC0161A7059D025F1BBC56855BADA5B7B8B9B89DE0210522D05058D512,graphics/source/effects/ACIDDTH.bam
supplemental:effects:misc-animation-bam:AM0021A,effects,misc-animation-bam,AM0021A,BAMC,V1,9,1,data/MISCAnim.bif,0x01300001,176317,2FBF9E54929E529B07B80A1E5A3B726F2017BF4E70DA18F8DB26EBE248652BEF,graphics/source/effects/AM0021A.bam
supplemental:effects:misc-animation-bam:AM0202AT,effects,misc-animation-bam,AM0202AT,BAMC,V1,6,1,data/MISCAnim.bif,0x01300005,158047,DD782D98DB38EC77AEE4DC2919A71FFC471FD327002AAC3D436846844161D16A,graphics/source/effects/AM0202AT.bam
supplemental:effects:misc-animation-bam:AM0404A,effects,misc-animation-bam,AM0404A,BAMC,V1,9,1,data/MISCAnim.bif,0x01300013,77815,68CEBA9B21F1598124B69667021145BB7CE02788B6B51ECD20F5E664890ABC1C,graphics/source/effects/AM0404A.bam
supplemental:effects:misc-animation-bam:AM0404B,effects,misc-animation-bam,AM0404B,BAMC,V1,9,1,data/MISCAnim.bif,0x01300014,88103,FAFB57042CBEB102530C66FFE149E2A97206ED240242BB16445EC0E0FDFFE9DB,graphics/source/effects/AM0404B.bam
supplemental:effects:misc-animation-bam:AM0411A,effects,misc-animation-bam,AM0411A,BAMC,V1,7,1,data/MISCAnim.bif,0x01300017,253081,F23649664BFC0BD2A4D41285FE7A72D200E78B936EA8653C1C3B772DCD02C3E2,graphics/source/effects/AM0411A.bam
supplemental:effects:misc-animation-bam:AM0411B,effects,misc-animation-bam,AM0411B,BAMC,V1,7,1,data/MISCAnim.bif,0x01300018,281018,F0538C96A5847D305AB55D270BC349B6A9DD04552A587F432C69CB182A6DD50A,graphics/source/effects/AM0411B.bam
supplemental:effects:misc-animation-bam:AM0411B1,effects,misc-animation-bam,AM0411B1,BAMC,V1,7,1,data/MISCAnim.bif,0x01300019,162608,9835E76F02337A4F6A646CD006B0B16034D43EF05D877E6124DAF29AA94A0BE1,graphics/source/effects/AM0411B1.bam
supplemental:effects:misc-animation-bam:AM0411B2,effects,misc-animation-bam,AM0411B2,BAMC,V1,7,1,data/MISCAnim.bif,0x0130001A,160385,6D9692340EAD8718B00C647158F345695ABB005910BEC2DB6AF5EF0D924CA4E4,graphics/source/effects/AM0411B2.bam
supplemental:effects:misc-animation-bam:AM0603D4,effects,misc-animation-bam,AM0603D4,BAMC,V1,6,1,data/MISCAnim.bif,0x01300038,9243,DDE14A183239B4E29D89765E279489AD1BDA53452F6B3F950B3EF16F593880A6,graphics/source/effects/AM0603D4.bam
supplemental:effects:misc-animation-bam:AM0902L1,effects,misc-animation-bam,AM0902L1,BAMC,V1,8,1,data/MISCAnim.bif,0x0130004A,122614,AE0104BBEFC46FBC77B9CD46C5D1049BF20EC3B215290BB87D9E0C417ACE29EB,graphics/source/effects/AM0902L1.bam
supplemental:effects:misc-animation-bam:AM0902L2,effects,misc-animation-bam,AM0902L2,BAMC,V1,8,1,data/MISCAnim.bif,0x0130004B,52266,95BE65AA6E9C7F003FFA170643498C3E16638CB5C74958D984BE0066CF9711ED,graphics/source/effects/AM0902L2.bam
supplemental:effects:misc-animation-bam:AM0902L3,effects,misc-animation-bam,AM0902L3,BAMC,V1,8,1,data/MISCAnim.bif,0x0130004C,107371,88C752A0765B9D526443D8194648B23991E43C8E4786737F16727488252760CB,graphics/source/effects/AM0902L3.bam
supplemental:effects:misc-animation-bam:AM0902L4,effects,misc-animation-bam,AM0902L4,BAMC,V1,8,1,data/MISCAnim.bif,0x0130004D,90755,D88D4579F452673F305D171AC9F138AC6D5F74F4388BBB7DABE2676AB70BC368,graphics/source/effects/AM0902L4.bam
supplemental:effects:misc-animation-bam:AM2000A1,effects,misc-animation-bam,AM2000A1,BAMC,V1,7,1,data/MISCAnim.bif,0x0130005B,53094,AE49E90264F6331568BBD867C3C1D8821358D5CC8EBFCFBF8D522AD6D100ED4F,graphics/source/effects/AM2000A1.bam
supplemental:effects:misc-animation-bam:AM2000A2,effects,misc-animation-bam,AM2000A2,BAMC,V1,7,1,data/MISCAnim.bif,0x0130005C,51315,8CD188033E65CEC7EBEF9355733FD6116B9237DF1A46CB1ABB53E2FC7981F849,graphics/source/effects/AM2000A2.bam
supplemental:effects:misc-animation-bam:AM2000A3,effects,misc-animation-bam,AM2000A3,BAMC,V1,7,1,data/MISCAnim.bif,0x0130005D,82795,C255B419DD6D9B719A2DF0931453693769A71858473817BAE1C2B48B5853607E,graphics/source/effects/AM2000A3.bam
supplemental:effects:misc-animation-bam:AM2000A4,effects,misc-animation-bam,AM2000A4,BAMC,V1,7,1,data/MISCAnim.bif,0x0130005E,80044,461C11AB9973F2591D4CDEF5820D2D5BD39D1AEE0F32468EFCF63EE59A8D9D3B,graphics/source/effects/AM2000A4.bam
supplemental:effects:misc-animation-bam:AM2000B1,effects,misc-animation-bam,AM2000B1,BAMC,V1,7,1,data/MISCAnim.bif,0x01300060,51527,3AAE4C40D3CE13DA93156FB83EAF4362A8A959A99928A73600ACA8E36A061651,graphics/source/effects/AM2000B1.bam
supplemental:effects:misc-animation-bam:AM2000B2,effects,misc-animation-bam,AM2000B2,BAMC,V1,7,1,data/MISCAnim.bif,0x01300061,53453,AB4F5F6C3180F2F394F0902792AD5236BD1D0583B2B7E1F3452621409FCF4A9E,graphics/source/effects/AM2000B2.bam
supplemental:effects:misc-animation-bam:AM2000B3,effects,misc-animation-bam,AM2000B3,BAMC,V1,7,1,data/MISCAnim.bif,0x01300062,81353,8680118490C903E1AC51D3034EE4E52481D7D7600E2434491C91C334049DC19B,graphics/source/effects/AM2000B3.bam
supplemental:effects:misc-animation-bam:AM2000B4,effects,misc-animation-bam,AM2000B4,BAMC,V1,7,1,data/MISCAnim.bif,0x01300063,80972,EEC224BC8F744FB402F29B931CEF4BB273A2D5AEF5F7B2112CC7CAD44305A148,graphics/source/effects/AM2000B4.bam
supplemental:effects:misc-animation-bam:AM3000G,effects,misc-animation-bam,AM3000G,BAMC,V1,8,1,data/25MiscAn.bif,0x09B00002,43232,0D53F5A0A385B24EEE610E1918F79F5C55411FD83DADECA88C2B8856916D75CF,graphics/source/effects/AM3000G.bam
