resref,format,source_bif,locator,reason
IOHBCOM5,BAM,data/BlackPits.bif,0x00F00007,logical-owner-not-demonstrated
FOGOWAR,BAM,data/Default.bif,0x0000006E,logical-owner-not-demonstrated
ACIDGREE,BAM,data/PATCH26.BIF,0x08600006,logical-owner-not-demonstrated
FIREL,BAM,data/PATCH26.BIF,0x0860002E,logical-owner-not-demonstrated
FSEEDR,BAM,data/PATCH26.BIF,0x08600030,logical-owner-not-demonstrated
SPBDRASI,BAM,data/PATCH26.BIF,0x0860004E,logical-owner-not-demonstrated
SPCL238D,BAM,data/PATCH26.BIF,0x08600057,logical-owner-not-demonstrated
SPDFOGR,BAM,data/PATCH26.BIF,0x0860005B,logical-owner-not-demonstrated
SPDM105D,BAM,data/PATCH26.BIF,0x0860005E,logical-owner-not-demonstrated
SPFIRESP,BAM,data/PATCH26.BIF,0x08600062,logical-owner-not-demonstrated
SPPR111D,BAM,data/PATCH26.BIF,0x0860006A,logical-owner-not-demonstrated
4CHECK,BAM,data/Patch2.bif,0x0BD0002C,logical-owner-not-demonstrated
MPCHATAB,BAM,data/Patch2.bif,0x0BD00344,logical-owner-not-demonstrated
OHTYR2A,BAM,data/Patch2.bif,0x0BD0036E,logical-owner-not-demonstrated
OHTYR2B,BAM,data/Patch2.bif,0x0BD0036F,logical-owner-not-demonstrated
PAPERBUT,BAM,data/Patch2.bif,0x0BD00371,logical-owner-not-demonstrated
PARROW,BAM,data/Patch2.bif,0x0BD00375,logical-owner-not-demonstrated
PCHEV,BAM,data/Patch2.bif,0x0BD00378,logical-owner-not-demonstrated
QUESTBG,BAM,data/Patch2.bif,0x0BD00385,logical-owner-not-demonstrated
SPCL941A,BAM,data/Patch2.bif,0x0BD00393,logical-owner-not-demonstrated
SPCL941B,BAM,data/Patch2.bif,0x0BD00394,logical-owner-not-demonstrated
SPELFRMS,BAM,data/Patch2.bif,0x0BD00399,logical-owner-not-demonstrated
SPPR150A,BAM,data/Patch2.bif,0x0BD003A7,logical-owner-not-demonstrated
SPPR150B,BAM,data/Patch2.bif,0x0BD003A8,logical-owner-not-demonstrated
SPPR150D,BAM,data/Patch2.bif,0x0BD003AA,logical-owner-not-demonstrated
SPPR250A,BAM,data/Patch2.bif,0x0BD003AC,logical-owner-not-demonstrated
SPPR250B,BAM,data/Patch2.bif,0x0BD003AD,logical-owner-not-demonstrated
SPPR350A,BAM,data/Patch2.bif,0x0BD003B0,logical-owner-not-demonstrated
SPPR350B,BAM,data/Patch2.bif,0x0BD003B1,logical-owner-not-demonstrated
SPPR450A,BAM,data/Patch2.bif,0x0BD003B4,logical-owner-not-demonstrated
SPPR450B,BAM,data/Patch2.bif,0x0BD003B5,logical-owner-not-demonstrated
SPPR550A,BAM,data/Patch2.bif,0x0BD003B9,logical-owner-not-demonstrated
SPPR550B,BAM,data/Patch2.bif,0x0BD003BA,logical-owner-not-demonstrated
SPPR650A,BAM,data/Patch2.bif,0x0BD003BD,logical-owner-not-demonstrated
SPPR650B,BAM,data/Patch2.bif,0x0BD003BE,logical-owner-not-demonstrated
SPPR750A,BAM,data/Patch2.bif,0x0BD003C2,logical-owner-not-demonstrated
SPPR750B,BAM,data/Patch2.bif,0x0BD003C3,logical-owner-not-demonstrated
SPPR750D,BAM,data/Patch2.bif,0x0BD003C6,logical-owner-not-demonstrated
