asset_key,relation,dependency_resref,dependency_format,present,source_bif,locator,source_size,source_sha256,extracted_path
icon:1CHELM01,texture-page,MOS0000,PVRZ,yes,data/bgee.bif,0x0B00004C,67034,4F9C7F3AAE74ECA50AC38C1F56AF9AFBDFC27CDC56C4E52F2891591245483A4E,icons/dependencies/pvrz/MOS0000.pvrz
icon:1CHELM03,texture-page,MOS0000,PVRZ,yes,data/bgee.bif,0x0B00004C,67034,4F9C7F3AAE74ECA50AC38C1F56AF9AFBDFC27CDC56C4E52F2891591245483A4E,icons/dependencies/pvrz/MOS0000.pvrz
icon:1CHELM11,texture-page,MOS0000,PVRZ,yes,data/bgee.bif,0x0B00004C,67034,4F9C7F3AAE74ECA50AC38C1F56AF9AFBDFC27CDC56C4E52F2891591245483A4E,icons/dependencies/pvrz/MOS0000.pvrz
icon:1CHELM17,texture-page,MOS0000,PVRZ,yes,data/bgee.bif,0x0B00004C,67034,4F9C7F3AAE74ECA50AC38C1F56AF9AFBDFC27CDC56C4E52F2891591245483A4E,icons/dependencies/pvrz/MOS0000.pvrz
icon:1CHELM18,texture-page,MOS0000,PVRZ,yes,data/bgee.bif,0x0B00004C,67034,4F9C7F3AAE74ECA50AC38C1F56AF9AFBDFC27CDC56C4E52F2891591245483A4E,icons/dependencies/pvrz/MOS0000.pvrz
icon:1CHELM20,texture-page,MOS0000,PVRZ,yes,data/bgee.bif,0x0B00004C,67034,4F9C7F3AAE74ECA50AC38C1F56AF9AFBDFC27CDC56C4E52F2891591245483A4E,icons/dependencies/pvrz/MOS0000.pvrz
icon:1CHELM21,texture-page,MOS0000,PVRZ,yes,data/bgee.bif,0x0B00004C,67034,4F9C7F3AAE74ECA50AC38C1F56AF9AFBDFC27CDC56C4E52F2891591245483A4E,icons/dependencies/pvrz/MOS0000.pvrz
icon:1CHELMX2,texture-page,MOS0000,PVRZ,yes,data/bgee.bif,0x0B00004C,67034,4F9C7F3AAE74ECA50AC38C1F56AF9AFBDFC27CDC56C4E52F2891591245483A4E,icons/dependencies/pvrz/MOS0000.pvrz
icon:1CHELMX2,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CHELMX3,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CHELMX6,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CSHLDB1,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CSHLDL1,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CSHLDL2,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CSHLDL3,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CSHLDM2,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CSTAFM,texture-page,MOS0001,PVRZ,yes,data/bgee.bif,0x0B00004D,60383,DE771F806D8A7872E6397C49D22709B8DE8049BCD7FC70DEE51F88B868E9503C,icons/dependencies/pvrz/MOS0001.pvrz
icon:1CSTAFM,texture-page,MOS0002,PVRZ,yes,data/bgee.bif,0x0B00004E,40286,4C5F581B08CB7D891A1F92AFAA1B21CEFB5EA92D53EF7CD8D5748AB674387759,icons/dependencies/pvrz/MOS0002.pvrz
icon:C6LANTHO,texture-page,MOS0018,PVRZ,yes,data/bgee.bif,0x0B00005E,70875,AB55300E7B6D4C5B5817EF6DB9DA5F36B74BDAE1F550CC751D34F4446712EF5D,icons/dependencies/pvrz/MOS0018.pvrz
icon:CAMUL01,texture-page,MOS0018,PVRZ,yes,data/bgee.bif,0x0B00005E,70875,AB55300E7B6D4C5B5817EF6DB9DA5F36B74BDAE1F550CC751D34F4446712EF5D,icons/dependencies/pvrz/MOS0018.pvrz
icon:CAMUL02,texture-page,MOS0018,PVRZ,yes,data/bgee.bif,0x0B00005E,70875,AB55300E7B6D4C5B5817EF6DB9DA5F36B74BDAE1F550CC751D34F4446712EF5D,icons/dependencies/pvrz/MOS0018.pvrz
icon:CAMUL02,texture-page,MOS0019,PVRZ,yes,data/bgee.bif,0x0B00005F,45370,479ED62F0703B1D802538BDA1F38316C1F45C9ECB11590B8ACA4453D3038E116,icons/dependencies/pvrz/MOS0019.pvrz
icon:CAMUL10,texture-page,MOS0019,PVRZ,yes,data/bgee.bif,0x0B00005F,45370,479ED62F0703B1D802538BDA1F38316C1F45C9ECB11590B8ACA4453D3038E116,icons/dependencies/pvrz/MOS0019.pvrz
icon:CAMUL14,texture-page,MOS0019,PVRZ,yes,data/bgee.bif,0x0B00005F,45370,479ED62F0703B1D802538BDA1F38316C1F45C9ECB11590B8ACA4453D3038E116,icons/dependencies/pvrz/MOS0019.pvrz
icon:CAMUL15,texture-page,MOS0019,PVRZ,yes,data/bgee.bif,0x0B00005F,45370,479ED62F0703B1D802538BDA1F38316C1F45C9ECB11590B8ACA4453D3038E116,icons/dependencies/pvrz/MOS0019.pvrz
icon:CAMUL16,texture-page,MOS0019,PVRZ,yes,data/bgee.bif,0x0B00005F,45370,479ED62F0703B1D802538BDA1F38316C1F45C9ECB11590B8ACA4453D3038E116,icons/dependencies/pvrz/MOS0019.pvrz
icon:CAMUL17,texture-page,MOS0019,PVRZ,yes,data/bgee.bif,0x0B00005F,45370,479ED62F0703B1D802538BDA1F38316C1F45C9ECB11590B8ACA4453D3038E116,icons/dependencies/pvrz/MOS0019.pvrz
icon:CAMUL19,texture-page,MOS0019,PVRZ,yes,data/bgee.bif,0x0B00005F,45370,479ED62F0703B1D802538BDA1F38316C1F45C9ECB11590B8ACA4453D3038E116,icons/dependencies/pvrz/MOS0019.pvrz
icon:CAMUL20,texture-page,MOS0019,PVRZ,yes,data/bgee.bif,0x0B00005F,45370,479ED62F0703B1D802538BDA1F38316C1F45C9ECB11590B8ACA4453D3038E116,icons/dependencies/pvrz/MOS0019.pvrz
