asset_key,resref,family,usage_count,owner_count
icon:1AMUL07B,1AMUL07B,item-inventory,1,1
icon:1BAND05,1BAND05,item-inventory,2,2
icon:1BAND06,1BAND06,item-inventory,1,1
icon:1BOLTS02,1BOLTS02,item-inventory,1,1
icon:1CBAND05,1CBAND05,item-description,2,2
icon:1CBAND06,1CBAND06,item-description,1,1
icon:1CHELM01,1CHELM01,item-description,1,1
icon:1CHELM03,1CHELM03,item-description,2,2
icon:1CHELM11,1CHELM11,item-description,1,1
icon:1CHELM17,1CHELM17,item-description,1,1
icon:1CHELM18,1CHELM18,item-description,2,2
icon:1CHELM20,1CHELM20,item-description,1,1
icon:1CHELM21,1CHELM21,item-description,2,2
icon:1CHELMX2,1CHELMX2,item-description,1,1
icon:1CHELMX3,1CHELMX3,item-description,1,1
icon:1CHELMX4,1CHELMX4,item-description,1,1
icon:1CHELMX6,1CHELMX6,item-description,2,2
icon:1CLCK07B,1CLCK07B,item-inventory,1,1
icon:1CLCK27B,1CLCK27B,item-inventory,1,1
icon:1CSHLDB1,1CSHLDB1,item-description,6,6
icon:1CSHLDL1,1CSHLDL1,item-description,1,1
icon:1CSHLDL2,1CSHLDL2,item-description,1,1
icon:1CSHLDL3,1CSHLDL3,item-description,1,1
icon:1CSHLDM2,1CSHLDM2,item-description,1,1
icon:1CSTAFM,1CSTAFM,item-description,1,1
icon:1GSTAFGS,1GSTAFGS,item-ground,3,3
icon:1HELM01,1HELM01,item-inventory,1,1
icon:1HELM02,1HELM02,item-inventory,1,1
icon:1HELM03,1HELM03,item-inventory,1,1
icon:1HELM05,1HELM05,item-inventory,1,1
icon:1HELM07,1HELM07,item-inventory,2,2
icon:1HELM08,1HELM08,item-inventory,1,1
icon:1HELM12,1HELM12,item-inventory,1,1
icon:1HELM15,1HELM15,item-inventory,1,1
icon:1HELM16,1HELM16,item-inventory,1,1
icon:1HELM17,1HELM17,item-inventory,1,1
icon:1HELM18,1HELM18,item-inventory,1,1
icon:1HELM19,1HELM19,item-inventory,1,1
icon:1HELM20,1HELM20,item-inventory,1,1
icon:1HELM21,1HELM21,item-inventory,2,2
