asset_key,resref,frame_index,width,height,center_x,center_y,block_count
icon:1AMUL07B,1AMUL07B,0,29,33,14,16,
icon:1AMUL07B,1AMUL07B,1,32,32,0,0,
icon:1BAND05,1BAND05,0,46,41,23,20,
icon:1BAND05,1BAND05,1,32,33,0,0,
icon:1BAND06,1BAND06,0,46,41,23,20,
icon:1BAND06,1BAND06,1,32,33,0,0,
icon:1BOLTS02,1BOLTS02,0,58,42,29,21,
icon:1CBAND05,1CBAND05,0,153,205,74,101,
icon:1CBAND06,1CBAND06,0,153,205,74,101,
icon:1CHELM01,1CHELM01,0,120,136,0,0,3
icon:1CHELM03,1CHELM03,0,128,154,0,0,8
icon:1CHELM11,1CHELM11,0,160,197,0,0,7
icon:1CHELM17,1CHELM17,0,160,197,0,0,7
icon:1CHELM18,1CHELM18,0,160,197,0,0,10
icon:1CHELM20,1CHELM20,0,160,197,0,0,6
icon:1CHELM21,1CHELM21,0,160,197,0,0,11
icon:1CHELMX2,1CHELMX2,0,160,188,0,0,9
icon:1CHELMX3,1CHELMX3,0,160,188,0,0,8
icon:1CHELMX4,1CHELMX4,0,153,188,74,101,
icon:1CHELMX6,1CHELMX6,0,160,188,0,0,8
icon:1CLCK07B,1CLCK07B,0,56,63,28,31,
icon:1CLCK27B,1CLCK27B,0,54,64,27,32,
icon:1CSHLDB1,1CSHLDB1,0,160,205,0,0,6
icon:1CSHLDL1,1CSHLDL1,0,160,205,0,0,9
icon:1CSHLDL2,1CSHLDL2,0,160,205,0,0,8
icon:1CSHLDL3,1CSHLDL3,0,160,205,0,0,6
icon:1CSHLDM2,1CSHLDM2,0,160,205,0,0,10
icon:1CSTAFM,1CSTAFM,0,176,210,0,0,9
icon:1GSTAFGS,1GSTAFGS,0,73,35,34,21,
icon:1HELM01,1HELM01,0,34,38,17,19,
icon:1HELM02,1HELM02,0,62,48,31,24,
icon:1HELM03,1HELM03,0,63,46,31,23,
icon:1HELM05,1HELM05,0,52,37,26,18,
icon:1HELM07,1HELM07,0,52,38,26,19,
icon:1HELM08,1HELM08,0,42,39,21,19,
icon:1HELM12,1HELM12,0,28,44,14,22,
icon:1HELM15,1HELM15,0,28,32,14,16,
icon:1HELM16,1HELM16,0,41,45,20,22,
icon:1HELM17,1HELM17,0,43,48,21,24,
icon:1HELM18,1HELM18,0,60,56,30,28,
icon:1HELM19,1HELM19,0,59,56,29,28,
icon:1HELM20,1HELM20,0,60,56,30,28,
icon:1HELM21,1HELM21,0,56,42,28,21,
icon:1HELM22,1HELM22,0,56,26,28,13,
icon:1HELM24,1HELM24,0,50,41,25,20,
icon:1HELM26,1HELM26,0,50,35,25,17,
icon:1QBULL03,1QBULL03,0,49,64,24,32,
icon:1QUIV02,1QUIV02,0,52,42,26,21,
icon:1SHLDL02,1SHLDL02,0,45,66,22,33,
icon:1SHLDL03,1SHLDL03,0,45,66,22,33,
icon:1SHLDL05,1SHLDL05,0,45,66,22,33,
icon:1SHLDM02,1SHLDM02,0,45,62,22,31,
icon:1SWH00,1SWH00,0,50,48,25,24,
icon:C6LANTHO,C6LANTHO,0,112,180,0,0,7
icon:CAMUL01,CAMUL01,0,91,174,0,0,10
icon:CAMUL02,CAMUL02,0,90,180,0,0,11
icon:CAMUL10,CAMUL10,0,103,101,0,0,6
icon:CAMUL14,CAMUL14,0,88,180,0,0,10
icon:CAMUL15,CAMUL15,0,85,185,0,0,10
icon:CAMUL16,CAMUL16,0,98,187,0,0,11
icon:CAMUL17,CAMUL17,0,98,180,0,0,9
icon:CAMUL19,CAMUL19,0,84,142,0,0,6
icon:CAMUL20,CAMUL20,0,85,144,0,0,6
icon:CAMUL21,CAMUL21,0,86,149,0,0,6
icon:CAMUL22,CAMUL22,0,87,154,0,0,5
icon:CAMUL23,CAMUL23,0,86,156,0,0,9
icon:CAMUL24,CAMUL24,0,79,148,0,0,5
icon:CAMUL25,CAMUL25,0,106,152,0,0,9
icon:CAROW01,CAROW01,0,165,168,0,0,7
icon:CAROW02,CAROW02,0,87,150,0,0,5
icon:CAROW03,CAROW03,0,127,200,0,0,7
icon:CAROW04,CAROW04,0,126,200,0,0,5
icon:CAROW05,CAROW05,0,90,151,0,0,6
icon:CAROW06,CAROW06,0,88,144,0,0,5
icon:CAROW07,CAROW07,0,86,139,0,0,6
icon:CAROW08,CAROW08,0,91,149,0,0,5
icon:CAROW09,CAROW09,0,87,143,0,0,5
icon:CAROW10,CAROW10,0,86,142,0,0,5
icon:CAROW11,CAROW11,0,132,200,0,0,7
icon:CAX1H01,CAX1H01,0,114,174,0,0,6
icon:CAX1H04,CAX1H04,0,164,154,0,0,5
icon:CAX1H05,CAX1H05,0,147,136,0,0,7
icon:CAX1H08,CAX1H08,0,117,152,0,0,7
icon:CAX1H09,CAX1H09,0,127,146,0,0,6
icon:CAX1H10,CAX1H10,0,138,153,0,0,7
icon:CAX1H11,CAX1H11,0,151,162,0,0,7
icon:CAX1H12,CAX1H12,0,135,155,0,0,7
icon:CAX1H13,CAX1H13,0,153,145,0,0,7
icon:CBAG02,CBAG02,0,104,127,0,0,4
icon:CBAG03,CBAG03,0,111,122,0,0,5
icon:CBAG04,CBAG04,0,111,115,0,0,3
icon:CBDAMU02,CBDAMU02,0,123,190,0,0,10
icon:CBDBLN16,CBDBLN16,0,180,180,0,0,8
icon:CBDBRD03,CBDBRD03,0,180,180,0,0,7
icon:CBDDUMPL,CBDDUMPL,0,169,180,0,0,6
icon:CBDHEL11,CBDHEL11,0,180,180,0,0,6
icon:CBDMSC5G,CBDMSC5G,0,180,176,0,0,10
icon:CBELT01,CBELT01,0,133,102,0,0,5
icon:CBELT02,CBELT02,0,133,95,0,0,1
icon:CBELT03,CBELT03,0,153,115,0,0,4
icon:CBELT04,CBELT04,0,148,91,0,0,3
icon:CBELT05,CBELT05,0,152,96,0,0,4
icon:CBELT06,CBELT06,0,151,112,0,0,5
icon:CBELT07,CBELT07,0,148,114,0,0,1
icon:CBELT08,CBELT08,0,152,114,0,0,1
icon:CBELT09,CBELT09,0,155,122,0,0,5
icon:CBELT10,CBELT10,0,144,115,0,0,2
icon:CBELTBW,CBELTBW,0,170,180,0,0,7
icon:CBELTSH,CBELTSH,0,160,180,0,0,10
icon:CBELTTY,CBELTTY,0,113,147,0,0,7
icon:CBLUN01,CBLUN01,0,112,158,0,0,5
icon:CBLUN02,CBLUN02,0,159,154,0,0,7
icon:CBLUN04,CBLUN04,0,109,179,0,0,4
icon:CBLUN05,CBLUN05,0,104,164,0,0,5
icon:CBLUN06,CBLUN06,0,103,165,0,0,7
icon:CBLUN07,CBLUN07,0,96,174,0,0,8
icon:CBLUN10,CBLUN10,0,107,187,0,0,7
icon:CBLUN12,CBLUN12,0,114,214,0,0,8
icon:CBLUN13,CBLUN13,0,166,191,0,0,8
icon:CBLUN14,CBLUN14,0,156,185,0,0,8
icon:CBLUN14A,CBLUN14A,0,99,200,0,0,5
icon:CBLUN14B,CBLUN14B,0,93,199,0,0,11
icon:CBLUN14C,CBLUN14C,0,104,197,0,0,9
icon:CBLUN14D,CBLUN14D,0,163,172,0,0,11
icon:CBLUN14E,CBLUN14E,0,146,193,0,0,7
icon:CBLUN14F,CBLUN14F,0,132,161,0,0,3
icon:CBLUN14G,CBLUN14G,0,128,187,0,0,5
icon:CBLUN14H,CBLUN14H,0,127,182,0,0,7
icon:CBLUN14I,CBLUN14I,0,122,163,0,0,9
icon:CBLUN15,CBLUN15,0,105,198,0,0,9
icon:CBLUN17,CBLUN17,0,117,193,0,0,9
icon:CBLUN18,CBLUN18,0,136,226,0,0,9
icon:CBLUN20,CBLUN20,0,93,200,0,0,11
icon:CBLUN21,CBLUN21,0,114,190,0,0,7
icon:CBLUN22,CBLUN22,0,150,228,0,0,10
icon:CBLUN23,CBLUN23,0,123,153,0,0,5
icon:CBLUN24,CBLUN24,0,102,166,0,0,4
icon:CBOLT01,CBOLT01,0,86,89,0,0,3
icon:CBOLT02,CBOLT02,0,100,12,0,0,1
icon:CBOLT03,CBOLT03,0,92,14,0,0,1
icon:CBOLT04,CBOLT04,0,95,10,0,0,1
icon:CBOLT05,CBOLT05,0,92,10,0,0,1
icon:CBOLT06,CBOLT06,0,114,18,0,0,1
icon:CBOOK01,CBOOK01,0,153,143,0,0,4
icon:CBOOK02,CBOOK02,0,131,148,0,0,7
icon:CBOOK09,CBOOK09,0,108,116,0,0,4
icon:CBOOK89,CBOOK89,0,147,134,0,0,8
icon:CBOOK90,CBOOK90,0,139,127,0,0,6
icon:CBOOK91,CBOOK91,0,128,121,0,0,5
icon:CBOOK92,CBOOK92,0,136,124,0,0,5
icon:CBOOK93,CBOOK93,0,128,120,0,0,5
icon:CBOOT01,CBOOT01,0,132,126,0,0,3
icon:CBOOT02,CBOOT02,0,136,130,0,0,7
icon:CBOOT03,CBOOT03,0,141,129,0,0,6
icon:CBOOT04,CBOOT04,0,131,128,0,0,5
icon:CBOOT05,CBOOT05,0,148,128,0,0,3
icon:CBOOT06,CBOOT06,0,160,167,0,0,5
icon:CBOOT07,CBOOT07,0,157,171,0,0,8
icon:CBOOT08,CBOOT08,0,166,172,0,0,8
icon:CBOOT09,CBOOT09,0,147,173,0,0,7
icon:CBOOT10,CBOOT10,0,154,182,0,0,8
icon:CBOOT11,CBOOT11,0,160,187,0,0,5
icon:CBOW01,CBOW01,0,112,187,0,0,8
icon:CBOW02,CBOW02,0,117,204,0,0,9
icon:CBOW03,CBOW03,0,115,200,0,0,9
icon:CBOW04,CBOW04,0,122,208,0,0,9
icon:CBOW05,CBOW05,0,113,193,0,0,10
icon:CBOW06,CBOW06,0,117,197,0,0,10
icon:CBOW07,CBOW07,0,179,234,0,0,11
icon:CBOW08,CBOW08,0,136,218,0,0,9
icon:CBOW09,CBOW09,0,133,154,0,0,6
icon:CBOW10,CBOW10,0,130,154,0,0,6
icon:CBOW11,CBOW11,0,144,176,0,0,8
icon:CBOW12,CBOW12,0,155,208,0,0,10
icon:CBOW13,CBOW13,0,139,178,0,0,10
icon:CBOW14,CBOW14,0,113,136,0,0,6
icon:CBOW15,CBOW15,0,120,172,0,0,7
icon:CBOW16,CBOW16,0,137,206,0,0,8
icon:CBOW17,CBOW17,0,140,198,0,0,9
icon:CBOW18,CBOW18,0,112,147,0,0,6
icon:CBOW19,CBOW19,0,113,141,0,0,6
icon:CBOW19A,CBOW19A,0,114,141,0,0,5
icon:CBOW19B,CBOW19B,0,69,101,0,0,4
icon:CBRAC01,CBRAC01,0,159,161,0,0,6
icon:CBRAC02,CBRAC02,0,155,153,0,0,5
icon:CBRAC03,CBRAC03,0,126,131,0,0,2
icon:CBRAC04,CBRAC04,0,140,119,0,0,1
icon:CBRAC05,CBRAC05,0,125,116,0,0,1
icon:CBRAC06,CBRAC06,0,158,168,0,0,3
icon:CBRAC07,CBRAC07,0,170,162,0,0,9
icon:CBRAC08,CBRAC08,0,130,129,0,0,5
icon:CBRAC09,CBRAC09,0,156,144,0,0,5
icon:CBRAC10,CBRAC10,0,138,141,0,0,9
icon:CBRAC12,CBRAC12,0,126,117,0,0,6
icon:CBRAC13,CBRAC13,0,122,117,0,0,2
icon:CBRAC14,CBRAC14,0,116,118,0,0,4
icon:CBRAC15,CBRAC15,0,128,121,0,0,6
icon:CBRAC16,CBRAC16,0,140,132,0,0,4
icon:CBRAC17,CBRAC17,0,149,163,0,0,8
icon:CBRAC18,CBRAC18,0,154,160,0,0,6
icon:CBRAC19,CBRAC19,0,137,141,0,0,5
icon:CBRAC20,CBRAC20,0,153,160,0,0,4
icon:CBULL01,CBULL01,0,54,61,0,0,1
icon:CBULL02,CBULL02,0,51,53,0,0,1
icon:CBULL03,CBULL03,0,50,54,0,0,2
icon:CBULL04,CBULL04,0,52,51,0,0,2
icon:CCHAN01,CCHAN01,0,99,142,0,0,4
icon:CCHAN02,CCHAN02,0,95,135,0,0,5
icon:CCHAN03,CCHAN03,0,93,134,0,0,3
icon:CCHAN04,CCHAN04,0,94,132,0,0,5
icon:CCHAN05,CCHAN05,0,92,135,0,0,6
icon:CCHAN06,CCHAN06,0,120,212,0,0,7
icon:CCHAN08,CCHAN08,0,130,194,0,0,7
icon:CCHAN09,CCHAN09,0,126,187,0,0,8
icon:CCHAN10,CCHAN10,0,126,193,0,0,2
icon:CCHAN11,CCHAN11,0,125,190,0,0,2
icon:CCHAN12,CCHAN12,0,138,195,0,0,8
icon:CCHAN13,CCHAN13,0,125,191,0,0,7
icon:CCHAN14,CCHAN14,0,133,191,0,0,8
icon:CCHAN15,CCHAN15,0,138,201,0,0,9
icon:CCHAN16,CCHAN16,0,132,206,0,0,7
icon:CCHAN17,CCHAN17,0,132,201,0,0,10
icon:CCHAN18,CCHAN18,0,138,186,0,0,6
icon:CCLCK01,CCLCK01,0,135,182,0,0,6
icon:CCLCK03,CCLCK03,0,136,206,0,0,8
icon:CCLCK04,CCLCK04,0,133,196,0,0,12
icon:CCLCK05,CCLCK05,0,141,201,0,0,6
icon:CCLCK06,CCLCK06,0,156,230,0,0,12
icon:CCLCK07,CCLCK07,0,146,205,0,0,11
icon:CCLCK08,CCLCK08,0,143,167,0,0,9
icon:CCLCK09,CCLCK09,0,104,192,0,0,10
icon:CCLCK12,CCLCK12,0,99,194,0,0,9
icon:CCLCK15,CCLCK15,0,106,179,0,0,5
icon:CCLCK20,CCLCK20,0,144,198,0,0,6
icon:CCLCK23,CCLCK23,0,141,182,0,0,8
icon:CCLCK24,CCLCK24,0,141,178,0,0,4
icon:CCLCK25,CCLCK25,0,138,180,0,0,6
icon:CCLCK26,CCLCK26,0,150,204,0,0,8
icon:CCLCK27,CCLCK27,0,160,214,0,0,5
icon:CCLCK28,CCLCK28,0,152,218,0,0,7
icon:CCLCK29,CCLCK29,0,144,197,0,0,6
icon:CDAGG01,CDAGG01,0,75,125,0,0,6
icon:CDAGG02,CDAGG02,0,146,55,0,0,2
icon:CDAGG03,CDAGG03,0,147,54,0,0,1
icon:CDAGG04,CDAGG04,0,162,41,0,0,2
icon:CDAGG05,CDAGG05,0,146,19,0,0,1
icon:CDAGG10,CDAGG10,0,160,189,0,0,4
icon:CDAGG11,CDAGG11,0,123,142,0,0,8
icon:CDAGG12,CDAGG12,0,141,208,0,0,8
icon:CDAGG13,CDAGG13,0,165,211,0,0,15
icon:CDAGG14,CDAGG14,0,134,222,0,0,10
icon:CDAGG15,CDAGG15,0,112,223,0,0,10
icon:CDAGG16,CDAGG16,0,122,191,0,0,9
icon:CDAGG17,CDAGG17,0,122,199,0,0,7
icon:CDAGG18,CDAGG18,0,136,211,0,0,12
icon:CDAGG19,CDAGG19,0,132,202,0,0,9
icon:CDART01,CDART01,0,146,18,0,0,1
icon:CDART02,CDART02,0,142,20,0,0,1
icon:CDART03,CDART03,0,140,22,0,0,1
icon:CDART04,CDART04,0,141,26,0,0,1
icon:CDART05,CDART05,0,123,187,0,0,5
icon:CDART06,CDART06,0,110,172,0,0,6
icon:CDBLUN01,CDBLUN01,0,143,136,0,0,11
icon:CDBOLT01,CDBOLT01,0,125,134,0,0,6
icon:CDBOLT02,CDBOLT02,0,145,142,0,0,7
icon:CDBOLT03,CDBOLT03,0,134,154,0,0,8
icon:CDCHAN01,CDCHAN01,0,148,200,0,0,7
icon:CDCHAN02,CDCHAN02,0,141,201,0,0,6
icon:CDCLCK01,CDCLCK01,0,152,198,0,0,6
icon:CDDUST01,CDDUST01,0,152,108,0,0,4
icon:CDHALB01,CDHALB01,0,224,193,0,0,10
icon:CDPLAT01,CDPLAT01,0,103,138,0,0,8
icon:CDSHLD01,CDSHLD01,0,117,222,0,0,8
icon:CDSPER01,CDSPER01,0,167,224,0,0,9
icon:CDSW1H01,CDSW1H01,0,162,212,0,0,12
icon:CDSW1H02,CDSW1H02,0,166,179,0,0,7
icon:CDXBOW01,CDXBOW01,0,138,168,0,0,4
icon:CFAMCAT,CFAMCAT,0,100,148,0,0,6
icon:CFAMFER,CFAMFER,0,99,125,0,0,4
icon:CFAMIMP,CFAMIMP,0,137,109,0,0,6
icon:CFAMPSD,CFAMPSD,0,152,168,0,0,8
icon:CFAMRAB,CFAMRAB,0,98,125,0,0,4
icon:CGBER01,CGBER01,0,162,166,0,0,7
icon:CHALB01,CHALB01,0,129,199,0,0,9
icon:CHALB02,CHALB02,0,114,185,0,0,6
icon:CHALB03,CHALB03,0,152,247,0,0,5
icon:CHALB04,CHALB04,0,115,144,0,0,7
icon:CHALB05,CHALB05,0,120,133,0,0,7
icon:CHALB06,CHALB06,0,127,140,0,0,7
icon:CHALB07,CHALB07,0,151,190,0,0,9
icon:CHALB08,CHALB08,0,125,134,0,0,7
icon:CHALB09,CHALB09,0,147,143,0,0,8
icon:CHALB09A,CHALB09A,0,123,153,0,0,7
icon:CHALB09B,CHALB09B,0,83,114,0,0,5
icon:CHAMM01,CHAMM01,0,122,173,0,0,7
icon:CHAMM02,CHAMM02,0,112,164,0,0,7
icon:CHAMM03,CHAMM03,0,133,195,0,0,11
icon:CHAMM05,CHAMM05,0,121,123,0,0,4
icon:CHAMM06,CHAMM06,0,121,122,0,0,4
icon:CHAMM07,CHAMM07,0,120,132,0,0,3
icon:CHAMM08,CHAMM08,0,121,132,0,0,6
icon:CHELM01,CHELM01,0,122,169,0,0,3
icon:CHELM03,CHELM03,0,112,136,0,0,7
icon:CHELM04,CHELM04,0,134,132,0,0,6
icon:CHELM05,CHELM05,0,104,173,0,0,4
icon:CHELM07,CHELM07,0,168,131,0,0,5
icon:CHELM16,CHELM16,0,153,198,0,0,7
icon:CHELM17,CHELM17,0,128,196,0,0,7
icon:CHELM18,CHELM18,0,85,68,0,0,2
icon:CHELM20,CHELM20,0,84,68,0,0,4
icon:CHELM21,CHELM21,0,152,119,0,0,6
icon:CKEY01,CKEY01,0,83,132,0,0,8
icon:CKEY02,CKEY02,0,105,137,0,0,6
icon:CKEY03,CKEY03,0,99,130,0,0,6
icon:CKEY04,CKEY04,0,143,94,0,0,4
icon:CKEY05,CKEY05,0,88,144,0,0,6
icon:CKEY06,CKEY06,0,91,152,0,0,6
icon:CKEY07,CKEY07,0,88,131,0,0,4
icon:CKEY08,CKEY08,0,112,172,0,0,7
icon:CKEY09,CKEY09,0,93,136,0,0,2
icon:CKEY10,CKEY10,0,96,151,0,0,4
icon:CKEY11,CKEY11,0,132,169,0,0,9
icon:CKEY12,CKEY12,0,104,139,0,0,8
icon:CKEY13,CKEY13,0,92,142,0,0,5
icon:CKEY14,CKEY14,0,117,84,0,0,5
icon:CKEY15,CKEY15,0,116,108,0,0,5
icon:CKEY16,CKEY16,0,122,80,0,0,2
icon:CKEY17,CKEY17,0,88,94,0,0,3
icon:CKEY18,CKEY18,0,87,129,0,0,4
icon:CKEY19,CKEY19,0,112,139,0,0,7
icon:CKEY20,CKEY20,0,141,217,0,0,3
icon:CKEY21,CKEY21,0,101,130,0,0,8
icon:CKEY22,CKEY22,0,88,166,0,0,8
icon:CKEY23,CKEY23,0,156,164,0,0,6
icon:CKEY24,CKEY24,0,90,108,0,0,4
icon:CKEY26,CKEY26,0,92,112,0,0,5
icon:CLEAT01,CLEAT01,0,101,142,0,0,7
icon:CLEAT02,CLEAT02,0,92,131,0,0,5
icon:CLEAT03,CLEAT03,0,95,136,0,0,5
icon:CLEAT04,CLEAT04,0,94,142,0,0,1
icon:CLEAT05,CLEAT05,0,98,144,0,0,4
icon:CLEAT07,CLEAT07,0,98,139,0,0,6
icon:CLEAT10,CLEAT10,0,153,189,0,0,6
icon:CLEAT11,CLEAT11,0,124,195,0,0,6
icon:CLEAT12,CLEAT12,0,121,191,0,0,7
icon:CLEAT13,CLEAT13,0,122,193,0,0,7
icon:CLEAT14,CLEAT14,0,126,191,0,0,7
icon:CLEAT15,CLEAT15,0,130,190,0,0,7
icon:CLEAT16,CLEAT16,0,134,203,0,0,8
icon:CLEAT17,CLEAT17,0,124,188,0,0,4
icon:CLEAT18,CLEAT18,0,129,193,0,0,4
icon:CLEAT19,CLEAT19,0,144,206,0,0,5
icon:CLEAT20,CLEAT20,0,131,195,0,0,9
icon:CLEAT21,CLEAT21,0,126,194,0,0,6
icon:CLEAT22,CLEAT22,0,104,190,0,0,9
icon:CMISC01,CMISC01,0,128,193,0,0,9
icon:CMISC02,CMISC02,0,57,131,0,0,5
icon:CMISC03,CMISC03,0,118,107,0,0,1
icon:CMISC07,CMISC07,0,172,125,0,0,7
icon:CMISC12,CMISC12,0,160,162,0,0,7
icon:CMISC16,CMISC16,0,78,70,0,0,4
icon:CMISC19,CMISC19,0,112,80,0,0,4
icon:CMISC1G,CMISC1G,0,160,155,0,0,6
icon:CMISC1H,CMISC1H,0,160,170,0,0,7
