icon_resref,roles,usage_count,owner_count
0,item-ground;item-inventory;spellbook,7,4
CBDHEL09,item-description,1,1
CMISC13,item-description,1,1
CMISC4F,item-description,1,1
CMISC9S,item-description,1,1
CMISCAV,item-description,1,1
GBLUN02,item-ground,1,1
GMISC02,item-ground,1,1
GMISC03,item-ground,1,1
GPOTN41,item-ground,1,1
IMISC02,item-inventory,1,1
IMISC03,item-inventory,1,1
IMISC4F,item-inventory,1,1
ISQUIR,item-inventory,2,2
PTION2KG,item-ground,1,1
PTION2KI,item-inventory,1,1
PTION2LG,item-ground,1,1
PTION2LI,item-inventory,1,1
PTION2MG,item-ground,1,1
PTION2MI,item-inventory,1,1
PTION2NG,item-ground,1,1
PTION2NI,item-inventory,1,1
SHAM01,item-ground,4,4
SPCL900C,spellbook,2,2
SPCL901C,spellbook,1,1
SPCL902C,spellbook,1,1
SPCL903C,spellbook,2,2
SPCL904C,spellbook,9,9
SPCL905C,spellbook,4,4
SPCL906C,spellbook,2,2
SPCL907C,spellbook,2,2
SPCL908C,spellbook,1,1
SPCL909C,spellbook,2,2
SPCL910C,spellbook,1,1
SPCL911C,spellbook,1,1
SPCL912C,spellbook,1,1
SPCL913C,spellbook,1,1
SPCL914C,spellbook,1,1
SPCL915C,spellbook,1,1
SPCL916C,spellbook,1,1
SPCL917C,spellbook,2,2
SPCL918C,spellbook,2,2
SPCL919C,spellbook,5,5
SPCL920C,spellbook,5,5
SPCL921C,spellbook,1,1
SPIN177B,spellbook,3,3
SPIN649C,spellbook,1,1
SPIN822C,spellbook,1,1
