asset_key,asset_id,asset_directory,upscale_run,upscale_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
icon:1AMUL07B,icons:icon-1amul07b,icons/ressources/1AMUL07B,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1BAND05,icons:icon-1band05,icons/ressources/1BAND05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1BAND06,icons:icon-1band06,icons/ressources/1BAND06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1BOLTS02,icons:icon-1bolts02,icons/ressources/1BOLTS02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CBAND05,icons:icon-1cband05,icons/ressources/1CBAND05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CBAND06,icons:icon-1cband06,icons/ressources/1CBAND06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELM01,icons:icon-1chelm01,icons/ressources/1CHELM01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELM03,icons:icon-1chelm03,icons/ressources/1CHELM03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELM11,icons:icon-1chelm11,icons/ressources/1CHELM11,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELM17,icons:icon-1chelm17,icons/ressources/1CHELM17,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELM18,icons:icon-1chelm18,icons/ressources/1CHELM18,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELM20,icons:icon-1chelm20,icons/ressources/1CHELM20,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELM21,icons:icon-1chelm21,icons/ressources/1CHELM21,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELMX2,icons:icon-1chelmx2,icons/ressources/1CHELMX2,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELMX3,icons:icon-1chelmx3,icons/ressources/1CHELMX3,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELMX4,icons:icon-1chelmx4,icons/ressources/1CHELMX4,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CHELMX6,icons:icon-1chelmx6,icons/ressources/1CHELMX6,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CLCK07B,icons:icon-1clck07b,icons/ressources/1CLCK07B,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CLCK27B,icons:icon-1clck27b,icons/ressources/1CLCK27B,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CSHLDB1,icons:icon-1cshldb1,icons/ressources/1CSHLDB1,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CSHLDL1,icons:icon-1cshldl1,icons/ressources/1CSHLDL1,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:1CSHLDL2,icons:icon-1cshldl2,icons/ressources/1CSHLDL2,,not-started,,not-assessed,,not-installed,,not-evaluated,,
