asset_key,resref,roles,usage_count,owner_count,bam_container,bam_version,frame_count,cycle_count,source_bif,locator,source_size,source_sha256,extracted_path
icon:1AMUL07B,1AMUL07B,item-inventory,1,1,BAMC,V1,2,1,data/GUIIcon.bif,0x00400000,924,BDDF67EB694D61AE1E48D92D8B61A596A39CF450348C7E6A5EC78DA74B7F0B27,icons/source/1AMUL07B.bam
icon:1BAND05,1BAND05,item-inventory,2,2,BAMC,V1,2,1,data/GUIIcon.bif,0x00400006,2146,E1880BC3D9867873EF6B3E6B23FA147F7A2E27AEBE5FAF34EE988D42B600AA3D,icons/source/1BAND05.bam
icon:1BAND06,1BAND06,item-inventory,1,1,BAMC,V1,2,1,data/GUIIcon.bif,0x00400007,1057,E96E3F575EFDBA371B721F8FA745A41B4A06ED9CA055D1008D9F8A285F315FDD,icons/source/1BAND06.bam
icon:1BOLTS02,1BOLTS02,item-inventory,1,1,BAMC,V1,1,1,data/GUIIcon.bif,0x00400009,1631,F79D48A3A9565B5CD036C028A8B1E80F7EC16D4FC0B3DFC2B31DF1BBAF334832,icons/source/1BOLTS02.bam
icon:1CBAND05,1CBAND05,item-description,2,2,BAM,V1,1,1,data/GUIIcon.bif,0x0040000D,9950,A73FBDC14135ADE2427291D630D239509B5DAE76CE88F93E3541FCFD6499DD25,icons/source/1CBAND05.bam
icon:1CBAND06,1CBAND06,item-description,1,1,BAM,V1,1,1,data/GUIIcon.bif,0x0040000E,10123,DAEB5FAF5A81783885453D3E8F1A402B57B88381EE7B1787EC169D9E5B7F29A6,icons/source/1CBAND06.bam
icon:1CHELM01,1CHELM01,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400013,132,3013B9C18031D4A08C2973918696F46DF1B9ED89A1CEBFA45DE4C0468AEF3880,icons/source/1CHELM01.bam
icon:1CHELM03,1CHELM03,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x00400015,272,3AF379BE4B487DA275EA21CA369FC28418D6E83A7460EFBFA68D4A8CB3E324D8,icons/source/1CHELM03.bam
icon:1CHELM11,1CHELM11,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040001A,244,E3D80D789CEEC669A8FD35A9CCF46F740CDA2859E46017CAFC1C09E8BCE958A1,icons/source/1CHELM11.bam
icon:1CHELM17,1CHELM17,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040001B,244,A600E26030DF19BA2BA4B23081444FD813EE79E0619F73DA8D6F796E8D1D46FE,icons/source/1CHELM17.bam
icon:1CHELM18,1CHELM18,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x0040001C,328,B77AB72A41CBFD922629AF725E535721CB1F484F55CF1929C5021A2B4EAAA623,icons/source/1CHELM18.bam
icon:1CHELM20,1CHELM20,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040001D,216,759C2AF1CDF91112997764D00223B468713A15E0DFC4FAC12BF0A8CC99F04E77,icons/source/1CHELM20.bam
icon:1CHELM21,1CHELM21,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x0040001E,356,155F5E0ECC0C76E5BE5B79C98A6D8803C972CBD0BD33C81B0A808E8413F4E893,icons/source/1CHELM21.bam
icon:1CHELMX2,1CHELMX2,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x0040001F,300,821FAD0D854A4499B762EFAF929854B16FD9750FB81BE6C165A26354E00AC4C0,icons/source/1CHELMX2.bam
icon:1CHELMX3,1CHELMX3,item-description,1,1,BAM,V2,1,1,data/GUIIcon.bif,0x00400020,272,49A59C628FA18FA8DB381AF943DD608545709D3EBBE885D713CDB4A7D3B08406,icons/source/1CHELMX3.bam
icon:1CHELMX4,1CHELMX4,item-description,1,1,BAM,V1,1,1,data/GUIIcon.bif,0x00400021,12154,4DA433D11274138E532B3597A14127B1F54D2BD30CF26F2F74438522EE21AA68,icons/source/1CHELMX4.bam
icon:1CHELMX6,1CHELMX6,item-description,2,2,BAM,V2,1,1,data/GUIIcon.bif,0x00400022,272,1AB82FFDB9F911788CFD1889A1DB24679FB46F4386A1C94CE7000B1835EDFC9D,icons/source/1CHELMX6.bam
