owner_format,owner_resref,role,icon_resref
ITM,DEMOGORG,item-ground,0
ITM,FINMEL01,item-ground,0
ITM,RAVAG03,item-ground,0
ITM,DEMOGORG,item-inventory,0
ITM,FINMEL01,item-inventory,0
ITM,RAVAG03,item-inventory,0
SPL,HAERPROF,spellbook,0
ITM,MISC89,item-inventory,1AMUL07B
ITM,COMPON17,item-inventory,1BAND05
ITM,OHNHAIRB,item-inventory,1BAND05
ITM,HELM28,item-inventory,1BAND06
ITM,QUIVER04,item-inventory,1BOLTS02
ITM,COMPON17,item-description,1CBAND05
ITM,OHNHAIRB,item-description,1CBAND05
ITM,HELM28,item-description,1CBAND06
ITM,HELM11,item-description,1CHELM01
ITM,HELM31,item-description,1CHELM03
ITM,HELM32,item-description,1CHELM03
ITM,HELM15,item-description,1CHELM11
ITM,HELM09,item-description,1CHELM17
ITM,HELM05,item-description,1CHELM18
ITM,HELM06,item-description,1CHELM18
ITM,HELM10,item-description,1CHELM20
ITM,CHALHELM,item-description,1CHELM21
ITM,HELM04,item-description,1CHELM21
ITM,HELM12,item-description,1CHELMX2
ITM,HELM22,item-description,1CHELMX3
ITM,HELM08,item-description,1CHELMX4
ITM,HELM03,item-description,1CHELMX6
ITM,PALHELM,item-description,1CHELMX6
ITM,CLCK21,item-inventory,1CLCK07B
ITM,CLCK30,item-inventory,1CLCK27B
ITM,OHSHLD50,item-description,1CSHLDB1
ITM,OHSHLD51,item-description,1CSHLDB1
ITM,SHLD08,item-description,1CSHLDB1
ITM,SHLD09,item-description,1CSHLDB1
ITM,SHLD10,item-description,1CSHLDB1
ITM,SHLD17,item-description,1CSHLDB1
ITM,SHLD24,item-description,1CSHLDL1
ITM,SHLD07,item-description,1CSHLDL2
ITM,SHLD31,item-description,1CSHLDL3
ITM,SHLD26,item-description,1CSHLDM2
ITM,STAF11,item-description,1CSTAFM
ITM,STAF11,item-ground,1GSTAFGS
ITM,STAF21,item-ground,1GSTAFGS
ITM,STAF22,item-ground,1GSTAFGS
ITM,HELM01,item-inventory,1HELM01
ITM,HELM12,item-inventory,1HELM02
ITM,HELM22,item-inventory,1HELM03
ITM,HELM08,item-inventory,1HELM05
ITM,HELM03,item-inventory,1HELM07
ITM,PALHELM,item-inventory,1HELM07
ITM,HELM11,item-inventory,1HELM08
ITM,HELM13,item-inventory,1HELM12
ITM,HELM15,item-inventory,1HELM15
ITM,HELM16,item-inventory,1HELM16
ITM,HELM09,item-inventory,1HELM17
ITM,HELM06,item-inventory,1HELM18
ITM,HELM05,item-inventory,1HELM19
ITM,HELM10,item-inventory,1HELM20
ITM,CHALHELM,item-inventory,1HELM21
ITM,HELM04,item-inventory,1HELM21
ITM,HELM14,item-inventory,1HELM22
ITM,WA2HELM,item-inventory,1HELM24
ITM,HELM02,item-inventory,1HELM26
ITM,QUIVER06,item-inventory,1QBULL03
ITM,QUIVER03,item-inventory,1QUIV02
ITM,SHLD07,item-inventory,1SHLDL02
ITM,SHLD31,item-inventory,1SHLDL03
ITM,SHLD24,item-inventory,1SHLDL05
ITM,SHLD26,item-inventory,1SHLDM02
ITM,SW2HD1,item-inventory,1SWH00
ITM,C6LANTHO,item-description,C6LANTHO
ITM,AMUL01,item-description,CAMUL01
ITM,AMUL02,item-description,CAMUL02
ITM,MAGEAMUL,item-description,CAMUL02
ITM,AMUL04,item-description,CAMUL10
ITM,AMUL05,item-description,CAMUL10
ITM,AMUL06,item-description,CAMUL10
ITM,AMUL07,item-description,CAMUL10
ITM,AMUL08,item-description,CAMUL10
ITM,AMUL09,item-description,CAMUL10
ITM,AMUL10,item-description,CAMUL10
ITM,AMUL11,item-description,CAMUL10
ITM,AMUL12,item-description,CAMUL10
ITM,AMUL13,item-description,CAMUL10
ITM,AMUL18,item-description,CAMUL10
ITM,MISC89,item-description,CAMUL10
ITM,REGISAMU,item-description,CAMUL10
ITM,AMUL14,item-description,CAMUL14
ITM,AMUL28,item-description,CAMUL14
ITM,AMUL15,item-description,CAMUL15
ITM,AMUL16,item-description,CAMUL16
ITM,AMUL17,item-description,CAMUL17
ITM,CHALCY3,item-description,CAMUL17
ITM,IPSION,item-description,CAMUL17
ITM,AMUL19,item-description,CAMUL19
ITM,AMUL20,item-description,CAMUL20
ITM,AMUL21,item-description,CAMUL21
ITM,WA2AMU,item-description,CAMUL21
ITM,AMUL22,item-description,CAMUL22
ITM,AMUL23,item-description,CAMUL23
ITM,AMUL24,item-description,CAMUL24
ITM,AMUL25,item-description,CAMUL25
ITM,AROW01,item-description,CAROW01
ITM,AROW1A,item-description,CAROW01
ITM,IAROW01,item-description,CAROW01
ITM,QUIV01,item-description,CAROW01
ITM,AROW02,item-description,CAROW02
ITM,AROW03,item-description,CAROW03
ITM,AROW04,item-description,CAROW04
ITM,AROW05,item-description,CAROW05
ITM,AROW12,item-description,CAROW05
ITM,AROW14,item-description,CAROW05
ITM,AROW06,item-description,CAROW06
ITM,AROW07,item-description,CAROW07
ITM,ANGAROW,item-description,CAROW08
ITM,AROW08,item-description,CAROW08
ITM,AROWKC,item-description,CAROW08
