asset_key,resref,formats,member_count,members_json,source_sha256
font:DIALOG,DIALOG,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/DIALOG.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100001"", ""sha256"": ""D9F0686E2EDF5E80243FF5E8608A91234603B7361EB7F21AC980B0651C945A69"", ""size"": 66288, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/DIALOG.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD001F8"", ""sha256"": ""36535228A4EA3288216B1FBFD8F8056EBE23EF59A546A7660670B439997BF553"", ""size"": 42196, ""source_bif"": ""data/Patch2.bif""}]",86101863B6012231E9C5DF7907CC27F93FFE7D690D25E82E4825B0A7328F1481
font:FEINEN,FEINEN,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/FEINEN.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100003"", ""sha256"": ""ECBF22654F8D7C4BE1AF060A45A31672BD06D65C6F7E514F46BB8EAE1EA988BC"", ""size"": 24152, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/FEINEN.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD00282"", ""sha256"": ""8698DA70A4DE8D0D1B81707958680BB4331F8CE0953C63E8F568501E4E6B8493"", ""size"": 25320, ""source_bif"": ""data/Patch2.bif""}]",0089EFA55AACF8F58C41804F78C992C3EF809C5856507205146841BF47388D4F
font:FLOATTXT,FLOATTXT,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/FLOATTXT.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100005"", ""sha256"": ""50F3347AB606130C51A899824697B0ABFFBB7EEB841BD76349B375D884FCEB2B"", ""size"": 80352, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/FLOATTXT.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD00283"", ""sha256"": ""1ACBC38A9D5BF05AE519F6405F0D3634938B992250B605D15976F15F774D5EB3"", ""size"": 647184, ""source_bif"": ""data/Patch2.bif""}]",6DF1844B73E17E39E3FF3B8AF276FDDFC616A7CCF6FE73EF244CB525CAB1D0A8
font:INITIALS,INITIALS,FNT,1,"[{""extracted_path"": ""interface/fonts/source/INITIALS.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100007"", ""sha256"": ""D05BEA1C2726C2D4AE94CBF1107CB1BA91B927097F2B8B22186EE0641F295B56"", ""size"": 100, ""source_bif"": ""data/fonts.bif""}]",98EB933F5448ED4F7422AED2401F4951EF04E68A78C6F7F58F0101395E18F985
font:MODESTOM,MODESTOM,TTF,1,"[{""extracted_path"": ""interface/fonts/source/MODESTOM.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD00340"", ""sha256"": ""62209DDFBE45F9B9F8FF85E19028A6417B9EFE5A67BE1A50074FF4F2D53D39F3"", ""size"": 36572, ""source_bif"": ""data/Patch2.bif""}]",B5283D681375F45D52137B39788C933C6F224B442D0DA42D63817C653648509F
font:NANUM,NANUM,TTF,1,"[{""extracted_path"": ""interface/fonts/source/NANUM.ttf"", ""format"": ""TTF"", ""locator"": ""0x01000029"", ""sha256"": ""A23DF22EAF102D6394EFCD454F3E50AC4F77E4B5E186CA6D1154F6782F0C4205"", ""size"": 4184028, ""source_bif"": ""data/Patch25.bif""}]",1757142C106EEE66BCD9A8038630090019E55F2834E9D81519A25AB741F0D46E
font:NORMAL,NORMAL,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/NORMAL.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100009"", ""sha256"": ""16BEC168D549F0A376C5B8B79D67523E11C1116361D34A0D7C4996AD5262C79E"", ""size"": 102712, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/NORMAL.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD0035C"", ""sha256"": ""36535228A4EA3288216B1FBFD8F8056EBE23EF59A546A7660670B439997BF553"", ""size"": 42196, ""source_bif"": ""data/Patch2.bif""}]",450AD74612E4D999DC2C4C2C75FAB477F4DDA7D32797FD5DC80136093134E062
font:NOTOSANS,NOTOSANS,TTF,1,"[{""extracted_path"": ""interface/fonts/source/NOTOSANS.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BF00004"", ""sha256"": ""DC71173BABC38DFD019912965F2B4B3421FB347EBD854E7B96F64AD63673924A"", ""size"": 10560076, ""source_bif"": ""data/PATCH27.bif""}]",C32A4EE006C81B1403F5117D41A86F0D40C51440D38ABD30504A9832E9BB6E99
font:POSTANTI,POSTANTI,TTF,1,"[{""extracted_path"": ""interface/fonts/source/POSTANTI.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD00382"", ""sha256"": ""36535228A4EA3288216B1FBFD8F8056EBE23EF59A546A7660670B439997BF553"", ""size"": 42196, ""source_bif"": ""data/Patch2.bif""}]",7B3F8560D3A6229492854454B282B7E7FAF3C102549E03610681C0606BE6C043
font:PTSERIF,PTSERIF,TTF,1,"[{""extracted_path"": ""interface/fonts/source/PTSERIF.ttf"", ""format"": ""TTF"", ""locator"": ""0x01000041"", ""sha256"": ""D074251529DEFB38523F3D89CFADFC2491515B32C22F154A8FC6B4C184415A69"", ""size"": 327120, ""source_bif"": ""data/Patch25.bif""}]",71750B221AC597AB4E6CF1F2C058A8065E12AF69E865733F8BED945132446B0C
font:REALMS,REALMS,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/REALMS.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B10000B"", ""sha256"": ""FFE45CF53E0A8A63572B5A7FD87617629CBF783946268A9523A2E7E5FA64A476"", ""size"": 30336, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/REALMS.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD00387"", ""sha256"": ""48716D322AE3463A78191F6F54D6621D32ED2BF99CA5CD3E3323CE6D82D8E5CB"", ""size"": 42488, ""source_bif"": ""data/Patch2.bif""}]",70F520716B224C5FB819DD2DF005B35EAA2625F34E04EFAC10FAE9E81C184C9B
font:SHERWOOD,SHERWOOD,TTF,1,"[{""extracted_path"": ""interface/fonts/source/SHERWOOD.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD0038C"", ""sha256"": ""48716D322AE3463A78191F6F54D6621D32ED2BF99CA5CD3E3323CE6D82D8E5CB"", ""size"": 42488, ""source_bif"": ""data/Patch2.bif""}]",4F267F7B2D48EA1A345DC65422014954FF6156464FA65F60C8FC92BC44664B15
font:SIMSUN,SIMSUN,TTF,1,"[{""extracted_path"": ""interface/fonts/source/SIMSUN.ttf"", ""format"": ""TTF"", ""locator"": ""0x01000043"", ""sha256"": ""8EEF93B68E07C09CC9EA2CFCAF23CACE8F9B6867A227555B4CB035BF68F401D6"", ""size"": 10518975, ""source_bif"": ""data/Patch25.bif""}]",B19385874228975991B2F5B070F625CA02A4EB4B6525925BEE06CD96A219571C
font:STATES2,STATES2,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/STATES2.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B10000D"", ""sha256"": ""3408D9A1F8578322850DDC64DE5B12F9626ECCEF1B6714DFE1198F9A49A28DAD"", ""size"": 24224, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/STATES2.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD003DB"", ""sha256"": ""001BB08E859D4DB7814902119412A14713B0C45E89CBC429BB3F5E6AF14815E0"", ""size"": 772192, ""source_bif"": ""data/Patch2.bif""}]",5219BD19A33D40EB68E37757B6E1FEA69EEFFF1E40F12C56AF4E7AF656C8B184
font:STONEBIG,STONEBIG,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/STONEBIG.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B10000F"", ""sha256"": ""048759457B2932AAB1DCD552AE9302B97F91335249A36302E539DB80BE68BCA2"", ""size"": 23056, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/STONEBIG.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD003DE"", ""sha256"": ""01DE2CBD742DBCAACA1CE16F25AF93CBABC7EEBF075215FA6D454A2F590FB3F5"", ""size"": 46548, ""source_bif"": ""data/Patch2.bif""}]",CF9546B733BD1C96DD1DC2D443846EBEFA5728F2930025035FC1F4A1766A07A1
font:STONESML,STONESML,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/STONESML.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100011"", ""sha256"": ""877613681C6B5986A6B942E20AFAB1E1D4B222354E6A6F3A31E514F62275E800"", ""size"": 81688, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/STONESML.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD003DF"", ""sha256"": ""D5F8469B2C5054579F9B1996C0A41021D3661BF17B21D1F454CF4ECF537C6603"", ""size"": 60256, ""source_bif"": ""data/Patch2.bif""}]",8150AA88293FE0A43D4FB15B9A8D85313193640EA279EE20AAAD8BF9967FB607
font:SUBTITLE,SUBTITLE,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/SUBTITLE.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100013"", ""sha256"": ""E61892090C59281D92C08ECD50CF5F7F2EF7E99E62FF02B0D20FB5D51981134E"", ""size"": 29072, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/SUBTITLE.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD003E0"", ""sha256"": ""36535228A4EA3288216B1FBFD8F8056EBE23EF59A546A7660670B439997BF553"", ""size"": 42196, ""source_bif"": ""data/Patch2.bif""}]",644383836F920E0C0EAD4A28BDAE9535484EF462C5EA7A5AC8B03E2B15C7998E
font:TEST,TEST,FNT,1,"[{""extracted_path"": ""interface/fonts/source/TEST.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100015"", ""sha256"": ""142F857081EFA85EF6B130416AE4850AAF94B8542972F32840D38A6F69266F76"", ""size"": 23048, ""source_bif"": ""data/fonts.bif""}]",732A32B4169C94D86B2BC155CAD2344362E91385044F977A25336A6BF4B48BA5
font:TOOLFONT,TOOLFONT,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/TOOLFONT.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100017"", ""sha256"": ""6974EB54B91AC9334D6EC1C75DBAA7A05B8EE0652D43067C83357D76CA7C1E74"", ""size"": 66144, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/TOOLFONT.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD003E2"", ""sha256"": ""E897003CB09C5F9128891AA676F538E6A38579CAF1831E307716D4F16BE469B9"", ""size"": 51040, ""source_bif"": ""data/Patch2.bif""}]",80265922D2C76EFBAC1FA7A37928023BBF1ECBB8C672E1BFD6B4E3B56C3A24BC
font:TOOLTIP,TOOLTIP,FNT;TTF,2,"[{""extracted_path"": ""interface/fonts/source/TOOLTIP.fnt"", ""format"": ""FNT"", ""locator"": ""0x0B100019"", ""sha256"": ""9E07ABE92D9DB9431FB75508CEC8C87FCD1F91889F4751D77A2E48DAA2AFD7C9"", ""size"": 25008, ""source_bif"": ""data/fonts.bif""}, {""extracted_path"": ""interface/fonts/source/TOOLTIP.ttf"", ""format"": ""TTF"", ""locator"": ""0x0BD003E3"", ""sha256"": ""E897003CB09C5F9128891AA676F538E6A38579CAF1831E307716D4F16BE469B9"", ""size"": 51040, ""source_bif"": ""data/Patch2.bif""}]",6B21216120A5EA000E24AE21B96F9AB495F71DA8BD545242474BACE0901D959E
