asset_key,relation,dependency_resref,dependency_format,present,source_bif,locator
hud:GUIBTACT,texture-page,MOS0112,PVRZ,yes,data/bgee.bif,0x0B0000BC
hud:GUIBTACT,texture-page,MOS0113,PVRZ,yes,data/bgee.bif,0x0B0000BD
hud:GUIJRNLC,texture-page,MOS0138,PVRZ,yes,data/bgee.bif,0x0B0000D6
hud:GUIJRNLC,texture-page,MOS0139,PVRZ,yes,data/bgee.bif,0x0B0000D7
hud:GUILS10,texture-page,MOS0140,PVRZ,yes,data/bgee.bif,0x0B0000D8
hud:GUILS10,texture-page,MOS0141,PVRZ,yes,data/bgee.bif,0x0B0000D9
hud:GUILS20,texture-page,MOS0141,PVRZ,yes,data/bgee.bif,0x0B0000D9
hud:GUILS20,texture-page,MOS0142,PVRZ,yes,data/bgee.bif,0x0B0000DA
hud:GUILS20,texture-page,MOS0143,PVRZ,yes,data/bgee.bif,0x0B0000DB
hud:GUILS20,texture-page,MOS0144,PVRZ,yes,data/bgee.bif,0x0B0000DC
hud:GUILS20,texture-page,MOS0145,PVRZ,yes,data/bgee.bif,0x0B0000DD
hud:GUIPFC,texture-page,MOS0153,PVRZ,yes,data/bgee.bif,0x0B0000E5
hud:GUIVERB,texture-page,MOS0169,PVRZ,yes,data/bgee.bif,0x0B0000F5
hud:GUIVERB,texture-page,MOS0170,PVRZ,yes,data/bgee.bif,0x0B0000F6
hud:GUIW12_1,texture-page,MOS0170,PVRZ,yes,data/bgee.bif,0x0B0000F6
hud:GUIW12_1,texture-page,MOS0171,PVRZ,yes,data/bgee.bif,0x0B0000F7
hud:GUIW12_2,texture-page,MOS0171,PVRZ,yes,data/bgee.bif,0x0B0000F7
hud:GUIW12_3,texture-page,MOS0171,PVRZ,yes,data/bgee.bif,0x0B0000F7
hud:GUIW12_4,texture-page,MOS0171,PVRZ,yes,data/bgee.bif,0x0B0000F7
hud:GUIW12_5,texture-page,MOS0171,PVRZ,yes,data/bgee.bif,0x0B0000F7
hud:GUIW12_6,texture-page,MOS0171,PVRZ,yes,data/bgee.bif,0x0B0000F7
hud:GUIW12_6,texture-page,MOS0172,PVRZ,yes,data/bgee.bif,0x0B0000F8
hud:GUIW12_7,texture-page,MOS0172,PVRZ,yes,data/bgee.bif,0x0B0000F8
hud:GUIW12_8,texture-page,MOS0172,PVRZ,yes,data/bgee.bif,0x0B0000F8
hud:GUIWDB10,texture-page,MOS0173,PVRZ,yes,data/bgee.bif,0x0B0000F9
hud:GUIWDBUT,texture-page,MOS0173,PVRZ,yes,data/bgee.bif,0x0B0000F9
hud:GUIWDBUT,texture-page,MOS0174,PVRZ,yes,data/bgee.bif,0x0B0000FA
hud:GUIWLS20,texture-page,MOS0176,PVRZ,yes,data/bgee.bif,0x0B0000FC
hud:GUIWRS20,texture-page,MOS0176,PVRZ,yes,data/bgee.bif,0x0B0000FC
