asset_key,resref,role,format,container_version,frame_count,cycle_count,width,height,source_bif,locator,source_size,source_sha256,extracted_path
hud:GUIBTACT,GUIBTACT,action-buttons,BAM,V2,76,1,,,data/GUIBam.bif,0x00C0001F,3328,5B17F10D0208070A5EC10A6FD92953BF6BA7E939768DE70B725AC798793DD6F5,interface/gameplay-hud-bg2ee/source/bam/GUIBTACT.bam
hud:GUICTRL,GUICTRL,world-controls,BAM,V1,8,1,,,data/GUIBam.bif,0x00C0002A,5799,E1053CA1715AEF0597AA677CA343035201F1B01975C6A5D31643DBD4AAF0DE38,interface/gameplay-hud-bg2ee/source/bam/GUICTRL.bam
hud:GUIJRNLC,GUIJRNLC,journal-control,BAM,V2,20,5,,,data/GUIBam.bif,0x00C00040,1244,78956D50DB50703C4A443ECE4D55F7DD08A2CC481DC3E345A047BD25ACD397BD,interface/gameplay-hud-bg2ee/source/bam/GUIJRNLC.bam
hud:GUILS10,GUILS10,left-toolbar,BAM,V2,68,17,,,data/bgee.bif,0x0B00001E,2960,8CF0C9D7A7035577807A0C2EA64425631A24644EC3A9DF3437FAB181B7699B9C,interface/gameplay-hud-bg2ee/source/bam/GUILS10.bam
hud:GUILS20,GUILS20,alternate-left-toolbar,BAM,V2,60,15,,,data/Patch2.bif,0x0BD002A1,3864,A8F0C86F137F81AF76DE8F015A745596AB4542D28471DB74F5576B604DC40466,interface/gameplay-hud-bg2ee/source/bam/GUILS20.bam
hud:GUIPFC,GUIPFC,portrait-control,BAM,V2,1,1,,,data/GUIBam.bif,0x00C0004A,76,6058BBCEC189868DF9263187D081E3C3F1356F0FCF67618B82C9BDAC78A06172,interface/gameplay-hud-bg2ee/source/bam/GUIPFC.bam
hud:GUIVERB,GUIVERB,shared-bottom-panel,MOS,V2,,,868,466,data/GUIMosc.bif,0x00900063,640,C2920EF39D17D5CC6E18A5330407C94682814042068A2184089D67C8F52CBB47,interface/gameplay-hud-bg2ee/source/mos/GUIVERB.mos
hud:GUIW12_1,GUIW12_1,bottom-panel,MOS,V2,,,1066,270,data/patch13.bif,0x0BC0001A,192,0ADF136A001D7D9FF548013C3A8012BA4DAF97AA335C00014537858C66B735C2,interface/gameplay-hud-bg2ee/source/mos/GUIW12_1.mos
hud:GUIW12_2,GUIW12_2,bottom-panel,MOS,V2,,,1032,140,data/patch13.bif,0x0BC0001B,220,2C619AECFE7847CC88EAE16564765A6971F36EA6F219751327FD2ED7B60C136B,interface/gameplay-hud-bg2ee/source/mos/GUIW12_2.mos
hud:GUIW12_3,GUIW12_3,bottom-panel,MOS,V2,,,1028,240,data/patch13.bif,0x0BC0001C,304,AC2AB31F6D282F1F9F3F5096BA3A9FBE6940DE8045A1622A269481CC302EDF26,interface/gameplay-hud-bg2ee/source/mos/GUIW12_3.mos
hud:GUIW12_4,GUIW12_4,bottom-panel,MOS,V2,,,1025,50,data/patch13.bif,0x0BC0001D,80,A45CF0868DF97ADEF4839EBF9577EBF88AAA0BC7D5821F8E88C51DB61CEF2641,interface/gameplay-hud-bg2ee/source/mos/GUIW12_4.mos
hud:GUIW12_5,GUIW12_5,bottom-panel,MOS,V2,,,1032,300,data/patch13.bif,0x0BC0001E,192,6A8737DF8E9535A4BBBDC42CB964692CE3D1B5A24C73FD892637493E9FAD4B49,interface/gameplay-hud-bg2ee/source/mos/GUIW12_5.mos
hud:GUIW12_6,GUIW12_6,bottom-panel,MOS,V2,,,1030,300,data/patch13.bif,0x0BC0001F,192,B017E73F297F6CFAF8F84EE7FCF966DC8B9D53EA144483E2F3541683A8658BD6,interface/gameplay-hud-bg2ee/source/mos/GUIW12_6.mos
hud:GUIW12_7,GUIW12_7,bottom-panel,MOS,V2,,,1032,140,data/patch13.bif,0x0BC00020,220,75BBB4723B25511BFC7A25F047D43DEFC202125DE36EC7329188FD9BFA1A1383,interface/gameplay-hud-bg2ee/source/mos/GUIW12_7.mos
hud:GUIW12_8,GUIW12_8,bottom-panel,MOS,V2,,,1028,240,data/patch13.bif,0x0BC00021,360,4DD2E1AC2BA7ECC81B93409DD72C3D2F66471839E967C8AD36F23889F29AE8E9,interface/gameplay-hud-bg2ee/source/mos/GUIW12_8.mos
hud:GUIWCTLC,GUIWCTLC,world-controls,BAM,V1,6,3,,,data/GUIBam.bif,0x00C00064,2180,60DF161524AC6AA959ED7A059008312DF89A3865889CD23BB9CEB24E9ADA936C,interface/gameplay-hud-bg2ee/source/bam/GUIWCTLC.bam
hud:GUIWDB10,GUIWDB10,action-slots,BAM,V2,16,4,,,data/bgee.bif,0x0B000036,688,68DC53A88A4248D9C8827E53A6577C20FB98DBAD466FEBDE5C7FC03978028D10,interface/gameplay-hud-bg2ee/source/bam/GUIWDB10.bam
hud:GUIWDBUT,GUIWDBUT,action-slots,BAM,V2,48,1,,,data/GUIBam.bif,0x00C00065,1984,684B725DCF3DE2F5BA7CB3F7610C425AD8C9A1B6DD817ED892C9A21AF025D33E,interface/gameplay-hud-bg2ee/source/bam/GUIWDBUT.bam
hud:GUIWLS20,GUIWLS20,left-panel,MOS,V2,,,80,1536,data/bgee.bif,0x0B00003B,304,886FEAD2B079ABDEAA53B900EAFCC00154CB13B6B4F558A0833181A779CB6B15,interface/gameplay-hud-bg2ee/source/mos/GUIWLS20.mos
hud:GUIWPKPC,GUIWPKPC,world-controls,BAM,V1,5,2,,,data/GUIBam.bif,0x00C00066,10376,1FF22FE22EF590FC5CC21F9BC7645CC87F3690189CD6EFA91043F4AC722B0106,interface/gameplay-hud-bg2ee/source/bam/GUIWPKPC.bam
hud:GUIWRS20,GUIWRS20,right-panel,MOS,V2,,,80,1536,data/bgee.bif,0x0B00003C,360,52769E2C702C2CF3C6622E1D4B4E839E889C022F9CBDC3E490500412339C3EB2,interface/gameplay-hud-bg2ee/source/mos/GUIWRS20.mos
hud:GUIWSBR,GUIWSBR,world-controls,BAM,V1,12,1,,,data/GUIBam.bif,0x00C00067,3623,4055433F90946D3C7F1323D2366B48D35CC20A59B9AEDB4B0023E73975353585,interface/gameplay-hud-bg2ee/source/bam/GUIWSBR.bam
hud:GUIWSMB,GUIWSMB,world-controls,BAM,V1,2,1,,,data/GUIBam.bif,0x00C00068,5207,DF6C01F3AD7ACE91C63F9D02635E01884AE54586C03082957B0A7E2D020D0F01,interface/gameplay-hud-bg2ee/source/bam/GUIWSMB.bam
hud:GUPORTC,GUPORTC,portrait-frame,BAM,V1,4,2,,,data/GUIBam.bif,0x00C0006C,11836,B285144952626094D7C625D0F49BE8AA0414681D32DADC70A27624C018CFE47F,interface/gameplay-hud-bg2ee/source/bam/GUPORTC.bam
