asset_key,relation,dependency_resref,dependency_format,present,source_bif
ui-resource:bam:1CHELM06,texture-page,MOS0000,PVRZ,yes,data/bgee.bif
ui-resource:bam:BUYBUTT,texture-page,MOS0018,PVRZ,yes,data/bgee.bif
ui-resource:bam:CAMUL11,texture-page,MOS0019,PVRZ,yes,data/bgee.bif
ui-resource:bam:CAROW14,texture-page,MOS0021,PVRZ,yes,data/bgee.bif
ui-resource:bam:CBLUN03,texture-page,MOS0024,PVRZ,yes,data/bgee.bif
ui-resource:bam:CBLUN16,texture-page,MOS0026,PVRZ,yes,data/bgee.bif
ui-resource:bam:CBLUN19,texture-page,MOS0027,PVRZ,yes,data/bgee.bif
ui-resource:bam:CBRAC11,texture-page,MOS0033,PVRZ,yes,data/bgee.bif
ui-resource:bam:CFLAM01,texture-page,MOS0043,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHAMM09,texture-page,MOS0045,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHATHIST,texture-page,MOS0045,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHELM02,texture-page,MOS0045,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHELM05A,texture-page,MOS0046,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHELM05B,texture-page,MOS0046,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHELM05C,texture-page,MOS0046,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHELM06,texture-page,MOS0046,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHELM19,texture-page,MOS0047,PVRZ,yes,data/bgee.bif
ui-resource:bam:CHTICN,texture-page,MOS0047,PVRZ,yes,data/bgee.bif
ui-resource:bam:CLEAT06,texture-page,MOS0050,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC04,texture-page,MOS0052,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC05,texture-page,MOS0052,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC14,texture-page,MOS0052,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC1B,texture-page,MOS0053,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC2H,texture-page,MOS0054,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC3G,texture-page,MOS0055,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC3G,texture-page,MOS0056,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC46,texture-page,MOS0057,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC5G,texture-page,MOS0061,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC7,texture-page,MOS0066,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISC7W,texture-page,MOS0068,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISCA1,texture-page,MOS0074,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISCA1,texture-page,MOS0075,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISCBZ,texture-page,MOS0078,PVRZ,yes,data/bgee.bif
ui-resource:bam:CMISCF,texture-page,MOS0078,PVRZ,yes,data/bgee.bif
ui-resource:bam:COADBAR_,texture-page,MOS0079,PVRZ,yes,data/bgee.bif
ui-resource:bam:COADCNTR,texture-page,MOS0079,PVRZ,yes,data/bgee.bif
ui-resource:bam:CONTBACK,texture-page,MOS0082,PVRZ,yes,data/bgee.bif
ui-resource:bam:CPEN,texture-page,MOS0082,PVRZ,yes,data/bgee.bif
