asset_key,resref,format,container_version,frame_count,cycle_count,width,height,source_bif,locator,source_size,source_sha256,extracted_path
ui-resource:bam:1AMUL07C,1AMUL07C,BAM,V1,2,1,,,data/GUIIcon.bif,0x00400001,1066,13DB845F0A36885BC5A11D873CB267490B80FA3BF14109CF43690E07D35C41CB,interface/source/bam/1AMUL07C.bam
ui-resource:bam:1BAND01,1BAND01,BAM,V1,2,1,,,data/GUIIcon.bif,0x00400002,584,CB2D4F042357F50384053193E9A96508A1A0CE8EC9BF15E17EDB47D8CE84E78D,interface/source/bam/1BAND01.bam
ui-resource:bam:1BAND02,1BAND02,BAM,V1,2,1,,,data/GUIIcon.bif,0x00400003,1038,6B6B588224C96058A30C2E8D00375001951FEA74571BF9C5D3151A18FB62339C,interface/source/bam/1BAND02.bam
ui-resource:bam:1BAND03,1BAND03,BAM,V1,2,1,,,data/GUIIcon.bif,0x00400004,766,2E0657D09BD0109B5957F4527EBB5C7EEA54984C33458EBAF397D2549BFFC52A,interface/source/bam/1BAND03.bam
ui-resource:bam:1BAND04,1BAND04,BAM,V1,2,1,,,data/GUIIcon.bif,0x00400005,932,BB0B8A899BDD21140DDC35F446413AEAA2AEC81729F5EC9E5BE49513E755BEBA,interface/source/bam/1BAND04.bam
ui-resource:bam:1BOLTS01,1BOLTS01,BAM,V1,1,1,,,data/GUIIcon.bif,0x00400008,1507,B5F0A310143457895F957DF1F49C921CD1BB442B3007956854A6856A6EB1FD5A,interface/source/bam/1BOLTS01.bam
ui-resource:bam:1CBAND01,1CBAND01,BAM,V1,1,1,,,data/GUIIcon.bif,0x0040000A,7498,4F757DFF5B74975C395DDE95F53370FFA97191CA1B6AAAAAA3250B228C6A75C5,interface/source/bam/1CBAND01.bam
ui-resource:bam:1CBAND03,1CBAND03,BAM,V1,1,1,,,data/GUIIcon.bif,0x0040000B,9029,90109296C8D6E651E60CC134067F1613D79FAF70EF81A3E1AE354B83DA92550D,interface/source/bam/1CBAND03.bam
ui-resource:bam:1CBAND04,1CBAND04,BAM,V1,1,1,,,data/GUIIcon.bif,0x0040000C,10717,C53A1B8DA032B5BD4A09AA070C7712E64DB1CFA7FA315F53D5F415239D58990D,interface/source/bam/1CBAND04.bam
ui-resource:bam:1CHAN01B,1CHAN01B,BAM,V1,1,1,,,data/GUIIcon.bif,0x0040000F,2121,AEA922A02B6374EB465841B63FA6B1C143D985664CF9AC7953AE8F1BBCC520E0,interface/source/bam/1CHAN01B.bam
ui-resource:bam:1CHAN02B,1CHAN02B,BAM,V1,1,1,,,data/GUIIcon.bif,0x00400010,2673,ACA24A4140036434C7056141DA32BF775A4770DC88D85E5939CB2AE263BB245A,interface/source/bam/1CHAN02B.bam
ui-resource:bam:1CHAN03B,1CHAN03B,BAM,V1,1,1,,,data/GUIIcon.bif,0x00400011,2255,45E89B066AE7889D7ED8FC63B7EB8718C1642ECF48ADD6321E39659C3AE9C5B1,interface/source/bam/1CHAN03B.bam
ui-resource:bam:1CHAN04B,1CHAN04B,BAM,V1,1,1,,,data/GUIIcon.bif,0x00400012,2965,82DED092DE2A5CFD1140B409FF2C04CBC733CBBCA7F9A81F35D721617AFE2A35,interface/source/bam/1CHAN04B.bam
ui-resource:bam:1CHELM02,1CHELM02,BAM,V1,4,1,,,data/GUIIcon.bif,0x00400014,14623,10FCA990950414F1B37CC11DEDF6AA33CE39038AC2FE4865D2C1801E0EEF6702,interface/source/bam/1CHELM02.bam
ui-resource:bam:1CHELM04,1CHELM04,BAM,V1,4,1,,,data/GUIIcon.bif,0x00400016,11228,7982F524DFFFD109DC8680C2003D37FF45EECE9B80607A76BB5B5E8735D1E14C,interface/source/bam/1CHELM04.bam
ui-resource:bam:1CHELM05,1CHELM05,BAM,V1,4,1,,,data/GUIIcon.bif,0x00400017,16974,CF99A4394B7499CC296DADDDE961DA496EC449B42209D902D32903B19EAB5C4D,interface/source/bam/1CHELM05.bam
ui-resource:bam:1CHELM06,1CHELM06,BAM,V2,1,1,,,data/GUIIcon.bif,0x00400018,160,EDB22180F1B1B842279AC564602730ADD6D1D092D4657BAB835ADD2C46C7B04F,interface/source/bam/1CHELM06.bam
