pnj,nom,base,taille,ressource,largeur,hauteur,mode,bif_source,sha256,note,tailles
AERIE,Aerie,NAERIE,grand,NAERIEL,210,330,RGB,data/Portrait.bif,cefd6f4b63b907d884afafb66ade148483f3f16387a5b37cbca9769ff6c8c1fe,,
AERIE,Aerie,NAERIE,moyen,NAERIEM,169,266,RGB,data/Portrait.bif,241e2a5b65805ecb3a7abc042ee2e2f15acf6e8c4e3aecb918d8e170df0e2e4c,,
AERIE,Aerie,NAERIE,petit,NAERIES,54,84,RGB,data/Portrait.bif,2f66530723431bd971f5c6e30ad140f0291b14124c5efb75fc3dac53d8d32ddf,,
ANOMEN,Anomen,NANOMEN,grand,NANOMENL,210,330,RGB,data/Portrait.bif,93c24378bf336d08e073bb4d0f0a01b7de3e03849231d00c54bb419c5263f05b,,
ANOMEN,Anomen,NANOMEN,moyen,NANOMENM,169,266,RGB,data/Portrait.bif,d39185291186e4cc3e687c54600a49b8b80ac6f41f642d3b431fb93bfb5b70da,,
ANOMEN,Anomen,NANOMEN,petit,NANOMENS,54,84,RGB,data/Portrait.bif,4d814723c901fac93980d462904a57ab87604da79bc604a8cc4eb3a99b962b37,,
CERND,Cernd,NCERND,grand,NCERNDL,210,330,RGB,data/Portrait.bif,f93398b51368367b9db36fee1db72e6e45a87e3acf10e8ff75f9b620eb7ed1c6,,
CERND,Cernd,NCERND,moyen,NCERNDM,169,266,RGB,data/Portrait.bif,72a0f364f5545e0d4c3c777bd206aea83d968e9f44e8beb9340d91c7cbeb2eab,,
CERND,Cernd,NCERND,petit,NCERNDS,54,84,RGB,data/Portrait.bif,1c2e56205f6a121037e6859b91586aa3b8b013566c0aecb1e5bee382fcbe4db3,,
EDWIN,Edwin,NEDWIN,grand,NEDWINL,210,330,RGB,data/Portrait.bif,77add9fce0ff560114c94dee8819422336b607edf619a2898196f959077aab80,,
EDWIN,Edwin,NEDWIN,moyen,NEDWINM,169,266,RGB,data/Portrait.bif,f5a92c1a5f4c5eff0e061b785d529e6fa9723c8145807b95bc35e8940cfdc63f,,
EDWIN,Edwin,NEDWIN,petit,NEDWINS,54,84,RGB,data/Portrait.bif,d29d53c794ddfccb145c64cfc2e2501aa47ba587b3136d12329ad67a5ca44ab3,,
HAERDALIS,Haerdalis,NHAER,grand,NHAERL,210,330,RGB,data/Portrait.bif,83c6ee59acf3624d671e2ce0dd5e58f33fcde782c1ef86d5b5e8328d2130ace7,,
HAERDALIS,Haerdalis,NHAER,moyen,NHAERM,169,266,RGB,data/Portrait.bif,9140abf6c5062d28140d141d3bb75279b6fd67801d744926696d16cce05d0d75,,
HAERDALIS,Haerdalis,NHAER,petit,NHAERS,54,84,RGB,data/Portrait.bif,4c75879924828a2aae937c50bf10894c00f2fc864794751ef512c76d7937527e,,
IMOEN,Imoen,NIMOEN,grand,NIMOENL,210,330,RGB,data/Portrait.bif,b4b1a760357198d1e6627c27d217f611bd3e1042bee308210b1eb8b99d2cfac6,,
IMOEN,Imoen,NIMOEN,moyen,NIMOENM,169,266,RGB,data/Portrait.bif,c01f2ec0b826779b33b07c6118fa88caa82d3c1a4e50d97c10b306bdf2912d29,,
IMOEN,Imoen,NIMOEN,petit,NIMOENS,54,84,RGB,data/Portrait.bif,f2c29df3701f9939d87595bb811c0156ee5e7bb11cc39c61e3e76b3bdf66d54b,,
IMOEN2,Imoen,NIMOEN,grand,NIMOENL,210,330,RGB,data/Portrait.bif,b4b1a760357198d1e6627c27d217f611bd3e1042bee308210b1eb8b99d2cfac6,version Trône de Bhaal,
IMOEN2,Imoen,NIMOEN,moyen,NIMOENM,169,266,RGB,data/Portrait.bif,c01f2ec0b826779b33b07c6118fa88caa82d3c1a4e50d97c10b306bdf2912d29,version Trône de Bhaal,
IMOEN2,Imoen,NIMOEN,petit,NIMOENS,54,84,RGB,data/Portrait.bif,f2c29df3701f9939d87595bb811c0156ee5e7bb11cc39c61e3e76b3bdf66d54b,version Trône de Bhaal,
