portrait,selectable,recrutable,rencontre,creatures,tailles,ressource_l,fichier_l,largeur_px_l,hauteur_px_l,mode_l,octets_l,bif_source_l,sha256_l,ressource_m,fichier_m,largeur_px_m,hauteur_px_m,mode_m,octets_m,bif_source_m,sha256_m,ressource_s,fichier_s,largeur_px_s,hauteur_px_s,mode_s,octets_s,bif_source_s,sha256_s
ABAZFUL,no,no,yes,1,S,,,,,,,,,,,,,,,,,ABAZFULS,petits/ABAZFUL_S.bmp,38,60,RGB,7016,data/25Portrt.bif,d4cfc63874510d2df7d1ca99de991689d24375f39e60ab73a9fc1889def2d1ba
ABAZHAL,no,no,yes,1,S,,,,,,,,,,,,,,,,,ABAZHALS,petits/ABAZHAL_S.bmp,38,60,RGB,7016,data/25Portrt.bif,0a7f0130ce23a20a250c28f0be6443146cc97596d591552c261db14b720dd082
AJANTIS,yes,no,no,0,LMS,AJANTISL,grands/AJANTIS_L.bmp,210,330,RGB,208616,data/Portrait.bif,c13ef87ffd7de9069392e0a872f31981043fdb477dd0437c496f435a00c4c947,AJANTISM,moyens/AJANTIS_M.bmp,169,266,RGB,135184,data/Portrait.bif,6f0ea8444d484cef56154f481f68c9e7159af4e7446adcdc56223c9be6d50900,AJANTISS,petits/AJANTIS_S.bmp,54,84,RGB,13832,data/Portrait.bif,aa690c6bb4841bb805759490b2935f9813a9cd1c8cf7ba23f85afa01bf858a35
ALORA,yes,no,yes,2,LMS,ALORAL,grands/ALORA_L.bmp,210,330,RGB,208616,data/Portrait.bif,ebedee24ff77bd77f39630c16776ef0b7304fed9b0dcdc91bca37db8252a7ff9,ALORAM,moyens/ALORA_M.bmp,169,266,RGB,135184,data/Portrait.bif,4c03950be9c0430816a7ad9864e7e6ada997f6f96c0a9761787b9edadf3496c6,ALORAS,petits/ALORA_S.bmp,54,84,RGB,13832,data/Portrait.bif,e524ca67da974299939a3f6d48f9fb829bf9a5bbecd168cca4530c88507f1a37
BAELOTH,no,no,yes,2,S,,,,,,,,,,,,,,,,,BAELOTHS,petits/BAELOTH_S.bmp,54,84,RGB,13830,data/ee.bif,b9c07236cdc02c607b0209dabb040a1d84860b6144d6fd114df3bde15f35940c
BALTHAZ,no,no,yes,1,S,,,,,,,,,,,,,,,,,BALTHAZS,petits/BALTHAZ_S.bmp,38,60,RGB,7016,data/25Portrt.bif,07f437259f25174a3a6e7f22e34c54e930f0f5c75950e4e34e15eec0f19b94b3
BDORCF1,yes,no,no,0,LM,BDORCF1L,grands/BDORCF1_L.bmp,210,330,RGB,208614,data/Patch2.bif,e2abb519299834ad2264ac466081ac983e778b9b6d3bdec8ed701a7f81e297e8,BDORCF1M,moyens/BDORCF1_M.bmp,169,266,RGB,135182,data/Patch2.bif,2c718ca8b4c916fcfc55d5f5030f3ee72778ddfd46a213df6f4fa99753a5a1e8,,,,,,,,
BDORCM1,yes,no,no,0,LM,BDORCM1L,grands/BDORCM1_L.bmp,210,330,RGB,208614,data/Patch2.bif,ac2c595d9c8d1d891958ee91db41bf820d0b74abd0ffd9f23efffc982d994680,BDORCM1M,moyens/BDORCM1_M.bmp,169,266,RGB,135182,data/Patch2.bif,8a20e4e8c6a393a4007712135e30a06b6852c756b03650408b88ec727358d455,,,,,,,,
BDSHAF1,yes,no,no,0,LM,BDSHAF1L,grands/BDSHAF1_L.bmp,210,330,RGB,208614,data/Patch2.bif,68c86fbbf3b3f8b2871d7f42eb66c3bc9d0d87aec448cc78d704f1723f57b460,BDSHAF1M,moyens/BDSHAF1_M.bmp,169,266,RGB,135182,data/Patch2.bif,aab67cb9ff699e51492b2eea2725e4425d167c28e96aa44b74c8634e718cfe58,,,,,,,,
BDSHAM1,yes,no,no,0,LM,BDSHAM1L,grands/BDSHAM1_L.bmp,210,330,RGB,208616,data/Patch2.bif,9c4f9b9e513ef3b41c3d3c19cdde1d0779520a6de3453c3bdf3fb852aba10650,BDSHAM1M,moyens/BDSHAM1_M.bmp,169,266,RGB,135182,data/Patch2.bif,c750cf39fe633c706385db34b522d4fbe1678d47db402c6e34782539bd55159a,,,,,,,,
BDTMA,yes,no,no,0,LMS,BDTMAL,grands/BDTMA_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,b33d7a83eb72ba52c923f78d2ed6e3daabc2940ec52da95185932062e44a88d5,BDTMAM,moyens/BDTMA_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,fc0ae6f51a3a0c2a2e3dcf29285fff12530deb56978e08f48c643012e545c2e0,BDTMAS,petits/BDTMA_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,a753e2d31e3c8e81651077f2e501e23ec961ddbb896791b06c6511ecc3f3bf92
BDTMB,yes,no,no,0,LMS,BDTMBL,grands/BDTMB_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,551f86849df4470aaa1523873cd58eff57a4c26d761311f275b9b3f73674fe0d,BDTMBM,moyens/BDTMB_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,5629f66264118749537fdf03ff8bcba54a1a5fab093e0d955405ceb81a0769ca,BDTMBS,petits/BDTMB_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,80462e3608064b5d797970159c12d73a2c73ceb155c5ae2654071b6acfdb8ff0
BDTMC,yes,no,no,0,LMS,BDTMCL,grands/BDTMC_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,f75d52bc81af06e97170eafd06b0ef91bc6933a6a57cdfde2ee51ba2f1b4bcdd,BDTMCM,moyens/BDTMC_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,1349786a1112f8db08c49df7f57080a9f8592b3a37f94486ce8ad6b06ac683a9,BDTMCS,petits/BDTMC_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,38e7c75cfbec1a6ab7eb2029b645d9db5478b6639cc29bcfdcb18a0706e844ba
BDTMD,yes,no,no,0,LMS,BDTMDL,grands/BDTMD_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,d02a52f9a93ebed36cfdb297d845083b50ab950e9c2a4c4722e4d22469a4d9f1,BDTMDM,moyens/BDTMD_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,795cd6eef4a9b23bffc0f64dba85e45a651bb588e251cea040a8f1087242b5c0,BDTMDS,petits/BDTMD_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,b03ec9716f33e69c92089848d0a66f9081867ec362f675c2618c085aa3a58939
BDTME,yes,no,no,0,LMS,BDTMEL,grands/BDTME_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,0153546a1ea0a4c92b8c3b0b2a7adf3324b6c7b3b53479edba9d39842abb1b94,BDTMEM,moyens/BDTME_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,27c933a50c865ac8f536fb4e80523289948683041c218c64fbc6b57557e3c6e7,BDTMES,petits/BDTME_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,ff3dbb56a175ac6d25467aa812eacb98dbe4b7d1801f855a4d45da29eed822b2
BDTMF,yes,no,no,0,LMS,BDTMFL,grands/BDTMF_L.bmp,210,330,RGB,208616,data/BDTP_DLC.BIF,8b3e32ab59680e77402216b374a84d908cf50ab3fdd2c5ae5440ccf05e280ad1,BDTMFM,moyens/BDTMF_M.bmp,169,266,RGB,135184,data/BDTP_DLC.BIF,64c309d132c7891af7933dba839ee7e2f25a04ced9b6e6dc0bacbfb82d6793ce,BDTMFS,petits/BDTMF_S.bmp,54,84,RGB,13832,data/BDTP_DLC.BIF,3900704cb224b14b7a79a1d17dd3745df5608dbfe733946dd7aa7a6ef978293e
