ensemble,categorie,ressource,nom,largeur,hauteur,sha256
par-creature,,25SPELL,Lazarus Librarus,169,266,c709fb62bd01cfaf
par-creature,,ABAZHALS,,169,266,b0f2ea5a59e88e65
par-creature,,ABELA,,169,266,a9c4a13adcdf11b5
par-creature,,ACHEN,,169,266,2949c213c75265b5
par-creature,,ACOLYTE1,Talon Zogas,169,266,e8a01ae550661e3a
par-creature,,ACOLYTE2,Aubemestre Alvanna,169,266,5c34944bfdb025df
par-creature,,ACOLYTE3,Chevalier de garde Aabir,169,266,c11d548af3f43dfd
par-creature,,ACOLYTED,,169,266,24f835e9c04573a9
par-creature,,ADA,,169,266,d11594e7085a2615
par-creature,,ADDY,,169,266,3f74e907d0186841
par-creature,,AEEXTORT,Hanj,169,266,430ad13fd6cd590d
par-creature,,AELOTUS,Bandon,169,266,07889216905dd442
par-creature,,AEMESS,Messager,169,266,94c9cf6701aa683b
par-creature,,AGNASI,,169,266,31d7c72ddf93bc11
par-creature,,AKAE,Akae,169,266,5c4e9fe9f6d00ea1
par-creature,,ALANBL,,169,266,2f3cc77297169182
par-creature,,ALATOS,,169,266,078d2a570d1514dd
par-creature,,ALBERT,,169,266,3850433dce1c293e
par-creature,,ALDETH,,169,266,7dc1b0bdd199a32f
par-creature,,ALDWIN,,169,266,abeba2f2b86be377
par-creature,,ALEX,Sire Beverus,169,266,750e9aa29a87654c
par-creature,,ALGERN,,169,266,23ce3c00a6eca73a
par-creature,,ALHEL,Alhelor,169,266,2b0862d35e62db3c
par-creature,,ALIBAK,,169,266,484ed162248aa3c1
par-creature,,ALPHEUS1,,169,266,d3b322b915ee6210
par-creature,,ALPHONSE,Alphonse,169,266,3fe430741754c9b5
par-creature,,ALVANH,,169,266,2f0efbb0a0225029
par-creature,,ALYNAR,Seigneur Alynar,169,266,b939493e5173dced
par-creature,,ALYTH,,169,266,35b242a2d89913c5
par-creature,,AMARAN,,169,266,9b17d807169c7039
par-creature,,AMARCH01,Capitaine Erelon,169,266,cb381796ffe2c661
par-creature,,AMASANA,Asana Haraad,169,266,3c4e7a0f1b490c3c
par-creature,,AMBAR01,Zakee Rafeha,169,266,0d739c251cc5a997
par-creature,,AMCARRAS,Carras,169,266,978373b9d867e03c
par-creature,,AMCLER02,Chyil,169,266,6b80f7e93620a3fb
par-creature,,AMCONM01,Roturier,169,266,b7f7f52fcb10af04
par-creature,,AMCONM02,Roturier,169,266,3402a0875598f666
par-creature,,AMCONW01,Roturier,169,266,d58032e1ce5882d4
par-creature,,AMDUEL01,Mercenaire,169,266,5a5ba1621394de60
par-creature,,AMDUEL02,Mercenaire,169,266,77e2a680433d0bc8
par-creature,,AMFAHEED,Faheed,169,266,07efd15fbad26e42
par-creature,,AMMAJIRA,Majira,169,266,c07ed27b64087884
par-creature,,AMMAYOR,Omar Haraad,169,266,e361142aa55b345c
par-creature,,AMMSLEEP,Homme endormi,169,266,8cc4915066732f67
par-creature,,AMSI,Am-Si,169,266,c8dee59d5094d6b2
par-creature,,AMSMITH,Kerric le Forgeron,169,266,817a4f3f9b3ea0fc
par-creature,,AMTGEN01,Jamis Tombelthen,169,266,5758d2ef6b512902
par-creature,,AMWENC01,Leila,169,266,7f3c357a5d14e30b
par-creature,,AMWYVERN,Lucy,169,266,07545de786216ab6
par-creature,,ANATH,,169,266,60e21e32fd2cc614
par-creature,,ANDARS,,169,266,b97692376d17e588
par-creature,,ANDOUT,,169,266,afc211a42c735e2d
par-creature,,ANDRIS,,169,266,a7fedbe6874a15fd
par-creature,,ANGAAR,,169,266,64376103613f58a9
par-creature,,ANGELO,,169,266,ab5f1503b3637b88
par-creature,,ANNO1,Annonceur,169,266,726384b052ca6c0d
par-creature,,ANTENOS,Antenos,169,266,5d1cff662c25fb27
par-creature,,AOLN,,169,266,e2f9e7e14e737063
par-creature,,APHRIL,,169,266,caafae087b476b3e
par-creature,,APPAR,,169,266,7124c74333076d46
par-creature,,APPARIT,,169,266,f0be6f216c6a00ee
par-creature,,APSEL,,169,266,abf07c7202263298
par-creature,,ARAN,Aran Linvail,169,266,70dbf78f7cc84e2d
par-creature,,ARDENO,,169,266,ad4b82ab69b87cb9
par-creature,,ARDROU,,169,266,f9578b19c39972ef
par-creature,,ARENTHIS,Arenthis,169,266,bf71ba5c11ee8429
par-creature,,ARGHAI,,169,266,9c9bef68b53971f2
par-creature,,ARGRIM,Seigneur Ketlaar Argrim,169,266,6f83da205acb68d3
par-creature,,ARKANIS,,169,261,79f7ce479cc618a8
par-creature,,ARKION,,169,266,b7e73f393237003f
par-creature,,ARKUSH,,169,266,83e74a9597d6ab73
par-creature,,ARLED,Arledrian,169,266,5069950d40f33e32
par-creature,,ARNBOY01,Apprenti bourreau Douglas,169,266,88842e99d9b30084
par-creature,,ARNGRL01,Demoiselle,169,266,a51f995f3378ae86
par-creature,,ARNMAN03,Cuchul,169,266,33dfffec94b79930
par-creature,,ARNMAN04,Mitsu,169,266,3bcad677790672df
par-creature,,ARNMAN05,Achon,169,266,084c7b879176f552
par-creature,,ARNMAN06,Prisonnier,169,266,54f25110617a2469
par-creature,,ARNWAR07,Dedral,169,266,3dcd0f07740c1ec3
par-creature,,ARNWAR08,Tizzak,169,266,a3c91b07520aa475
par-creature,,ARTEMIS,Artemis Entreri,169,266,42cefe5e677db606
par-creature,,arundel1,,169,266,0e78d4c454f0558f
par-creature,,ASHEN,,169,266,59d128c7fc9e0452
par-creature,,AVARICE,,169,266,359066530557c21d
par-creature,,AVERY,,169,266,57e86229e0931df5
par-creature,,BADLUCK,Jariel,169,266,7af942628e9c7830
par-creature,,BAELOTHM,,169,266,9ea2e8c85c9e9ad5
par-creature,,BANDIC,,169,266,65de4084bcb2a7d8
par-creature,,BARDOL,,169,266,09fa8115b144b339
par-creature,,BARESH,,169,266,fb58c399d9698441
par-creature,,BARL,Barl,169,266,8703bafa493cac27
par-creature,,BARONP,Baron Ployer,169,266,dba9f138d96e3637
par-creature,,BARUK,,169,266,7a7f19056f30be30
par-creature,,BASSIL,,169,266,7b261f764eabe794
par-creature,,BAYARD,,169,266,5cd2fca08cc6006a
par-creature,,BAZDRA01,Draconis,169,266,69b440f5a6d0b87f
par-creature,,BAZDRA03,Fll'Yissetat,169,266,47cfab6a143ec55f
par-creature,,BAZEYE01,Iycanth le Fou,169,266,a21c5833b3ad806c
par-creature,,BAZMONK,Moine,169,266,a1c5575df02ffc01
par-creature,,BAZPAT01,Bondari,169,266,cc282a276a280c1f
par-creature,,BAZPAT02,Nanoc the Barbare,169,266,cc7a00157ade25f3
par-creature,,BAZPAT03,Tim Maindor,169,266,1675d7fc2bd9f1cc
par-creature,,BDACT01,Wynn,169,266,28ff01a8c0d6070a
par-creature,,BDACT02,Ketrick,169,266,1f4e59099295e7ac
par-creature,,BDACT03,Jenna,169,266,b1b6c6796d5eeed6
par-creature,,BDACT04,Iltheia,169,266,c7a0a849d88663cf
par-creature,,BDACT05,Zaren,169,266,4d5097dc8b685c99
par-creature,,BDAHDREK,,169,266,b63f10a90ff93654
par-creature,,BDAILEEN,,169,266,fafeafc32a7e4fa6
par-creature,,BDAKANNA,,169,266,f525e6d7662a845c
par-creature,,BDALALAI,,169,266,d97d7cd60fc41f47
par-creature,,BDALMUR,,169,266,c28718b7b442c247
par-creature,,BDAMMON,,169,266,9706d73d6386fa18
par-creature,,BDANDRUS,,169,266,760dd2a385588924
par-creature,,BDANJI,,169,266,be99654939d7347e
par-creature,,BDARAYA,,169,266,95a4382c1d7bc2e5
par-creature,,BDARBING,,169,266,cf11835655c6dc3a
