nom,base,taille,ressource,largeur,hauteur,mode,bif_source,sha256,creatures,autres_noms
Abazigal,ABAZFUL,petit,ABAZFULS,38,60,RGB,data/25Portrt.bif,d4cfc63874510d2df7d1ca99de991689d24375f39e60ab73a9fc1889def2d1ba,1,
Abazigal,ABAZHAL,petit,ABAZHALS,38,60,RGB,data/25Portrt.bif,0a7f0130ce23a20a250c28f0be6443146cc97596d591552c261db14b720dd082,1,
Alora,ALORA,grand,ALORAL,210,330,RGB,data/Portrait.bif,ebedee24ff77bd77f39630c16776ef0b7304fed9b0dcdc91bca37db8252a7ff9,2,
Alora,ALORA,moyen,ALORAM,169,266,RGB,data/Portrait.bif,4c03950be9c0430816a7ad9864e7e6ada997f6f96c0a9761787b9edadf3496c6,2,
Alora,ALORA,petit,ALORAS,54,84,RGB,data/Portrait.bif,e524ca67da974299939a3f6d48f9fb829bf9a5bbecd168cca4530c88507f1a37,2,
Baeloth,BAELOTH,petit,BAELOTHS,54,84,RGB,data/ee.bif,b9c07236cdc02c607b0209dabb040a1d84860b6144d6fd114df3bde15f35940c,2,
Balthazar,BALTHAZ,petit,BALTHAZS,38,60,RGB,data/25Portrt.bif,07f437259f25174a3a6e7f22e34c54e930f0f5c75950e4e34e15eec0f19b94b3,1,
Coran,CORAN,grand,CORANL,210,330,RGB,data/Portrait.bif,b804d129222ceb60100af9a7a00088757e0b29deae53902a9f5ed7f688a8eff2,1,
Coran,CORAN,moyen,CORANM,169,266,RGB,data/Portrait.bif,a1dc7caf968b3285c9d79ab40979f2ba6a8624b46e4e24e5b4b3ec88108e3e39,1,
Coran,CORAN,petit,CORANS,54,84,RGB,data/Portrait.bif,3a0689a1f4c483e3da57eeff2568238dc9185dcdfb2e7418bc25c89016154a0b,1,
Dario Thet,EDWIN,grand,EDWINL,210,330,RGB,data/Portrait.bif,f1aa638d9323d8984ad5f513724773d3a316198af4581e23952cc295169c1d27,2,Edwin
Dario Thet,EDWIN,moyen,EDWINM,169,266,RGB,data/Portrait.bif,27dbb926e5af34b449bcba721a0001f4654bad3812661885bef3472f3abb300e,2,Edwin
Dario Thet,EDWIN,petit,EDWINS,54,84,RGB,data/Portrait.bif,c9912cf9e1f2654d012779e52aa050bf3450e2b6b3cd64e298dbd9c225695853,2,Edwin
Zeris,ELDOTH,grand,ELDOTHL,210,330,RGB,data/Portrait.bif,f31e412f5c39d098d495a8d18ecf691b2d5d02ece9df6726cccced1b4e846626,1,
Zeris,ELDOTH,moyen,ELDOTHM,169,266,RGB,data/Portrait.bif,3bbef656df28fb9a787bf3e2fba2e3c279ec52561eec577e829894388e74acfc,1,
Zeris,ELDOTH,petit,ELDOTHS,54,84,RGB,data/Portrait.bif,259345a01ee7d436e070682a30697b9eddffe6eb80ac6447737af176ad223ea8,1,
Rurik,GENDWRF,grand,GENDWRFL,210,330,RGB,data/Portrait.bif,c66ed5737057ef369e88e7c85976bdb8d8a7d6ecc76c9918250a60b8f52f798c,1,
Rurik,GENDWRF,moyen,GENDWRFM,169,266,RGB,data/Portrait.bif,f9df411dfcd5f0f753be8555dd8ad71d41da9f42b6a9d3df2a55bde9d354ef0f,1,
Rurik,GENDWRF,petit,GENDWRFS,54,84,RGB,data/Portrait.bif,12d8db2d1d7da075ef4d9ffb876036fde02ed70d86047a4941a214112331379c,1,
Gromnir Il-Khan,GROMNIR,petit,GROMNIRS,38,60,RGB,data/25Portrt.bif,c44227d2c9d84c8a4b747d92bc692a0a1fe1b96bf489962e5314d87f010f3e2f,1,
Illasera,ILLISAR,petit,ILLISARS,54,84,RGB,data/25Portrt.bif,25f08fc222faa7eef4d9631a1c720f8467ca945a44c5914c67bd967ba84c493c,1,
Imoen,IMOEN,grand,IMOENL,210,330,RGB,data/Portrait.bif,ddefcb2d1ba425768e56013db15e731c063ca290761f81461671a5a59dac7303,1,
Imoen,IMOEN,moyen,IMOENM,169,266,RGB,data/Portrait.bif,f8f8ff47c084fde65216300ffd491a59292ea6f0c53606d8a3483eaf2d159b67,1,
Imoen,IMOEN,petit,IMOENS,54,84,RGB,data/Portrait.bif,27d8df8033610c56e2f30ba9ea417e46ce1844af1b52ffecbc61bc15f7b504bd,1,
Khalid,KHALID,grand,KHALIDL,210,330,RGB,data/Portrait.bif,40e5a323bbf024c6a9f15342b1fe9456f3c5dd4dbcf23beab5856ff00830179f,1,
Khalid,KHALID,moyen,KHALIDM,169,266,RGB,data/Portrait.bif,867d17e98a8144967683ae6cc32bed13463252b6551c17c754a5a8d661a23588,1,
Khalid,KHALID,petit,KHALIDS,54,84,RGB,data/Portrait.bif,8abcec6d1b4a3c66b7e5c13ee2d6312afc1cc876bb9e98185c984cf83eb3138c,1,
Kivan,KIVAN,grand,KIVANL,210,330,RGB,data/Portrait.bif,93553e5b75ce8e0a75eb21fc248d7fd5b82e4d34377925bdaf89d13cc19df404,3,
Kivan,KIVAN,moyen,KIVANM,169,266,RGB,data/Portrait.bif,506ccf265ae9b587cfead948c9f104b3f9c7e80a3404d2ae3ea7eb16d2c005ed,3,
Kivan,KIVAN,petit,KIVANS,54,84,RGB,data/Portrait.bif,8a0d339ea37a47e16dd8f69cfdc57c7c212531540e5855ba866bc557ba1a9fdc,3,
Tyras,MAN1,grand,MAN1L,210,330,RGB,data/Portrait.bif,29760936460a6dc4fe8807f0eebdb4706d10b8417a86f86c1e308977e4609839,1,
Tyras,MAN1,moyen,MAN1M,169,266,RGB,data/Portrait.bif,838bce15bb56b10861d292300f56b21204058bda7b9d0f9efe796826868a19d1,1,
Tyras,MAN1,petit,MAN1S,54,84,RGB,data/Portrait.bif,a261b5ad1fe5e26b10352ffa4d9f37a6068ca4f88b5988b12f0f7df7b2ed6644,1,
Alarion,MAN2,grand,MAN2L,210,330,RGB,data/Portrait.bif,811962a059561543a25cd4255778f1b89eeeed23095585f5c7a67b596f88cd28,1,
Alarion,MAN2,moyen,MAN2M,169,266,RGB,data/Portrait.bif,62daae7d776de223f9557386bec4efca9e0887511876dd809376792ff8261c72,1,
Alarion,MAN2,petit,MAN2S,54,84,RGB,data/Portrait.bif,c2e324765902aeece9c3867925bd2b739d66fb783f13f0943e7126eacef70226,1,
Mélissanne,MEL_BAD,petit,MEL_BADS,54,84,RGB,data/25Portrt.bif,38982cb362cc7abeb90418aec6640ad2eeb8a60d94bc4d1752837749a87e56c3,2,
Mélissanne,MEL_GD,petit,MEL_GDS,54,84,RGB,data/25Portrt.bif,7f1d0eba8c4096a27a90b68758a25bc5d4ce39297c6904da69b05235085bdca8,3,
Minsc,MINSC,grand,MINSCL,210,330,RGB,data/Portrait.bif,8daf22501244591722de23332f93632664f40696135517d64a91db1405412e85,1,
Minsc,MINSC,moyen,MINSCM,169,266,RGB,data/Portrait.bif,d92ec48e021d2bbef122c7b162eabebb6bbb1a0b86ac434ed95e5560787c02ee,1,
Minsc,MINSC,petit,MINSCS,54,84,RGB,data/Portrait.bif,627e530bc4ac0dc5825b371dbe8e41b47fa6e5efbd052bf152cee4a4aafc5e20,1,
Elminster,MONTAR,grand,MONTARL,210,330,RGB,data/Portrait.bif,e5a464ce59e3ee4217c4a29db06f27ad973c7e747c6b78e9b7038cd5e962124f,1,
Elminster,MONTAR,moyen,MONTARM,169,266,RGB,data/Portrait.bif,7c1839b213401ae188ffe05d2f5c4f1eb751268ab31dbf961a64f0d03e88a6ed,1,
Elminster,MONTAR,petit,MONTARS,54,84,RGB,data/Portrait.bif,363da5df250fbb8eea113f6672755b82a3f9569f1ef745a405b162b492fa5167,1,
Bodhi,NBODHI,petit,NBODHIS,54,84,RGB,data/Portrait.bif,260bdca17ec6d3f36e1e5f702d5d13de6e4d644117e32f69e6c71e09f48f5b3d,11,
Ellésime,NELLE,petit,NELLES,54,84,RGB,data/Portrait.bif,55d60914ba4c1c90abafe0d30d03b950cc5462ec255fb26037d9524acf8feb1a,3,
Jon Irenicus,NJON,grand,NJONL,210,330,RGB,data/Portrait.bif,d9c682857ba48b68005ea66224b4a86547af38205cb4abb947228ebd2758e491,19,Mage
Jon Irenicus,NJON,moyen,NJONM,169,266,RGB,data/Portrait.bif,b5c9e1667c298f1a733b909ace3b0ce09af53c12d1897662788851c54b98ab09,19,Mage
Jon Irenicus,NJON,petit,NJONS,54,84,RGB,data/Portrait.bif,d60b92610337834527607c4b0ea65d656a19f6d9323f9a19e9ee179e96923b60,19,Mage
Thraxis Gall,QUAYLE,grand,QUAYLEL,210,330,RGB,data/Portrait.bif,dfe71a5bf504cd273eee571f380573c58f218f4bae60c13ba7be6569ab60f71b,1,
