asset_key,relation,dependency_resref,allowed_formats,resolved_format,present,source_bif
projectile:1AROW01,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AROW02,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AROW03,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AROW04,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AROW05,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AROW07,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AROW10,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AROW11,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AROW15,travel-animation,ARARROW,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AXE05,travel-animation,AXE,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AXE08,travel-animation,AXE,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AXE09,travel-animation,AXE,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AXE10,travel-animation,AXE,BAM,BAM,yes,data/OBJAnim.bif
projectile:1AXE16,travel-animation,AXE,BAM,BAM,yes,data/OBJAnim.bif
projectile:1BOLT01,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1BOLT02,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1BOLT03,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1BOLT04,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1BOLT05,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1BOLT06,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1BOLT09,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1BULL02,travel-animation,MAGICSTN,BAM,BAM,yes,data/SPELAnim.bif
projectile:1BULL03,travel-animation,MAGICSTN,BAM,BAM,yes,data/SPELAnim.bif
projectile:1BULL04,travel-animation,MAGICSTN,BAM,BAM,yes,data/SPELAnim.bif
projectile:1BULL05,travel-animation,MAGICSTN,BAM,BAM,yes,data/SPELAnim.bif
projectile:1BULL06,travel-animation,MAGICSTN,BAM,BAM,yes,data/SPELAnim.bif
projectile:1DAGG05,travel-animation,DART,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DAGG11,travel-animation,DAGGER,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DAGG12,travel-animation,DART,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DAGG16,travel-animation,DART,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DART01,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DART02,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DART03,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DART04,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DART05,travel-animation,BOLT,BAM,BAM,yes,data/OBJAnim.bif
projectile:1DART08,travel-animation,DART,BAM,BAM,yes,data/OBJAnim.bif
projectile:1PDEATHF,spread-animation,SPDFOGA,VEF;VVC;BAM,BAM,yes,data/PATCH26.BIF
