asset_key,resref,projectile_type,dependency_count,source_bif,locator,source_size,source_sha256,extracted_path
projectile:1AROW01,1AROW01,2,1,data/Project.bif,0x03900000,512,2A7A4CB08AF5A9A9604440B2562848D0E2A13F1C06E49EC5562B2A223C933105,projectiles/source/1AROW01.pro
projectile:1AROW02,1AROW02,2,1,data/Project.bif,0x03900001,512,64F3441A09C14E25DD1C45CAF789A7282BE5C62261225D30FF63CF8D1658D394,projectiles/source/1AROW02.pro
projectile:1AROW03,1AROW03,2,1,data/Project.bif,0x03900002,512,41AF4051260947DA7FA0F3C435A7D02A72D2DFB2C29CDD1CC1040186877AF08F,projectiles/source/1AROW03.pro
projectile:1AROW04,1AROW04,2,1,data/Project.bif,0x03900003,512,B039B5A42CB0EA223312884AFC1520B4DFB6B9526A202666F1CF8FD5683C6E5D,projectiles/source/1AROW04.pro
projectile:1AROW05,1AROW05,2,1,data/Project.bif,0x03900004,512,581B2AB83CA9C18D9A1F49E557FC302F1380A4F90B161743B57B05F2BFB77122,projectiles/source/1AROW05.pro
projectile:1AROW07,1AROW07,2,1,data/Project.bif,0x03900005,512,3A167C0D1B246853957DA13DBB1708D5AC9F936C8490181518C5FE1129A40542,projectiles/source/1AROW07.pro
projectile:1AROW10,1AROW10,2,1,data/Project.bif,0x03900006,512,B142224BA107903128A116329031EFCE91DA827F93C1CAD5E00C322E86F3B24F,projectiles/source/1AROW10.pro
projectile:1AROW11,1AROW11,2,1,data/Project.bif,0x03900007,512,0AD60255A217ADB207606285DFF8D2623C51198F9E3815B844D466F27B971E21,projectiles/source/1AROW11.pro
projectile:1AROW15,1AROW15,2,1,data/Project.bif,0x03900008,512,5EBABB3A6CBEF3958D245F24B2EED31629517E8FF6B4D7843A6ADD76AE8AE817,projectiles/source/1AROW15.pro
projectile:1AXE05,1AXE05,2,1,data/Project.bif,0x03900009,512,27E87A71D76584A7A49E0BCA4B092C539BE4A5B24619F2C200768F93DBC3ADA2,projectiles/source/1AXE05.pro
projectile:1AXE08,1AXE08,2,1,data/Project.bif,0x0390000A,512,8544395BE1BEF1E534A0BF2F7A4EDA39322F9714B80323882C79F6DC9EE40177,projectiles/source/1AXE08.pro
projectile:1AXE09,1AXE09,2,1,data/Project.bif,0x0390000B,512,7C829E7E2741572F36ABF59A8DCEB3C879FDDC5E7B73AEF840581C1DD75AEEA2,projectiles/source/1AXE09.pro
projectile:1AXE10,1AXE10,2,1,data/Project.bif,0x0390000C,512,19FC53D43A3C7897FD51E8169C278AF2BE73E0A86EF3813A8F3E53C87595117D,projectiles/source/1AXE10.pro
projectile:1AXE16,1AXE16,2,1,data/Project.bif,0x0390000D,512,DC911DAE4D46A7D870BE6478C9C0182ECD23D9BBB06E3420017A3375F3F97055,projectiles/source/1AXE16.pro
projectile:1BOLT01,1BOLT01,2,1,data/Project.bif,0x0390000E,512,04B9B1FF574007DD994CB3A2015985FDE7078A76534920478418EE3C6A5E4AB5,projectiles/source/1BOLT01.pro
projectile:1BOLT02,1BOLT02,2,1,data/Project.bif,0x0390000F,512,6F76BDCB0BAD27DF77DB7C33776D34A3E7DDA38FDAFD9F38A028704FC07792D1,projectiles/source/1BOLT02.pro
projectile:1BOLT03,1BOLT03,2,1,data/Project.bif,0x03900010,512,36E7289EEF309906AC0851FD42A3F34D6E5A3097CF5C6CDD5923363562288EF7,projectiles/source/1BOLT03.pro
projectile:1BOLT04,1BOLT04,2,1,data/Project.bif,0x03900011,512,D20F709083D2734D236F817A34E150749D851A57933B8A1BF53103483092A451,projectiles/source/1BOLT04.pro
projectile:1BOLT05,1BOLT05,2,1,data/Project.bif,0x03900012,512,72DA6331150AA7CAF5F9B28F7DB7360BACB3A01CB991ABDD4F1AF10738752409,projectiles/source/1BOLT05.pro
projectile:1BOLT06,1BOLT06,2,1,data/Project.bif,0x03900013,512,CDC4AB8D89DD2E740D6CA9147972191D38D0171CED363495D0487A4CD2756693,projectiles/source/1BOLT06.pro
projectile:1BOLT09,1BOLT09,2,1,data/Project.bif,0x03900014,512,573AC3B6AAE35DEE8A75D1E6C1B91EFD542013A0D2A5C9F60518A323DD517179,projectiles/source/1BOLT09.pro
projectile:1BULL02,1BULL02,2,1,data/Project.bif,0x03900015,512,0EC84758739DD6586F7C822D7208386875C9197620219F84AF8580DBD5B2F572,projectiles/source/1BULL02.pro
