area,component_id,source_path,include_wed,model
AR4000,5000,maps/AR4000/runs/seedvr2-7b-int8-lab-grid-2x2-x4/05_build,false,SeedVR2-7B-LAB
AR4500,5010,maps/AR4500/runs/seedvr2-7b-int8-lab-grid-2x4-x4/05_build,false,SeedVR2-7B-LAB
AR5000,5020,maps/AR5000/runs/seedvr2-7b-int8-none-grid-2x3-x4/05_build,false,SeedVR2-7B-none
AR5001,5030,maps/AR5001/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5002,5040,maps/AR5002/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5003,5050,maps/AR5003/runs/seedvr2-7b-int8-lab-split-rows-x4/05_build,false,SeedVR2-7B-LAB
AR5004,5060,maps/AR5004/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5005,5070,maps/AR5005/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5006,5080,maps/AR5006/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5007,5090,maps/AR5007/runs/seedvr2-7b-int8-lab-grid-2x2-x4/05_build,false,SeedVR2-7B-LAB
AR5008,5100,maps/AR5008/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5009,5110,maps/AR5009/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5010,5120,maps/AR5010/runs/seedvr2-7b-int8-none-direct-x4/05_build,false,SeedVR2-7B-none
AR5011,5130,maps/AR5011/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5012,5140,maps/AR5012/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5013,5150,maps/AR5013/runs/seedvr2-7b-int8-lab-grid-2x3-x4/05_build,false,SeedVR2-7B-LAB
AR5014,5160,maps/AR5014/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5015,5170,maps/AR5015/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5016,5180,maps/AR5016/runs/seedvr2-7b-int8-lab-direct-x4/05_build,false,SeedVR2-7B-LAB
AR5200,5190,maps/AR5200/runs/seedvr2-7b-int8-none-grid-2x2-x4/05_build,false,SeedVR2-7B-none
