bam_resref,source_sha256,canonical_sha256,source_bif,locator,source_file,canonical_file,source_manifest,extraction_state
CDFB1A1,411B081CC11599A014FAB9A3C27EFFE3B70B089D031405AAF0FC721123DEC1CB,519D8C86EB86987B989D195A0FEB2D29F45193B89731846ADBA6ED4717628B8B,data/GUIIcon.bif,0x00400152,sprite/ressources/CDFB1A1/sources/411b081cc11599a014fab9a3c27effe3b70b089d031405aaf0fc721123dec1cb/source.bamc,sprite/ressources/CDFB1A1/sources/411b081cc11599a014fab9a3c27effe3b70b089d031405aaf0fc721123dec1cb/source.bam,sprite/ressources/CDFB1A1/sources/411b081cc11599a014fab9a3c27effe3b70b089d031405aaf0fc721123dec1cb/source.json,verified
CDFB1A2,C48698A7F72FEE48F4B977E5B80463671C6250B0E033E91967C5DF4959645EFA,F2C330067B72CB019297A418AAB6268AB821AFB2CFB4A73B59C5029672569B94,data/GUIIcon.bif,0x00400153,sprite/ressources/CDFB1A2/sources/c48698a7f72fee48f4b977e5b80463671c6250b0e033e91967c5df4959645efa/source.bamc,sprite/ressources/CDFB1A2/sources/c48698a7f72fee48f4b977e5b80463671c6250b0e033e91967c5df4959645efa/source.bam,sprite/ressources/CDFB1A2/sources/c48698a7f72fee48f4b977e5b80463671c6250b0e033e91967c5df4959645efa/source.json,verified
CDFB1A3,5A1DDBEC2C7AD37B7033CFA98D29539077518738C676FFB215E1C403994F0AB6,CBA24A7225D904BABFD52232D42AF7756063ADA903007782777B4A7991AEE676,data/GUIIcon.bif,0x00400154,sprite/ressources/CDFB1A3/sources/5a1ddbec2c7ad37b7033cfa98d29539077518738c676ffb215e1c403994f0ab6/source.bamc,sprite/ressources/CDFB1A3/sources/5a1ddbec2c7ad37b7033cfa98d29539077518738c676ffb215e1c403994f0ab6/source.bam,sprite/ressources/CDFB1A3/sources/5a1ddbec2c7ad37b7033cfa98d29539077518738c676ffb215e1c403994f0ab6/source.json,verified
CDFB1A4,919C66CFC7BC71622C0F8434E6617379716A8ABA3B31AAE16B28CDB879AA0958,ACEA11A351C2406015EE28DB16E101ADEB4E66F131BCF49353CEBED1E027366C,data/GUIIcon.bif,0x00400155,sprite/ressources/CDFB1A4/sources/919c66cfc7bc71622c0f8434e6617379716a8aba3b31aae16b28cdb879aa0958/source.bamc,sprite/ressources/CDFB1A4/sources/919c66cfc7bc71622c0f8434e6617379716a8aba3b31aae16b28cdb879aa0958/source.bam,sprite/ressources/CDFB1A4/sources/919c66cfc7bc71622c0f8434e6617379716a8aba3b31aae16b28cdb879aa0958/source.json,verified
CDFB1A5,6451E47BB294412043FB980EF1624CD1A3729B248CE891D5B4BED7C5DB946954,5325512D3DFCFE0779D0E3F9B41C3257D736244D0EA86E692CA41AFC7CECC9F1,data/GUIIcon.bif,0x00400156,sprite/ressources/CDFB1A5/sources/6451e47bb294412043fb980ef1624cd1a3729b248ce891d5b4bed7c5db946954/source.bamc,sprite/ressources/CDFB1A5/sources/6451e47bb294412043fb980ef1624cd1a3729b248ce891d5b4bed7c5db946954/source.bam,sprite/ressources/CDFB1A5/sources/6451e47bb294412043fb980ef1624cd1a3729b248ce891d5b4bed7c5db946954/source.json,verified
CDFB1A6,05B911709463BF36AD079624004181E1CD4E6226FBF0CDDEC9FB8E623B99B224,18D7697BEB2F849B740B56397DA1C2A541E55F1AD84921CC05E23838311594CF,data/GUIIcon.bif,0x00400157,sprite/ressources/CDFB1A6/sources/05b911709463bf36ad079624004181e1cd4e6226fbf0cddec9fb8e623b99b224/source.bamc,sprite/ressources/CDFB1A6/sources/05b911709463bf36ad079624004181e1cd4e6226fbf0cddec9fb8e623b99b224/source.bam,sprite/ressources/CDFB1A6/sources/05b911709463bf36ad079624004181e1cd4e6226fbf0cddec9fb8e623b99b224/source.json,verified
CDFB1A7,9EB4EFE5D2848709DC6902DF086257156966BEE76423618973B857BE2404D9D7,84E2BA8CD09C207AB5154D1DC78F81EB4E57DE603857A019618FBF6C0600A684,data/GUIIcon.bif,0x00400158,sprite/ressources/CDFB1A7/sources/9eb4efe5d2848709dc6902df086257156966bee76423618973b857be2404d9d7/source.bamc,sprite/ressources/CDFB1A7/sources/9eb4efe5d2848709dc6902df086257156966bee76423618973b857be2404d9d7/source.bam,sprite/ressources/CDFB1A7/sources/9eb4efe5d2848709dc6902df086257156966bee76423618973b857be2404d9d7/source.json,verified
CDFB1A8,DB81C72D870B982E0CECCDBD26023EAF1B392E10A0154415A67ED544693BCDF0,7E2D42E6DC2351DD62AE0A38739D97FC809EB8FD55A70444A370BEDA46F27DB8,data/GUIIcon.bif,0x00400159,sprite/ressources/CDFB1A8/sources/db81c72d870b982e0ceccdbd26023eaf1b392e10a0154415a67ed544693bcdf0/source.bamc,sprite/ressources/CDFB1A8/sources/db81c72d870b982e0ceccdbd26023eaf1b392e10a0154415a67ed544693bcdf0/source.bam,sprite/ressources/CDFB1A8/sources/db81c72d870b982e0ceccdbd26023eaf1b392e10a0154415a67ed544693bcdf0/source.json,verified
CDFB1A9,FF0FB86B08AD8D564CF3D80E0041BEB8115AACB4F645B27D49E13DE3ED6837EF,B1CF7AEA079914098400FA84D56C919357F085E81C029DB6B507E5B488BF5AFC,data/GUIIcon.bif,0x0040015A,sprite/ressources/CDFB1A9/sources/ff0fb86b08ad8d564cf3d80e0041beb8115aacb4f645b27d49e13de3ed6837ef/source.bamc,sprite/ressources/CDFB1A9/sources/ff0fb86b08ad8d564cf3d80e0041beb8115aacb4f645b27d49e13de3ed6837ef/source.bam,sprite/ressources/CDFB1A9/sources/ff0fb86b08ad8d564cf3d80e0041beb8115aacb4f645b27d49e13de3ed6837ef/source.json,verified
CDFB1CA,891AAFC9DCA01112B70F3E60CB32E1240B30978AD5E8B7D3E8F7E372740AD206,7EDC9C062C94B0A4BB1E1F8133D8610933BD7B5BD73EDBAED809E666EF994DA7,data/GUIIcon.bif,0x0040015B,sprite/ressources/CDFB1CA/sources/891aafc9dca01112b70f3e60cb32e1240b30978ad5e8b7d3e8f7e372740ad206/source.bamc,sprite/ressources/CDFB1CA/sources/891aafc9dca01112b70f3e60cb32e1240b30978ad5e8b7d3e8f7e372740ad206/source.bam,sprite/ressources/CDFB1CA/sources/891aafc9dca01112b70f3e60cb32e1240b30978ad5e8b7d3e8f7e372740ad206/source.json,verified
