engine_section,macro_group,directory,layout_kind,bucket_policy
character,characters,playable-characters,character-components,none
character_old,characters,legacy-characters,single-family,high-byte
monster,monsters,monsters,single-family,high-byte
monster_old,monsters,monster-old,single-family,high-byte
monster_icewind,monsters,monster-icewind,single-family,named-high-byte
multi_new,composite-monsters,composite-monsters/multi-new,single-family,high-byte
monster_quadrant,composite-monsters,composite-monsters/monster-quadrant,single-family,high-byte
monster_layered,composite-monsters,composite-monsters/monster-layered,single-family,high-byte
monster_ankheg,composite-monsters,composite-monsters/monster-ankheg,single-family,high-byte
ambient,ambient-static,ambient-static/ambient,single-family,high-byte
ambient_static,ambient-static,ambient-static/ambient-static,single-family,high-byte
town_static,ambient-static,ambient-static/town-static,single-family,high-byte
monster_large,large-flying,large-flying/monster-large,single-family,high-byte
monster_large16,large-flying,large-flying/monster-large16,single-family,high-byte
flying,large-flying,large-flying/flying,single-family,high-byte
effect,effects,effects,single-family,high-byte
