asset_key,asset_id,family_id,variant_id,asset_directory,source_set_sha256,production_run,production_run_sha256,production_state,selected_run,selected_run_sha256,qa_state,qa_evidence,installation_state,installation_receipt,catalog_generation,release_state,release_candidate,notes
sprites:family:0x0101:body:base-resref:BGLRYU:BGLRYU:x2-nearest,sprites:family:0x0101:body:base-resref:BGLRYU:BGLRYU,0x0101:body:base-resref:BGLRYU:BGLRYU,x2-nearest,sprite/families/effects/01xx/0101-bglryu-bolt-of-glory,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x0102:body:base-resref:SPCL236U:SPCL236U:x2-nearest,sprites:family:0x0102:body:base-resref:SPCL236U:SPCL236U,0x0102:body:base-resref:SPCL236U:SPCL236U,x2-nearest,sprite/families/effects/01xx/0102-spcl236u-sun-soulray,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x0410:body:base-resref:SPGLYPHI:SPGLYPHI:x2-nearest,sprites:family:0x0410:body:base-resref:SPGLYPHI:SPGLYPHI,0x0410:body:base-resref:SPGLYPHI:SPGLYPHI,x2-nearest,sprite/families/effects/04xx/0410-spglyphi-trap-glyph,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1000:body:base-resref:MWYV:MWYV:x2-nearest,sprites:family:0x1000:body:base-resref:MWYV:MWYV,0x1000:body:base-resref:MWYV:MWYV,x2-nearest,sprite/families/composite-monsters/monster-quadrant/10xx/1000-mwyv-wyvern-big,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1003:body:base-resref:MWYV:MWYV:x2-nearest,sprites:family:0x1003:body:base-resref:MWYV:MWYV,0x1003:body:base-resref:MWYV:MWYV,x2-nearest,sprite/families/composite-monsters/monster-quadrant/10xx/1003-mwyv-wyvern-white-big,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1004:body:base-resref:MWYV:MWYV:x2-nearest,sprites:family:0x1004:body:base-resref:MWYV:MWYV,0x1004:body:base-resref:MWYV:MWYV,x2-nearest,sprite/families/composite-monsters/monster-quadrant/10xx/1004-mwyv-wyrmling-albino,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1100:body:base-resref:MTAN:MTAN:x2-nearest,sprites:family:0x1100:body:base-resref:MTAN:MTAN,0x1100:body:base-resref:MTAN:MTAN,x2-nearest,sprite/families/composite-monsters/monster-quadrant/11xx/1100-mtan-tanarri,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1101:body:base-resref:MWDR:MWDR:x2-nearest,sprites:family:0x1101:body:base-resref:MWDR:MWDR,0x1101:body:base-resref:MWDR:MWDR,x2-nearest,sprite/families/composite-monsters/monster-quadrant/11xx/1101-mwdr-dragon-white,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1102:body:base-resref:MTAN:MTAN:x2-nearest,sprites:family:0x1102:body:base-resref:MTAN:MTAN,0x1102:body:base-resref:MTAN:MTAN,x2-nearest,sprite/families/composite-monsters/monster-quadrant/11xx/1102-mtan-fiend-blue,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1103:body:base-resref:MTAN:MTAN:x2-nearest,sprites:family:0x1103:body:base-resref:MTAN:MTAN,0x1103:body:base-resref:MTAN:MTAN,x2-nearest,sprite/families/composite-monsters/monster-quadrant/11xx/1103-mtan-fiend-green,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1104:body:base-resref:MTAN:MTAN:x2-nearest,sprites:family:0x1104:body:base-resref:MTAN:MTAN,0x1104:body:base-resref:MTAN:MTAN,x2-nearest,sprite/families/composite-monsters/monster-quadrant/11xx/1104-mtan-fiend-red,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1105:body:base-resref:MWDR:MWDR:x2-nearest,sprites:family:0x1105:body:base-resref:MWDR:MWDR,0x1105:body:base-resref:MWDR:MWDR,x2-nearest,sprite/families/composite-monsters/monster-quadrant/11xx/1105-mwdr-dragon-green-iwd,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1200:body:base-resref:MDR1:MDR1:x2-nearest,sprites:family:0x1200:body:base-resref:MDR1:MDR1,0x1200:body:base-resref:MDR1:MDR1,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1200-mdr1-dragon-red,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1201:body:base-resref:MDR2:MDR2:x2-nearest,sprites:family:0x1201:body:base-resref:MDR2:MDR2,0x1201:body:base-resref:MDR2:MDR2,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1201-mdr2-dragon-black,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1202:body:base-resref:MDR3:MDR3:x2-nearest,sprites:family:0x1202:body:base-resref:MDR3:MDR3,0x1202:body:base-resref:MDR3:MDR3,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1202-mdr3-dragon-silver,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1203:body:base-resref:MDR1:MDR1:x2-nearest,sprites:family:0x1203:body:base-resref:MDR1:MDR1,0x1203:body:base-resref:MDR1:MDR1,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1203-mdr1-dragon-green,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1204:body:base-resref:MDR1:MDR1:x2-nearest,sprites:family:0x1204:body:base-resref:MDR1:MDR1,0x1204:body:base-resref:MDR1:MDR1,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1204-mdr1-dragon-aqua,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1205:body:base-resref:MDR1:MDR1:x2-nearest,sprites:family:0x1205:body:base-resref:MDR1:MDR1,0x1205:body:base-resref:MDR1:MDR1,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1205-mdr1-dragon-blue,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1206:body:base-resref:MDR1:MDR1:x2-nearest,sprites:family:0x1206:body:base-resref:MDR1:MDR1,0x1206:body:base-resref:MDR1:MDR1,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1206-mdr1-dragon-brown,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1207:body:base-resref:MDR1:MDR1:x2-nearest,sprites:family:0x1207:body:base-resref:MDR1:MDR1,0x1207:body:base-resref:MDR1:MDR1,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1207-mdr1-dragon-multicolor,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1208:body:base-resref:MDR1:MDR1:x2-nearest,sprites:family:0x1208:body:base-resref:MDR1:MDR1,0x1208:body:base-resref:MDR1:MDR1,x2-nearest,sprite/families/composite-monsters/multi-new/12xx/1208-mdr1-dragon-purple,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x1300:body:base-resref:MDEM:MDEM:x2-nearest,sprites:family:0x1300:body:base-resref:MDEM:MDEM,0x1300:body:base-resref:MDEM:MDEM,x2-nearest,sprite/families/composite-monsters/multi-new/13xx/1300-mdem-demogorgon,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x2000:body:base-resref:MSIR:MSIR:x2-nearest,sprites:family:0x2000:body:base-resref:MSIR:MSIR,0x2000:body:base-resref:MSIR:MSIR,x2-nearest,sprite/families/composite-monsters/monster-layered/20xx/2000-msir-sirine,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x2100:body:base-resref:UVOL:UVOL:x2-nearest,sprites:family:0x2100:body:base-resref:UVOL:UVOL,0x2100:body:base-resref:UVOL:UVOL,x2-nearest,sprite/families/composite-monsters/monster-layered/21xx/2100-uvol-volo,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x2200:body:base-resref:MOGM:MOGM:x2-nearest,sprites:family:0x2200:body:base-resref:MOGM:MOGM,0x2200:body:base-resref:MOGM:MOGM,x2-nearest,sprite/families/composite-monsters/monster-layered/22xx/2200-mogm-ogre-mage,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x2300:body:base-resref:MDKN:MDKN:x2-nearest,sprites:family:0x2300:body:base-resref:MDKN:MDKN,0x2300:body:base-resref:MDKN:MDKN,x2-nearest,sprite/families/composite-monsters/monster-layered/23xx/2300-mdkn-death-knight,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x3000:body:base-resref:MAKH:MAKH:x2-nearest,sprites:family:0x3000:body:base-resref:MAKH:MAKH,0x3000:body:base-resref:MAKH:MAKH,x2-nearest,sprite/families/composite-monsters/monster-ankheg/30xx/3000-makh-ankheg,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
sprites:family:0x4000:body:base-resref:SNOMC:SNOMC:x2-nearest,sprites:family:0x4000:body:base-resref:SNOMC:SNOMC,0x4000:body:base-resref:SNOMC:SNOMC,x2-nearest,sprite/families/ambient-static/town-static/40xx/4000-snomc-static-noble-man-chair,,,,blocked,,,not-assessed,,not-installed,,,not-evaluated,,
