animation_id,animation_id_decimal,ids_symbol,ids_present,ini_present,symbol_class,symbol_gender,symbol_race,symbol_variant,animation_family,animation_type,engine_section,ini_resref,ini_source_bif,ini_sha256,split_bams,false_color,can_lie_down,detected_by_infravision,equip_helmet,resref,resref_paperdoll,resref_armor_base,resref_armor_specific,armor_max_code,height_code,height_code_helmet,height_code_shield,resref_weapon1,resref_weapon2,ini_sections_json,runtime_profile,runtime_supported,family_count,pipeline_ready_family_count,override_collision,blocker
0x0000,0,FIRE_RING,yes,no,FIRE_RING,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0001,1,FIRE_RING_BRIGHT,yes,no,FIRE_RING_BRIGHT,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0100,256,CHUNKS,yes,no,CHUNKS,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0101,257,BOLT_OF_GLORY,yes,yes,BOLT_OF_GLORY,,,,0x0000,0000,effect,0101.INI,data/Patch25.bif,BBCF78DE945AA62125A522A03CB28B29F320AE4C80738117BBEC11401C4A1049,,,,,,BGLRYU,,,,,,,,,,"{""effect"":{""alt_palette"":"""",""delta_z"":""0"",""palletized"":""1"",""random_render"":""0"",""resref"":""BGLRYU"",""shadow"":""""},""general"":{""animation_type"":""0000"",""brightest"":""1"",""cast_frame"":""0"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""0"",""light_source"":""1"",""move_scale"":""0"",""multiply_blend"":""1"",""personal_space"":""3"",""sound_freq"":""-1""},""sounds"":{""attack"":"""",""attack_backslash"":"""",""attack_backslash_frame"":""0"",""attack_frame"":""0"",""attack_jab"":"""",""attack_jab_frame"":""0"",""attack_slash"":"""",""attack_slash_frame"":""0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":"""",""battle_cry_frame"":""0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":"""",""damage_frame"":""0"",""die"":"""",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""blank"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":"""",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x0102,258,SUN_SOULRAY,yes,yes,SUN_SOULRAY,,,,0x0000,0000,effect,0102.INI,data/Patch25.bif,EFF8B77BC77844D389533EC4C33A5C7826CE2C7D745D1CF356147333950979F4,,,,,,SPCL236U,,,,,,,,,,"{""effect"":{""alt_palette"":"""",""delta_z"":""0"",""palletized"":""1"",""random_render"":""0"",""resref"":""SPCL236U"",""shadow"":""""},""general"":{""animation_type"":""0000"",""brightest"":""1"",""cast_frame"":""0"",""color_blood"":""47"",""color_chunks"":""255"",""ellipse"":""0"",""light_source"":""1"",""move_scale"":""0"",""multiply_blend"":""1"",""personal_space"":""3"",""sound_freq"":""-1""},""sounds"":{""attack"":"""",""attack_backslash"":"""",""attack_backslash_frame"":""0"",""attack_frame"":""0"",""attack_jab"":"""",""attack_jab_frame"":""0"",""attack_slash"":"""",""attack_slash_frame"":""0"",""awake"":"""",""awake_frame"":""0"",""battle_cry"":"""",""battle_cry_frame"":""0"",""cast"":"""",""cast_frame"":""0"",""conjure"":"""",""conjure_frame"":""0"",""damage"":"""",""damage_frame"":""0"",""die"":"""",""die_frame"":""0"",""emerge"":"""",""emerge_frame"":""0"",""fall"":""blank"",""fall_frame"":""0"",""head_turn"":"""",""head_turn_frame"":""0"",""hide"":"""",""hide_frame"":""0"",""ready"":"""",""ready_frame"":""0"",""selection"":"""",""selection_frame"":""0"",""shoot"":"""",""shoot_frame"":""0"",""sleep"":"""",""sleep_frame"":""0"",""twitch"":"""",""twitch_frame"":""0"",""walk"":"""",""walk_frame"":""0""}}",,no,1,0,no,runtime-profile-unsupported
0x0200,512,EXPLODING_ARM,yes,no,EXPLODING_ARM,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0210,528,EXPLODING_HEAD,yes,no,EXPLODING_HEAD,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0220,544,EXPLODING_FOOT,yes,no,EXPLODING_FOOT,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0230,560,EXPLODING_TORSO,yes,no,EXPLODING_TORSO,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
0x0240,576,EXPLODING_LEG,yes,no,EXPLODING_LEG,,,,0x0000,,,,,,,,,,,,,,,,,,,,,,,no,0,0,no,animation-ini-missing;runtime-profile-unsupported
