item_resref,item_type,item_type_symbol,visual_layer,animation_code_raw_hex,animation_code,animation_code_valid,body_armor_code,source_bif,locator,source_sha256,candidate_family_count,compatible_animation_count,compatible_animation_ids,candidate_bam_prefixes,resolved_bam_prefixes,unresolved_bam_prefixes,pipeline_ready_prefixes,override_collision,blocker
ABAZRING,10,RING,,2020,,no,,data/25Items.bif,0x08400000,19C19FE0CC2B7B24F4DF852F2F9728DA0ECFA079D3AAF5E979FC1F322B68A992,0,0,,,,,,no,
ABISRED1,0,MISC,,2020,,no,,data/25Items.bif,0x08400001,0DBDC5917FC23F7661F7753C34EB60A412D3D9C858A2E166D59EFDFAE6317BAB,0,0,,,,,,no,
ACIDBL,0,MISC,,2020,,no,,data/Items.bif,0x00100000,CC59DD737D934E6ECC30E69A80CF90F745C4A1838D269A92621D4359433F62AB,0,0,,,,,,no,
ACIDMIST,0,MISC,,2020,,no,,data/Items.bif,0x00100001,D980CD0A7FD8E884D3FE47CE994190CA4A679BBA92AC25943DAC87C43E66DB31,0,0,,,,,,no,
ACIDOOZ1,0,MISC,,2020,,no,,data/Items.bif,0x00100002,DF4B932EE75D372ED07AC3F5FDCB01E0F8E8539B195AAE50E6AA3CE2B7281D14,0,0,,,,,,no,
ACIDOOZ2,0,MISC,,2020,,no,,data/Items.bif,0x00100003,92BC2BB6A4820196A41AE9FC7142304F1E7E84EB56DA45254C05B0F05D731D0D,0,0,,,,,,no,
ACIDOOZ3,0,MISC,,2020,,no,,data/Items.bif,0x00100004,07924D6095988D5F47218903C5D9A7DA0B355CBA6D9F7948956D2BBA14502D8C,0,0,,,,,,no,
ACIDOOZ4,0,MISC,,2020,,no,,data/Items.bif,0x00100005,C20FCCE0E33B0ABDF7821B03E9096D1896554E88488BA30BF976D7869C11FCA9,0,0,,,,,,no,
AEGIS,21,HAMMER,weapon,5748,WH,yes,,data/Items.bif,0x00100006,6518CB26D6E001E68F46A14D729E7E79C0B42BA2563CA8A6B383F9045B584402,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLWH;WQMWH;WQNWH;WQSWH,WQLWH;WQMWH;WQNWH;WQSWH,,WQLWH;WQMWH;WQNWH;WQSWH,no,
AEGIS2,21,HAMMER,weapon,5748,WH,yes,,data/Items.bif,0x00100007,7D258BF1F4C68AB4C4F40575BEE6C2C98B02F25757B565DE0630C2D82D245781,78,78,0x5000;0x5001;0x5002;0x5003;0x5010;0x5011;0x5012;0x5013;0x5100;0x5101;0x5102;0x5103;0x5110;0x5111;0x5112;0x5113;0x5200;0x5201;0x5202;0x5210;0x5211;0x5212;0x5300;0x5301;0x5302;0x5303;0x5310;0x5311;0x5312;0x5313;0x6000;0x6001;0x6002;0x6003;0x6004;0x6005;0x6010;0x6011;0x6012;0x6013;0x6014;0x6015;0x6100;0x6101;0x6102;0x6103;0x6104;0x6105;0x6110;0x6111;0x6112;0x6113;0x6114;0x6115;0x6200;0x6201;0x6202;0x6204;0x6205;0x6210;0x6211;0x6212;0x6214;0x6215;0x6300;0x6301;0x6302;0x6303;0x6304;0x6305;0x6310;0x6311;0x6312;0x6313;0x6314;0x6315;0x6500;0x6510,WQLWH;WQMWH;WQNWH;WQSWH,WQLWH;WQMWH;WQNWH;WQSWH,,WQLWH;WQMWH;WQNWH;WQSWH,no,
