bam_resref,source_bif,locator,source_sha256,canonical_sha256,bam_container,bam_version,decode_status,decode_error,frame_count,cycle_count,cycle_slot_count,transparent_palette_index,width_min,width_max,height_min,height_max,center_x_min,center_x_max,center_y_min,center_y_max,native_pixel_count,native_frame_pixel_count_max,transparent_pixel_count,opaque_pixel_count,used_palette_index_count,partial_alpha_pixels,duplicate_used_rgba_frames,duplicate_used_rgba_pairs,duplicate_used_rgba_examples,registry_resource_estimated_bytes,family_count,family_ids,animation_ids,layer_kinds,bam_prefixes,bam_suffixes,runtime_relevant,override_collision,blocker
ABATG1,data/CREAnim1.bif,0x06300000,85391CDC717ECD60434F7AE9999ABDD6C08726AB22D1CDE7339B74FA638D3CB1,B4C90BCAE2288B786243412BA620F2A07ED10831AF261F85DD4021A2E1CC1E77,BAMC,V1,ok,,65,48,200,0,5,16,4,13,-24,12,-19,38,5233,144,2934,2299,92,0,0,0,,56292,2,0xC000:body:base-resref:ABAT:ABAT;0xC500:body:base-resref:ABAT:ABAT,0xC000;0xC500,body,ABAT,G1,no,no,
ABATG1E,data/CREAnim1.bif,0x06300001,772D4FD247012898D2292BC23395E65E058E749594EB16D0096A2ADEEADA9F5A,375319F6F606EA1B197F6F54EB04802112621B5264F7A9C826978199F127031F,BAMC,V1,ok,,39,48,98,0,5,15,5,15,-1,32,-13,37,3340,168,1822,1518,82,0,0,0,,34584,2,0xC000:body:base-resref:ABAT:ABAT;0xC500:body:base-resref:ABAT:ABAT,0xC000;0xC500,body,ABAT,G1E,no,no,
ABIRG1,data/CREAnim1.bif,0x06300002,C29A256B7F57F076020EFB58DBAE3D3AEE183C82AB2E68BF820B7695BC7EE902,4A241D41D7C8060FEA95F4D3C903E671F24CFB8D8CFDE78899893E181C28DF94,BAMC,V1,ok,,36,18,45,0,4,19,8,12,2,9,13,20,4023,153,2492,1531,252,0,0,0,,35400,2,0xD300:body:base-resref:ABIRG1:ABIRG1;0xD400:body:base-resref:ABIRG1:ABIRG1,0xD300;0xD400,body,ABIRG1,,no,no,
ACATG1,data/CREAnim1.bif,0x06300003,A5911448787D859E08356CD88A3DE87CCFEEE6C0D0DB3DDD9401E0BE36B80917,0E2219128C7E5BA41141819DE7EBB99691D95CBCAB265235AD289C7BA6F8C9EE,BAMC,V1,ok,,90,48,273,0,9,34,15,34,2,16,9,19,40051,754,23723,16328,238,0,0,0,,209056,1,0xC100:body:base-resref:ACAT:ACAT,0xC100,body,ACAT,G1,no,no,
ACATG1E,data/CREAnim1.bif,0x06300004,C28A04DD7DE4CB24EED57A0A4445598DE53E7B83A87E8204E6B88FDF98A8BD57,B971515EF93B9E40D9C3A5ACF35A97ED19CC953E5D6F02C840D3DFCEE6484BC3,BAMC,V1,ok,,54,48,131,0,19,38,13,29,5,21,4,19,31546,841,20557,10989,192,0,0,0,,155460,1,0xC100:body:base-resref:ACAT:ACAT,0xC100,body,ACAT,G1E,no,no,
ACHKG1,data/CREAnim.bif,0x00600000,CE20A571EE7596673C427772C55E903CDB7F5EE84FBC362B305A194F42A9B6CC,1EF5F6F3FC4396005E75915E16B0CEBCB71DA1811B4B67374A5DBAD029CB51B9,BAMC,V1,ok,,60,48,175,0,2,79,3,35,-1,14,-4,26,18464,2765,11771,6693,208,0,0,0,,106476,1,0xC200:body:base-resref:ACHK:ACHK,0xC200,body,ACHK,G1,no,no,
ACHKG1E,data/CREAnim.bif,0x00600001,365A675D8A4715D76758F843432CE34E596AFE85AD4D114FB3668D06D44A9747,58B52C6ECA161B0A9850B35F30C0549B2EC0AF671AC1927E304A7BC7A036B3EF,BAMC,V1,ok,,40,48,92,0,2,79,3,35,-1,14,-4,26,14372,2765,10073,4299,146,0,0,0,,79216,1,0xC200:body:base-resref:ACHK:ACHK,0xC200,body,ACHK,G1E,no,no,
ACOWG1,data/CREAnim.bif,0x00600002,E845D1039AE0FA99A654F8AE56C30BCD3FAF59B6264DEEB49B31A08F6AE9AAE7,25F527C1D8537D85EA3DE2CBFC7AA0D5629DF2695F1CEFD9414AD8FF3F807F2A,BAMC,V1,ok,,22,40,288,0,50,69,39,69,14,46,26,52,73764,4416,40580,33184,215,0,0,0,,308032,1,0xB000:body:base-resref:ACOW:ACOW,0xB000,body,ACOW,G1,no,no,
ACOWG1E,data/CREAnim.bif,0x00600003,60158363563D7A94C070D8331D72AF682BDD63658C10F9DCCFC92E9586084C52,AD41317FEF42246790B51D986A167A843AEE418FC6EDD6646DA308F73EA7D1F1,BAMC,V1,ok,,22,40,240,0,49,72,40,69,20,34,12,52,75391,4485,40196,35195,197,0,0,0,,314348,1,0xB000:body:base-resref:ACOW:ACOW,0xB000,body,ACOW,G1E,no,no,
ADERG1,data/CREAnim.bif,0x00600004,174883530B5DB79C5091A5F14D7D5CD126EC4B6B52806843E3D452B12F80DFA1,A15A3F5A35326C124BD42AC7F3ABB39AFCC08072FD271B6BEA7A2C55BB5C71A2,BAMC,V1,ok,,531,54,657,0,1,50,1,58,0,26,0,37,79041,2009,36361,42680,139,0,0,0,,599424,1,0x7F18:body:base-resref:ADER:ADER,0x7F18,body,ADER,G1,no,no,
