asset_key,resref,role,locale,source_kind,source_path,source_bif,locator,source_size,source_sha256,width,height,frame_rate,duration_ms,video_codec,audio_codec,extracted_path
movie:de_DE:END15FPS,END15FPS,cinematic,de_DE,loose-file,lang/de_DE/movies/end15fps.wbm,,,32008848,38A2F429E956E49482D31DFEBF961F8BCED92CAADA5522E17AAC57182FF95E53,1280,720,15/1,121935,vp8,vorbis,video/de_DE_end15fps/de_DE_end15fps.wbm
movie:de_DE:INTRO,INTRO,cinematic,de_DE,loose-file,lang/de_DE/movies/intro.wbm,,,29981679,DD3DD9C342074251D3D689DC36D3962269C34A81C249416CCE41351CC5FCD59A,1280,720,30000/1001,112905,vp8,vorbis,video/de_DE_intro/de_DE_intro.wbm
movie:de_DE:INTRO15F,INTRO15F,cinematic,de_DE,loose-file,lang/de_DE/movies/intro15f.wbm,,,49540184,AA4EA388C7E105678C79D93B7CB50AFF0CB0662CBC3020E62A2B2FE411722731,1280,720,15/1,171625,vp8,vorbis,video/de_DE_intro15f/de_DE_intro15f.wbm
movie:de_DE:MELISSAN,MELISSAN,cinematic,de_DE,loose-file,lang/de_DE/movies/melissan.wbm,,,9204460,BC117113CDE816F64E1C2D80BF82A8E024C795BFBC5A2147E8919558713B7654,1280,720,15/1,37236,vp8,vorbis,video/de_DE_melissan/de_DE_melissan.wbm
movie:default:BLACKPIT,BLACKPIT,cinematic,default,loose-file,movies/blackpit.wbm,,,4954763,E6FD470859B6C66E7F7A9C5E24E777D4D5795C343738072871BAA5759772E4F6,1280,720,2997/100,24437,vp8,vorbis,video/blackpit/blackpit.wbm
movie:default:DAYNITE,DAYNITE,cinematic,default,loose-file,movies/daynite.wbm,,,2586217,687B2E7E72D995238F4F0963E6CC45D3BABA66B0388A88D0FA2344877E62F208,1280,720,15/1,10269,vp8,vorbis,video/daynite/daynite.wbm
movie:default:DEATHAND,DEATHAND,cinematic,default,loose-file,movies/deathand.wbm,,,5789053,8088EAF1955BA23DC078DA7BBB11F6B6DCACFF76A06B58D2ED34CF9AAB3321BC,1280,720,15/1,23539,vp8,vorbis,video/deathand/deathand.wbm
movie:default:DORNGORG,DORNGORG,cinematic,default,loose-file,movies/dorngorg.wbm,,,2901363,06795963B793ED6A8C39E3A389315D795854DDFD2113F71CF3E5A911E5F751FE,1280,720,2997/100,15462,vp8,vorbis,video/dorngorg/dorngorg.wbm
movie:default:DORNTREE,DORNTREE,cinematic,default,loose-file,movies/dorntree.wbm,,,3460136,0C8210302B2C89D54D125C7381EC8C0405C04BE4DC91A8DC8BAD440F6753F604,1280,720,2997/100,18429,vp8,vorbis,video/dorntree/dorntree.wbm
movie:default:END15FPS,END15FPS,cinematic,default,loose-file,movies/end15fps.wbm,,,31297158,FFCA53B4BD6F92E40821E20F73631658141D08F8854CD4CDE61A859408A22368,1280,720,15/1,121922,vp8,vorbis,video/end15fps/end15fps.wbm
movie:default:ENDCRDIT,ENDCRDIT,cinematic,default,loose-file,movies/endcrdit.wbm,,,34938132,C33FB0C335D5E0D89A82417F055DECBE0E349D66D98FB218B44EF952085761C5,1280,720,15/1,133451,vp8,vorbis,video/endcrdit/endcrdit.wbm
movie:default:FLYTHR01,FLYTHR01,cinematic,default,loose-file,movies/flythr01.wbm,,,5303761,7E2222E87D82522E1A91098E080238ED4D0D4380CBA132DBD56FDA2F2534C21C,1280,720,15/1,22332,vp8,vorbis,video/flythr01/flythr01.wbm
movie:default:FLYTHR02,FLYTHR02,cinematic,default,loose-file,movies/flythr02.wbm,,,3282591,7926A56959D7530CF6B44BDB436432213A81C623044532FB7814FD9B726380EF,1280,720,15/1,13462,vp8,vorbis,video/flythr02/flythr02.wbm
movie:default:FLYTHR03,FLYTHR03,cinematic,default,loose-file,movies/flythr03.wbm,,,4588109,BFD239A526F04CACC9AB3F90A3257D25BC87FBB0DB4F804C1796AE4DB729DF80,1280,720,15/1,17595,vp8,vorbis,video/flythr03/flythr03.wbm
movie:default:FLYTHR04,FLYTHR04,cinematic,default,loose-file,movies/flythr04.wbm,,,4190381,62C10CBBF5CDCED372CCD1D3A5E457CB1B2C260C3FBCFD7EA5C96E08143C6220,1280,720,15/1,16329,vp8,vorbis,video/flythr04/flythr04.wbm
movie:default:HEXXATDR,HEXXATDR,cinematic,default,loose-file,movies/hexxatdr.wbm,,,2784557,FF856AE00FF6FB90823E99F2AD45159DECBEB20DE289AA915F168979B9510FAF,1280,720,2997/100,17696,vp8,vorbis,video/hexxatdr/hexxatdr.wbm
movie:default:INTRO,INTRO,cinematic,default,loose-file,movies/intro.wbm,,,28676301,12B5269D7EEF235B7D964C6834AA73E9412891BE17D68DF4E05FC6B44704ABA6,1280,720,30000/1001,113787,vp8,vorbis,video/intro/intro.wbm
movie:default:INTRO15F,INTRO15F,cinematic,default,loose-file,movies/intro15f.wbm,,,44086660,5446B0C17AE4D8FB78B36DA80EFEC820F57D36D0ED2F94E22E16A7BBA7B5F02B,1280,720,15/1,171637,vp8,vorbis,video/intro15f/intro15f.wbm
